,id_recipe,Step_Count,Step Description
0,6650355,1,Place mint leaves and 1 lime wedge into a sturdy glass. Use a muddler and crush to release mint oils and lime juice.Dotdash Meredith Food Studios
1,6650355,2,"Add remaining lime wedges and 2 tablespoons sugar, and muddle again to release the lime juice. Do not strain the mixture.Dotdash Meredith Food Studios"
2,6650355,3,Fill the glass almost to the top with ice.Dotdash Meredith Food Studios
3,6650355,4,Pour in rum and fill the glass with club soda.Dotdash Meredith Food Studios
4,6650355,5,"Stir, taste, and add more sugar if desired.Dotdash Meredith Food Studios"
5,6649382,1,Muddle sugar and mint leaves together in a pitcher until leaves are well broken down. Add limes and muddle until limes are juiced. Pour rum into sugar mixture; add club soda and stir until sugar is dissolved.
6,6663988,1,"Pour about 1/2 inch of sugar onto a small, shallow plate. Run a lime wedge around the rims of 8 cocktail glasses, then dip the rims into sugar to coat; set aside."
7,6663988,2,"Squeeze all of the lime wedges into a sturdy glass pitcher. Toss juiced limes into the pitcher along with mint, strawberries, and 1 cup sugar. Crush with a muddler to release strawberry juice and mint oil. Stir in club soda and rum until sugar has dissolved."
8,6663988,3,Pour into the prepared glasses over ice cubes to serve.
9,6663859,1,Place 1 teaspoon sugar each into two 12-ounce glasses. Squeeze juice from a lime wedge into each glass and drop in the wedge. Place 2 mint sprigs into each glass. Use a spoon or muddler to mash lime mixture together in the bottom of the glasses.
10,6663859,2,"Fill each glass about half full with crushed ice. Pour 1/4 cup rum into each glass. Fill the glasses with club soda, stir, and garnish with remaining lime wedges."
11,6571107,1,"Squeeze the lime quarters into a highball glass, and drop the limes into the glass. Add the mint leaves and sugar. Muddle well with the back of a spoon or with a muddler. Place the cucumber slices into the glass, and fill with ice cubes. Pour in the rum, then top off with club soda. Stir gently and serve."
12,6571861,1,"Combine tequila, mint, sugar, and lime in a tall glass; mash mint and lime well with a cocktail muddler. Top with club soda and stir gently to serve."
13,6579582,1,"Blend together ice, limes, cream of coconut, rum, and mint leaves in a blender until smooth. Pour into 2 glasses and garnish each with a mint sprig and lime wedge."
14,6564860,1,"Muddle mint leaves, sugar, and pineapple in a highball glass."
15,6564860,2,Fill glass with ice cubes. Pour in pineapple juice and rum. Top with a splash of club soda. Garnish with pineapple wedge and remaining mint leaves.
16,6599035,1,Place watermelon cubes into a blender and blend until smooth. Pour into a bowl through a mesh strainer to remove pulp. Measure 2 cups strained watermelon juice and set aside.
17,6599035,2,Place mint leaves into the bottom of a pitcher. Pour in 1/2 of the watermelon juice; muddle mint leaves with a muddler or the bottom of a wooden spoon.
18,6599035,3,"Pour in remaining watermelon juice, lime juice, rum, and simple syrup. Fill the pitcher with ice and top with club soda. Serve."
19,6588528,1,"Place mint leaves, lime wedges, and ice into a cocktail shaker; mash well with a cocktail muddler. Pour in simple syrup, lime juice, rum, cranberry juice, and soda water. Cover and shake until the outside of the shaker has frosted. Strain into a chilled glass to serve."
20,6738474,1,"Muddle mint leaves, raspberries, simple syrup, and lime juice together in a shaker. Fill the shaker with ice and add vodka and rum; cover and shake until chilled. Pour entire contents of shaker into a Collins glass and top with club soda."
21,6573462,1,"Put 3 mint leaves and 2 teaspoons sugar into each of 2 glass tumblers; vigorously stir sugar and mint together, crushing mint with the back of a spoon to release oils."
22,6573462,2,Add 3 lime wedges to each glass; again stir vigorously to release some lime juice.
23,6573462,3,"Pour 1 jigger rum into each glass, then fill glasses with ice cubes. Top with carbonated water; stir."
24,6566581,1,"Muddle the lime juice, sugar, and mint leaves together in the bottom of a cocktail glass until the mint has broken down a bit, about 1 minute. Fill the glass with ice cubes. Add the rum and soda water over the ice. Pour the mixture back and forth from from the glass to another glass to mix. Garnish with the lime wedge and enjoy."
25,6585951,1,Fill a glass with ice.
26,6585951,2,"Muddle 3 sprigs mint and sugar together in a cocktail shaker; add ice, rum, lime juice, and guava nectar. Cover and shake 10 times. Strain drink into glass filled with ice; add club soda and garnish with 1 mint sprig."
27,6563419,1,"Juice 4 limes, yielding about 1/2 cup juice, and cut remaining lime into 6 wedges."
28,6563419,2,"Grasp mint sprig stems and slap leaves against a work surface to help release their oil; transfer to a sturdy glass pitcher. Stir in lime juice, rum, and strawberry syrup. Add club soda."
29,6563419,3,"Spread 1/4 to 1/2 inch sugar on a small, shallow plate. Run a lime wedge around the rim of each glass, then dip glass into sugar. Fill with ice. Pour in mojito mixture. Garnish with mint sprigs and strawberries."
30,6562648,1,"Mash mint leaves with a muddler. Combine sugar, lime juice, and rum in a large glass jar; mix well. Add mint leaves and let steep for 5 minutes."
31,6562648,2,"Pour in lemon-lime seltzer. Refrigerate until flavors meld, about 2 hours. Serve over ice."
32,6562092,1,Place mint leaves and sugar in the bottom of a collins glass. Crush mint using a muddler. Add rum and lime slices to glass and muddle again. Top with sparkling wine and crushed ice.
33,6592281,1,Mix 2 tablespoons plus 2 teaspoons sugar with mint in the bottom of a highball glass.
34,6592281,2,Combine rum and dragon fruit flesh in a blender; blend until smooth. Pour rum mixture over the muddled mint mixture. Stir to incorporate.
35,6592281,3,Divide mixture between 4 double old-fashioned glasses. Top each drink with equal amounts of club soda.
