,id_recipe,Step_Count,Step Description
0,6565970,1,Preheat the oven to 400 degrees F (200 degrees C). Grease a 9x5-inch loaf pan.
1,6565970,2,Mix sugar and cinnamon together in a bowl.
2,6565970,3,"Set icing packet aside. Cut cinnamon rolls into quarters. Dip pieces in melted butter, coat in cinnamon-sugar, and place in the prepared pan."
3,6565970,4,"Bake in the preheated oven until dough has risen and top is golden brown, 20 to 25 minutes; drizzle icing over top and let cool in the pan for 5 minutes. Turn the monkey bread out onto a plate and serve warm."
4,7372192,1,Preheat the oven to 325 degrees F (165 degrees F). Spray a nonstick Bundt pan with cooking spray.
5,7372192,2,"Stir together Gruyere cheese, Cheddar cheese, turkey, sausage, apple, walnuts, celery, mixed herbs, and parsley in a large bowl."
6,7372192,3,"Combine melted butter and poultry seasoning in a small bowl, pour over cheese mixture, and stir gently to combine."
7,7372192,4,"Using kitchen shears, cut biscuits into quarters and gently toss into the cheese mixture. Add the biscuit mixture to the prepared pan."
8,7372192,5,"Bake in the center of the preheated oven until the top is golden and a wooden pick inserted in center comes out clean, 45 to 55 minutes."
9,7372192,6,"Cool bread in the pan on a rack for about 5 minutes. Turn bread out onto a serving board or platter, and garnish with rosemary sprigs. Place cranberry sauce in a small container and set in the middle of the bread. Provide tongs for bread and a serving spoon for cranberry sauce."
10,6649875,1,Gather all ingredients.Dotdash Meredith Food Studios
11,6649875,2,Preheat oven to 350 degrees F (175 degrees C). Grease one 9- or 10-inch tube or Bundt® pan.
12,6649875,3,Mix white sugar and cinnamon in a plastic bag. Cut biscuits into quarters. Shake 6 to 8 biscuit pieces in the sugar-cinnamon mix.Dotdash Meredith Food Studios
13,6649875,4,"Arrange pieces in the bottom of the prepared pan. Continue until all biscuits are coated and placed in the pan. If using walnuts and raisins, arrange in and among the biscuit pieces as you go along.Dotdash Meredith Food Studios"
14,6649875,5,Melt margarine with the brown sugar in a small saucepan over medium heat. Boil for 1 minute. Pour over the biscuits.Dotdash Meredith Food Studios
15,6649875,6,"Bake in the preheated oven for 35 minutes. Let bread cool in the pan for 10 minutes, then turn out onto a plate. Do not cut! The bread just pulls apart.DOTDASH MEREDITH FOOD STUDIOS"
16,6651121,1,Lightly grease a fluted tube pan (such as Bundt) with vegetable oil; set aside.
17,6651121,2,"Make dough: Combine warm water, yeast, and 1 teaspoon sugar in a large bowl. Let stand until bubbly and foamy, about 5 minutes."
18,6651121,3,"Stir in 1 cup flour, warm milk, egg, 3 tablespoons sugar, butter, salt, and vanilla extract until combined. Add remaining 2 1/2 cups flour. Mix and knead until dough comes together in a ball. Cover with plastic wrap and let rise in a warm place for 30 minutes."
19,6651121,4,Turn dough out onto a lightly floured surface and punch down gently to deflate. Divide dough into small or medium balls.
20,6651121,5,"Make coating: Mix together brown sugar and cinnamon in a small bowl. Dip each dough ball in melted butter, remove with a fork, then roll in cinnamon sugar mixture until well coated."
21,6651121,6,"Arrange coated dough balls in the prepared pan. Cover with plastic wrap or a damp cloth and let rise until almost doubled in size, about 45 minutes."
22,6651121,7,Preheat the oven to 350 degrees F (175 degrees C).
23,6651121,8,"Bake in the preheated oven until golden brown, about 35 minutes. Invert onto a large plate; cool for 10 minutes before serving."
24,6588546,1,Grease and flour a 9- or 10-inch tube pan.
25,6588546,2,Mix together brown sugar and pudding mix in a small bowl. Mix together white sugar and cinnamon in a second small bowl.
26,6588546,3,"Arrange a single layer of frozen dinner rolls in the prepared pan. Sprinkle with some of the brown sugar mixture, then sprinkle with some of the white sugar mixture. Cover with 1/2 of the nuts, then drizzle with 1/2 of the melted butter. Repeat layers with remaining rolls and toppings."
27,6588546,4,Let sit uncovered on the counter for 8 hours to overnight.
28,6588546,5,Preheat the oven to 350 degrees F (175 degrees C).
29,6588546,6,"Bake in the preheated oven for 30 minutes. Let stand for a few minutes, then turn the pan onto a serving platter and lift to release bread."
30,6648928,1,"Grease a 9- or 10-inch tube pan with softened butter. Sprinkle butterscotch pudding mix and white sugar into the prepared tube pan. Arrange rolls around the pan. Sprinkle with pecans and brown sugar, then drizzle melted butter over the top. Place the pan in a cold oven and allow dough to rise 8 hours to overnight."
31,6648928,2,Remove the pan from the oven.
