,id_recipe,Step_Count,Step Description
0,6738182,1,Gather all ingredients.Dotdash Meredith Food Studios
1,6738182,2,"Soak rice noodles in cold water until soft, 30 to 50 minutes. Drain and set aside."
2,6738182,3,"Meanwhile, heat butter in a wok; add chicken and sauté until browned. Remove chicken and set aside.Dotdash Meredith Food Studios"
3,6738182,4,Heat oil in the wok over medium-high heat. Crack eggs into hot oil and cook until firm. Stir in chicken and cook for 5 minutes.Dotdash Meredith Food Studios
4,6738182,5,"Add softened noodles, sugar, fish sauce, vinegar, and red pepper; mix well until noodles are tender. Adjust seasonings to taste.Dotdash Meredith Food Studios"
5,6738182,6,Stir bean sprouts into wok and cook for 3 minutes.Dotdash Meredith Food Studios
6,6738182,7,"Serve topped with green onions, crushed peanuts, and a wedge of lemon.DOTDASH MEREDITH FOOD STUDIOS"
7,6571239,1,"Soak rice vermicelli noodles in a bowl filled with hot water until softened, 30 minutes to 1 hour. Drain and set aside."
8,6571239,2,Heat peanut oil over medium heat in a large wok.
9,6571239,3,"Cook and stir tofu in the wok, turning the pieces until they are golden on all sides."
10,6571239,4,Remove tofu with a slotted spoon and drain on plate lined with paper towels.
11,6571239,5,Pour all but 1 tablespoon of used oil from the wok into a small bowl; it will be used again in a later step.
12,6571239,6,Heat the remaining 1 tablespoon of oil in the wok over medium heat until it starts to sizzle.
13,6571239,7,Pour in beaten egg and lightly toss in the hot oil to scramble the egg.
14,6571239,8,Remove egg from the wok and set aside.
15,6571239,9,Pour reserved peanut oil in the small bowl back into the wok.
16,6571239,10,Toss garlic and drained noodles in wok until they are coated with oil.
17,6571239,11,"Stir in vegetable broth, lime juice, soy sauce, and sugar. Toss and gently push noodles around the pan to coat with sauce."
18,6571239,12,"Gently mix in tofu, scrambled egg, salt, chili flakes, and 3 tablespoons peanuts; toss to mix all ingredients."
19,6571239,13,"Mix in bean sprouts and green onions, reserving about 1 tablespoon of each for garnish. Cook and stir until bean sprouts have softened slightly, 1 to 2 minutes."
20,6571239,14,Arrange noodles on a warm serving platter and garnish with 3 tablespoons peanuts and reserved bean sprouts and green onions. Place lime wedges around the edges of the platter.
21,6596180,1,"Place noodles in a large bowl and cover with hot water. Set aside until noodles are softened, about 15 minutes. Drain and rinse thoroughly."
22,6596180,2,"Heat oil in a wok over medium heat. Cook and stir onion and garlic until onion is translucent, about 5 minutes."
23,6596180,3,"Combine rice wine vinegar, ketchup, fish sauce, chile sauce, peanut butter, soy sauce, lime juice, sugar, red pepper flakes, and cayenne pepper together in a bowl. Set aside."
24,6596180,4,"Add shrimp to the wok. Cook and stir until pink, about 4 minutes. Add the ketchup mixture and stir. Move all ingredients to one side to clear a small space in the pan. Pour in eggs and cook without stirring until partially set, about 3 minutes."
25,6596180,5,"Stir the drained noodles into the shrimp and egg mixture. Add 1/2 cup peanuts, 1/4 cup bean sprouts, and carrots. Cook and stir until noodles are heated through, about 2 minutes. Garnish with the remaining peanuts, bean sprouts, lime wedges, green onions, and cilantro."
