,id_recipe,Step_Count,Step Description
0,7568285,1,Preheat a griddle to 300 degrees F (175 degrees C).
1,7568285,2,Stir together milk and vinegar in a small bowl or a 4-cup liquid measuring cup.
2,7568285,3,"Whisk together flour, sugar, baking powder, baking soda, and salt in a second bowl."
3,7568285,4,Beat eggs in a large bowl until smooth. Add vanilla and milk mixture; whisk together. Add flour mixture to bowl with egg mixture and whisk until just combined. (Batter will be lumpy.) Let rest 3 minutes and gently stir again.
4,7568285,5,"Melt some butter on the griddle, then carefully wipe with a paper towel. (You want just a bit of a sheen; don’t overgrease the griddle.) Spoon batter in 1/3-cup portions onto griddle. Cook until bubbles form on surface of batter, about 2 1/2 minutes."
5,7568285,6,"Flip pancakes and cook until browned on the other side, about 1 1/2 minutes more. Repeat with remaining batter. Serve immediately with butter and toppings."
6,7507446,1,"Combine sweetened condensed milk, evaporated milk, and half and half in a small saucepan and set over medium heat. Bring to a boil, stirring constantly for 3 to 4 minutes. Remove from heat and let cool. This is a sauce, not a syrup, so consistency will be on the thinner side."
7,7507446,2,"Add cake mix, almond milk, eggs, and 3 tablespoons vegetable oil to a large bowl, and beat vigorously by hand for 2 minutes."
8,7507446,3,"Heat a large skillet or griddle over medium heat, and lightly coat with remaining vegetable oil. Add 1/4 cup of the batter for each pancake. Cook until edges begin to puff up, small bubbles appear, pop, and leave small holes, 2 to 3 minutes. Flip pancakes and cook until golden brown on the other side, about 2 minutes more."
9,7507446,4,"Serve pancakes warm with a drizzle of the tres leches sauce, a dollop of whipped cream, and sprinkle of cinnamon."
10,7483030,1,"Combine egg yolks, flour, milk, 2 teaspoons white sugar, vanilla extract, and salt in a bowl; whisk until batter is smooth."
11,7483030,2,"Combine egg whites and lemon juice in a glass, metal, or ceramic bowl and beat until soft peaks form. Add egg whites to yolk mixture and carefully fold in using a spatula until just combined, using as light a touch as possible."
12,7483030,3,"Melt 1 tablespoon butter in a non-stick pan over medium heat. Transfer batter into the hot pan, cover, and cook until the bottom is golden brown and bubbles appear on the surface, about 4 minutes."
13,7483030,4,Use a spatula to cut the pancake into 4 sections and flip over. Cover and cook for another minute. Use 2 spatulas to tear or cut the pancake into 1 to 2 inch pieces.
14,7483030,5,Add remaining butter in little pieces to the pan and sprinkle with remaining 2 teaspoons white sugar. Cook tossing and stirring for a few minutes until pancake pieces are lightly caramelized at the edges.
15,7483030,6,"Serve immediately, dusted with powdered sugar.Chef John"
16,7112423,1,"Whisk melted butter, milk, and eggs together in a large bowl; whisk in cupcake mix just until ingredients are moistened. It's okay if there are some lumps."
17,7112423,2,"Heat a lightly oiled griddle over medium-high heat. Drop batter by large spoonfuls onto the griddle and cook until bubbles form and the edges are dry, 3 to 4 minutes. Flip and cook until browned on the other side, 2 to 3 minutes. Repeat with remaining batter."
18,7112423,3,Serve with whipped cream and sprinkles if desired.
19,7092709,1,Gather all ingredients.Dotdash Meredith Food Studios
20,7092709,2,"Prepare the Pancakes: Whisk together flour, baking powder, cinnamon, pumpkin pie spice, baking soda, and salt in a large bowl until combined."
21,7092709,3,"Add buttermilk, brown sugar, egg, and vanilla; stir until just combined. Stir in carrots and melted butter until just combined. Set aside.Dotdash Meredith Food Studios"
22,7092709,4,"Prepare the Frosting: In a medium bowl, whisk together cream cheese, milk, powdered sugar, and vanilla until smooth. Set aside.Dotdash Meredith Food Studios"
23,7092709,5,"Prepare the Topping: In a small bowl, stir together raisins, pecans, coconut, and ginger, if desired. Set aside."
24,7092709,6,Heat a large nonstick skillet or griddle over medium. Grease skillet or griddle with butter.
25,7092709,7,"Working in batches, scoop 1/4 cup batter per pancake into the skillet, being sure not to overcrowd skillet. Cook until bubbles begin to form on surface of pancakes and edges look dry, 2 to 3 minutes. Flip, and cook until fluffy and slightly firm, about 1 minute. Repeat with remaining batter, adding butter and adjusting heat as needed.Dotdash Meredith Food Studios"
26,7092709,8,"Divide pancakes evenly among 4 plates. Drizzle Pancakes evenly with Frosting, and sprinkle evenly with Topping.Dotdash Meredith Food Studios"
27,7506803,1,"For each parfait, layer 1/3 cup vanilla yogurt, 1 tablespoon jam or fruit preserves, 3 mini pancakes, and 1/2 cup mixed berries in a wide-mouthed glass or jar. Repeat yogurt and berry layers. Add 2 additional pancakes and drizzle with maple syrup."
28,6597803,1,"Combine raisins and rum in a small bowl; let soak for 30 minutes, then drain."
29,6597803,2,"Beat eggs, milk, white sugar, vanilla, and salt together in a medium bowl; gradually whisk in flour to make a smooth batter. Stir in drained raisins."
30,6597803,3,"Melt 2 tablespoons butter in a large skillet over medium heat; pour batter into the skillet and cook 5 to 6 minutes, or until the pancake has set and the bottom is golden brown. Flip pancake and cook until this side is also golden brown, about 3 minutes."
31,6597803,4,"Tear pancake into bite-sized pieces using a spatula or two forks; drizzle in melted butter and sprinkle with confectioners' sugar. Increase heat to medium-high and gently toss the pancake pieces until sugar has caramelized, about 5 minutes. Sprinkle with additional confectioners' sugar and serve with apple sauce or plum preserves."
32,6752324,1,Gather the ingredients.ALLRECIPES/VICTORIA JEMPTY
33,6752324,2,"Combine egg, sugar, cinnamon, ginger, nutmeg, kosher salt, and vanilla extract in a bowl. Whisk until well combined and lightly foamy. Add shredded apple and lemon juice and fold in with a spatula until well combined. Add flour, baking powder, and baking soda. Mix until flour disappears and batter is thick yet spoonable.ALLRECIPES/VICTORIA JEMPTY"
34,6752324,3,"Melt butter in a skillet over medium heat. Add tablespoonfuls of apple batter to the hot butter and cook until browned, about 3 minutes. Turn and cook until apple pancakes spring back to the touch and are browned on the other side, an additional 3 minutes.ALLRECIPES/VICTORIA JEMPTY"
35,6752324,4,Serve and enjoy!ALLRECIPES/VICTORIA JEMPTY
36,6649891,1,Preheat the oven to 350 degrees F (175 degrees C). Line a sheet pan (approx. 13 x18 inches) or jelly roll pan (12x17 inches) with parchment paper. Spray the parchment paper with cooking spray.
37,6649891,2,"Combine baking mix, buttermilk, eggs, sugar, vanilla extract, and cinnamon in a large mixing bowl. Mix until the ingredients are well combined, but don't overmix. Pour batter onto the parchment paper-lined pan."
38,6649891,3,"Bake in the preheated oven until lightly golden, 15 to 18 minutes."
39,6649891,4,Remove sheet pan from the oven. Lift the parchment paper with the pancake from the pan and set it onto a cutting board. Slice the pancake sheet into squares using a pizza cutter or into your desired shapes with a cookie cutter.
40,6664867,1,"Combine flour, sugar, baking powder, and salt in a large bowl. Make a well in the center, and pour in milk, oil, and egg. Mix until smooth.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
41,6664867,2,"Heat a lightly oiled griddle or frying pan over medium-high heat. Pour or scoop batter onto the griddle, using approximately 1/4 cup for each pancake; cook until bubbles form and the edges are dry, 1 to 2 minutes. Flip and cook until browned on the other side. Repeat with remaining batter.Dotdash Meredith Food StudiosDotdash Meredith Food StudiosDotdash Meredith Food Studios"
42,6664867,3,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
43,6664003,1,Gather all ingredients.Dotdash Meredith Food Studios
44,6664003,2,"Combine flour, white sugar, baking powder, and salt in a bowl. Mix together egg, milk, vegetable oil, and bananas in a second bowl."
45,6664003,3,Stir flour mixture into banana mixture; batter will be slightly lumpy.Dotdash Meredith Food Studios
46,6664003,4,"Heat a lightly oiled griddle or frying pan over medium high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake.Dotdash Meredith Food Studios"
47,6664003,5,"Cook until pancakes are golden brown, 3 to 5 minutes per side. Serve hot.Dotdash Meredith Food Studios"
48,6664003,6,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
49,6649033,1,"Sift flour, baking powder, sugar, and salt together in a large bowl. Make a well in the center and add milk, melted butter, and egg; mix until smooth."
50,6649033,2,"Heat a lightly oiled griddle or pan over medium-high heat. Pour or scoop the batter onto the griddle, using approximately 1/4 cup for each pancake; cook until bubbles form and the edges are dry, about 2 to 3 minutes. Flip and cook until browned on the other side. Repeat with remaining batter."
51,6740967,1,Combine milk and vinegar in a medium bowl and set aside for 5 minutes to make sour milk.
52,6740967,2,"Combine flour, sugar, baking powder, baking soda, and salt in a large mixing bowl. Whisk egg and butter into soured milk. Pour flour mixture into milk mixture and whisk until lumps are gone."
53,6740967,3,"Heat a large skillet over medium heat, and coat it with cooking spray. Pour 1/4 cupfuls of batter onto the skillet, and cook until bubbles form and the edges are dry, about 2 to 3 minutes. Flip with a spatula, and cook until browned on the other side. Repeat with remaining batter."
54,6663763,1,Gather all ingredients.Allrecipes/Karen Hibbard
55,6663763,2,"Stir milk, pumpkin, egg, oil, and vinegar together in a large bowl until well combined.Allrecipes/Karen Hibbard"
56,6663763,3,"Whisk flour, brown sugar, baking powder, baking soda, allspice, cinnamon, ginger, and salt together in a separate bowl. Add to pumpkin mixture; whisk just until combined.Allrecipes/Karen HibbardAllrecipes/Karen Hibbard"
57,6663763,4,Spray a griddle or frying pan with cooking spray; heat over medium-high heat.
58,6663763,5,Pour 3 to 4 tablespoons batter for each pancake onto the hot griddle and flatten batter slightly with a spoon.Allrecipes/Karen Hibbard
59,6663763,6,"Cook until small bubbles appear, about 2 minutes.Allrecipes/Karen Hibbard"
60,6663763,7,"Flip and cook until golden brown, about 2 more minutes. Repeat with remaining batter.Allrecipes/Karen Hibbard"
61,6663763,8,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
62,6600276,1,"Whisk together flour, sugar, baking powder, baking soda, and salt in a bowl until no lumps remain. Add milk, eggs, and oil; whisk until batter is runny and smooth."
63,6600276,2,Heat a nonstick griddle over medium heat and lightly coat with cooking spray.
64,6600276,3,"Working in batches, ladle a generous 1/4 cup batter for each pancake onto the preheated grill and cook until bubbles appear, 3 to 4 minutes. Flip and cook, pressing middle gently with the spatula, until bottom is lightly browned, 2 to 3 minutes more. Repeat with remaining batter."
65,6663300,1,"Combine flour, sugar, baking powder, baking soda, and salt in a large bowl. Beat together buttermilk, milk, eggs, and melted butter in a separate bowl. Keep the two mixtures separate until you are ready to cook.Dotdash Meredith Food Studios"
66,6663300,2,"Heat a lightly oiled griddle or frying pan over medium-high heat. You can flick water across the surface and if it beads up and sizzles, it's ready."
67,6663300,3,Pour the wet mixture into the dry mixture; use a wooden spoon or fork to mix until it's just blended together. The batter will be a little lumpy which is what you want.Dotdash Meredith Food Studios
68,6663300,4,"Pour or scoop the batter onto the preheated griddle, using approximately 1/2 cup for each pancake. Cook until bubbles appear on the surface, 1 to 2 minutes; flip with a spatula and cook until browned on the other side. Repeat with remaining batter.Dotdash Meredith Food Studios"
69,6663300,5,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
70,6664163,1,"Beat eggs in a bowl with an electric mixer until thick and lemon-colored, 3 to 5 minutes. Stir in milk."
71,6664163,2,"Sift together flour, sugar, and salt in a separate bowl. Add to egg mixture; mix until batter is smooth."
72,6664163,3,"Grease a griddle with butter; heat over medium heat. Drop tablespoonfuls of batter on the griddle; spread to make thin pancakes. Cook until light brown on bottom, 1 to 2 minutes. Flip and continue cooking until second side is light brown, 1 to 2 minutes more. Repeat with remaining batter."
73,6648557,1,"Whisk together almond flour, water, eggs, maple syrup, and salt in a large bowl until smooth."
74,6648557,2,Heat oil on a griddle over medium heat.
75,6648557,3,"Drop batter by large spoonfuls onto the griddle. Cook until bubbles form and edges are dry, 3 to 5 minutes. Flip and cook until bottoms are browned, 3 to 5 minutes. Repeat with remaining batter."
76,6650373,1,"Sift flour, baking powder, sugar, and salt together in a large bowl. Combine milk and egg in a small bowl. Stir egg mixture into flour mixture until just combined. Stir in melted butter, then fold in blueberries. Set aside for 1 hour."
77,6650373,2,Heat a lightly oiled griddle or nonstick frying pan over medium-high heat.
78,6650373,3,"Pour or scoop the batter onto the hot griddle, using approximately 1/4 cup for each pancake; cook until bubbles appear on the surface, then flip and cook until golden brown on both sides. Serve hot."
79,6649622,1,Preheat the oven to 350 degrees F (175 degrees C). Melt butter in a medium baking dish.
80,6649622,2,"Mix flour, milk, eggs, and salt in a medium bowl. Pour the mixture into the prepared baking dish."
81,6649622,3,"Bake on center rack in the preheated oven for 30 to 40 minutes, until golden brown."
82,6649223,1,"Sift together flour, baking powder, sugar, and salt in a large bowl. Whisk in milk, melted butter, and egg until combined. Let batter rest for 5 minutes."
83,6649223,2,Preheat a large skillet over medium-high heat. Spray with cooking spray.
84,6649223,3,"Pour batter into the hot skillet, about 1/4 cup batter for each pancake. Cook until bubbles appear on the sides and center of each pancake, 2 to 3 minutes. Flip and cook until the bottom is golden, 1 to 2 minutes."
85,6648818,1,"Sift flour, sugar, baking powder, and salt into a large bowl; make a well in the center. Whisk together water and oil in a small bowl.Dotdash Meredith Food Studios"
86,6648818,2,Pour oil and water into flour mixture.Dotdash Meredith Food Studios
87,6648818,3,Stir just until blended; mixture will be lumpy.Dotdash Meredith Food Studios
88,6648818,4,Heat a lightly oiled griddle over medium-high heat.
89,6648818,5,"Drop batter by large spoonfuls onto the griddle. Cook until bubbles form and edges are dry. Flip, then cook until bottoms are browned, 1 to 2 minutes. Repeat with remaining batter.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
90,6648818,6,Serve with berries.DOTDASH MEREDITH FOOD STUDIOS
91,6579510,1,"Combine eggs, flour, 1 tablespoon sugar, baking powder, and salt in a large bowl; gradually mix in milk, stirring constantly. Add vanilla, melted butter, and 1/2 teaspoon nutmeg. Let batter stand for 30 minutes or overnight."
92,6579510,2,Preheat the oven to 425 degrees F (220 degrees C).
93,6579510,3,"Melt butter in a 10-inch oven-proof skillet, brushing butter up on the sides of the pan. Combine 1/4 cup sugar, cinnamon, and 1/2 teaspoon nutmeg in a small bowl; sprinkle sugar mixture over the butter. Line the pan with apple slices. Sprinkle the remaining 1/4 cup sugar over apples. Place pan over medium-high heat until the mixture bubbles, then gently pour batter mixture over apples."
94,6579510,4,Bake in the preheated oven for 15 minutes. Reduce heat to 375 degrees F (190 degrees C) and bake for 10 minutes more. Slide pancake onto a serving platter and cut into wedges.
