,id_recipe,Step_Count,Step Description
0,6592163,1,Preheat the oven to 350 degrees F (175 degrees C).
1,6592163,2,Place pecans on a food processor and pulse until coarsely chopped.
2,6592163,3,"Mix sugar, eggs, light corn syrup, dark corn syrup, butter, vanilla extract, and salt together in a bowl; fold in pecans. Spoon 1/4 cup pecan mixture into each mini pie shell. Transfer pies onto a baking sheet."
3,6592163,4,"Bake in the preheated oven until mini pies are slightly browned, 25 to 30 minutes."
4,6570862,1,Preheat the oven to 450 degrees F (230 degrees C).
5,6570862,2,"Combine eggs, sugars, flour, spices, and salt in a large bowl. Blend in pumpkin. Gradually add condensed milk; mix until well combined. Pour into prepared pie crust."
6,6570862,3,"Bake pie in the preheated oven for 10 minutes. Meanwhile make the topping: Combine 2 tablespoons butter, 1 tablespoon grated orange rind, 1/4 cup brown sugar, and 3/4 cup whole pecans."
7,6570862,4,"Reduce heat to 350 degrees F (175 degrees C) and continue to bake pie until filling is set, about 40 to 50 minutes longer. Top pie with pecan mixture 10 minutes before removing from the oven."
8,6650052,1,Preheat oven to 350 degrees F (175 degrees C).
9,6650052,2,"Combine sugar, corn syrup, butter, water, and cornstarch in a saucepan over medium heat. Bring to a full boil; remove from heat.Dotdash Meredith Food Studios"
10,6650052,3,"In a large bowl, beat eggs until frothy. Gradually beat in cooked syrup mixture. Stir in salt, vanilla, and pecans.Dotdash Meredith Food Studios"
11,6650052,4,Pour pecan mixture into pie shell.Dotdash Meredith Food Studios
12,6650052,5,"Bake in the preheated oven until filling is set, 45 to 50 minutes."
13,6650052,6,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
14,6664339,1,Preheat the oven to 375 degrees F (190 degrees C).
15,6664339,2,"Combine corn syrup, sugar, melted margarine, eggs, and salt in a mixing bowl; beat with an electric mixer until combined. Stir in chocolate chips and pecans. Pour mixture into pie crust."
16,6664339,3,"Bake in the preheated oven until set, 40 to 50 minutes."
17,6664339,4,Cool completely before serving.
18,6648156,1,Gather all ingredients.Allrecipes/Jasmine Comer
19,6648156,2,Preheat the oven to 400 degrees F (205 degrees C).
20,6648156,3,"Whisk eggs in a large bowl until foamy. Whisk in melted butter. Add brown sugar, white sugar, and flour; whisk until well combined.Allrecipes/Jasmine ComerAllrecipes/Jasmine Comer"
21,6648156,4,"Add milk and vanilla, then stir in pecans.Allrecipes/Jasmine Comer"
22,6648156,5,Pour mixture into the pie shell and decorate the top with pecan halves.Allrecipes/Jasmine Comer
23,6648156,6,"Bake in the preheated oven for 10 minutes. Reduce heat to 350 degrees F (175 degrees C) and continue to bake until filling is set, 30 to 40 more minutes."
24,6648156,7,Remove from the oven and cool to room temperature before serving.Allrecipes/Jasmine Comer
25,6648156,8,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
26,6568297,1,Preheat oven to 350 degrees F (175 degrees C). Press pie crust into a 9-inch pie plate.
27,6568297,2,"Beat corn syrup, white sugar, and eggs together in a bowl using an electric mixer on low speed until well blended; stir in chocolate chips, pecans, butter, bourbon, and vanilla extract. Pour mixture into the prepared pie crust."
28,6568297,3,"Bake in the preheated oven until set, 45 to 50 minutes."
29,6574101,1,Preheat the oven to 325 degrees F (165 degrees F).
30,6574101,2,"Heat sugar, corn syrup, and butter in a small saucepan over medium heat, stirring constantly, until butter melts and sugar dissolves. Remove from the heat and cool slightly, about 5 minutes."
31,6574101,3,"Whisk eggs, bourbon, vanilla, and salt together in a large bowl until well combined. Slowly pour sugar mixture into egg mixture, whisking constantly. Stir in chocolate chips and pecans. Pour mixture into pie shell."
32,6574101,4,"Bake in the preheated oven until set and golden, 50 to 55 minutes. Serve warm or chilled."
33,6664996,1,Preheat oven to 400 degrees F (205 degrees C).
