,id_recipe,Step_Count,Step Description
0,6574145,1,"Toss cabbage with vinegar, sugar, coriander, pepper, and salt in a large bowl. Massage spices into cabbage using your hands. Adjust seasoning as desired with additional sugar or salt. Stir in Thai chile. Cover and chill until sugar and salt dissolve, at least 30 minutes."
1,7509784,1,Preheat air fryer to 350 degrees F (175 degrees C). Lightly coat air fryer basket with cooking spray.
2,7509784,2,"Put flour in a shallow dish. In a second shallow dish, lightly beat eggs. In a third shallow dish, add panko. Pat pickle chips very dry. Coat pickles in flour, shaking off excess. Dip in eggs, allowing excess to drip off. Toss in panko, lightly pressing to adhere. Arrange pickles in the air fryer basket in an even layer (do not overcrowd), working in batches if needed."
3,7509784,3,"Cook until pickle chips are golden brown, about 6 minutes."
4,7509784,4,"Meanwhile, stir together mayonnaise, Creole mustard, lemon juice, and smoked paprika in a small bowl. Serve dipping sauce with pickles."
5,6649594,1,Gather all ingredients.Dotdash Meredith Food Studios
6,6649594,2,"Place beets in a large stockpot with water to cover. Bring to a boil, and cook until tender, about 15 minutes."
7,6649594,3,"Meanwhile, inspect 10 pint-sized jars for cracks and rings for rust, discarding any defective ones. Immerse in simmering water until beets are ready. Wash new, unused lids and rings in warm soapy water."
8,6649594,4,"Drain beets, reserving 2 cups of beet water. When beets are cool enough to handle, peel and discard skins."
9,6649594,5,Fill each sterilized jar with beets. Evenly divide cloves among the jars.Dotdash Meredith Food Studios
10,6649594,6,"Combine sugar, 2 cups of beet water, vinegar, and pickling salt in a large saucepan; bring to a rapid boil."
11,6649594,7,"Pour the hot brine over the beets in the jars, and seal the lids.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
12,6649594,8,"Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil over high heat, then carefully lower the jars into the pot using a holder. Leave a 2-inch space between the jars. Pour in more boiling water if necessary until the water level is at least 1 inch above the tops of the jars. Bring the water to a full boil, cover the pot, and process for 10 minutes.Dotdash Meredith Food Studios"
13,6649594,9,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
14,6650098,1,"Inspect six 1/2-pint jars for cracks and rings for rust, discarding any defective ones. Immerse in simmering water. Wash new, unused lids and rings in warm soapy water."
15,6650098,2,"While the jars are bring sterilized, stir together vinegar, water, and salt in a large saucepan. Add garlic and bring to a rolling boil over high heat."
16,6650098,3,Trim green beans to 1/4-inch shorter than the jars.
17,6650098,4,Remove jars from simmering water. Place 1 sprig of dill and 1/8 teaspoon red pepper flakes in each jar. Pack in green beans standing on end.
18,6650098,5,"Ladle boiling brine (leave out garlic) into the jars, filling within 1/4-inch of the tops. Seal jars with lids and rings."
19,6650098,6,"Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil and lower jars 2 inches apart into the boiling water using a holder. Pour in more boiling water to cover jars by at least 1 inch. Bring to a simmer (do not boil), cover, and process for 10 minutes."
20,6650098,7,"Remove jars from the stockpot and cool to room temperature, 8 to 12 hours. Test jars for a good seal by pressing on the center of the lid — it should not move."
21,6650098,8,"Let green beans ferment for 2 to 3 weeks in a cool, dark space before eating."
22,6588212,1,"Cut ginger into chunks. Place in a bowl, sprinkle with sea salt, and stir to coat. Let stand for about 30 minutes, then transfer to a clean lidded jar."
23,6588212,2,"Stir together rice vinegar and sugar in a saucepan until sugar has dissolved. Bring to a boil, then pour the boiling liquid over ginger root pieces in the jar."
24,6588212,3,"Allow the mixture to cool, then seal the jar. After a few minutes, the liquid may change to a slightly pinkish color; don't be alarmed. Store in the refrigerator for at least 1 week."
25,6588212,4,Cut pieces of ginger into paper-thin slices for serving.
26,6648783,1,Gather all ingredients.Dotdash Meredith Food Studios
27,6648783,2,"Stir water, vinegar, sugar, and sea salt together in a saucepan over high heat; bring to a boil. Remove from the heat and cool completely.Dotdash Meredith Food Studios"
28,6648783,3,"Combine cucumber spears, garlic cloves, and fresh dill in a large glass or plastic lidded container.Dotdash Meredith Food Studios"
29,6648783,4,"Pour cooled vinegar mixture over cucumbers, garlic, and dill.Dotdash Meredith Food Studios"
30,6648783,5,Seal container with lid and refrigerate for at least 3 days.DOTDASH MEREDITH FOOD STUDIOS
31,6738384,1,"Combine water, vinegar, sugar, kosher salt, garlic, and oregano in a saucepan over high heat. Bring mixture to a boil, stir in jalapeño peppers, and remove from heat. Let mixture cool for 10 minutes."
32,6738384,2,Pack peppers into two 8-ounce jars using tongs and cover with vinegar mixture. Cover and refrigerate until needed.Chef Mo
33,6648311,1,"Mix cucumbers, onions, green bell peppers, garlic, and salt together in a large bowl. Allow to stand approximately 3 hours."
34,6648311,2,"Mix sugar, cider vinegar, mustard seed, turmeric, celery seed, and whole cloves together in a large saucepan; bring to a boil over high heat."
35,6648311,3,Drain any liquid from the cucumber mixture. Stir cucumbers into the boiling vinegar mixture. Remove from heat shortly before the combined mixture comes to a boil.
36,6648311,4,Transfer into sterile screw-top jars; seal and chill in the refrigerator until ready to serve.
37,6648311,5,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
38,6581206,1,Gather all ingredients.Dotdash Meredith Food Studios
39,6581206,2,"Inspect three pint-sized jars for cracks and rings for rust, discarding any defective ones. Immerse in simmering water until brine is ready. Wash new, unused lids and rings in warm soapy water."
40,6581206,3,"Bring water, vinegar, and salt to a rolling boil in a small saucepan.Dotdash Meredith Food Studios"
41,6581206,4,"Divide okra evenly between the hot, sterlized jars. Place a dried chile and a teaspoon of dill into each jar. Pour hot brine over okra, then run a clean knife or thin spatula around the insides of the jars to remove any air bubbles. Wipe the rims with a moist paper towel to remove any residue. Top with lids and screw rings on tightly.Dotdash Meredith Food Studios"
42,6581206,5,"Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil and lower jars 2 inches apart into the boiling water using a holder. Pour in more boiling water to cover jars by at least 1 inch. Bring to a rolling boil, cover, and process for 10 minutes."
43,6581206,6,"Remove the jars from the stockpot and let rest, several inches apart, for 12 to 24 hours. Press the center of each lid with a finger to ensure the lid does not move up or down. Remove the rings for storage and store in a cool, dark area.Dotdash Meredith Food Studios"
44,6664971,1,"Place green and red peppers, jalapeños, celery, carrots, onion, and cauliflower in a large bowl. Stir in salt, then fill with enough cold water to cover. Place plastic wrap or aluminum foil over the bowl; refrigerate for 8 hours to overnight."
45,6664971,2,Drain salty water; rinse vegetables and set aside.
46,6664971,3,"Mix together olives, garlic, oregano, red pepper flakes, and black pepper in a medium bowl. Pour in vinegar and olive oil; mix well. Combine with vegetable mixture; cover and refrigerate for 2 days before using."
47,6600959,1,"Place zucchini and onions into a large bowl and cover with water. Add salt and stir until dissolved. Let vegetables soak for at least 2 hours, then drain and transfer to a large pot."
48,6600959,2,"Bring sugar, vinegar, mustard seeds, celery seed, turmeric, and yellow mustard to a boil in a saucepan. Pour mixture over drained zucchini and onions; let stand for at least 2 more hours."
49,6600959,3,"Place the pot with the vegetables, spices, and pickling liquid onto the stove and bring to a boil. Boil for 3 minutes."
50,6600959,4,"Meanwhile, inspect three quart-sized jars for cracks and rings for rust, discarding any defective ones. Immerse in simmering water until vegetables are ready. Wash new, unused lids and rings in warm soapy water."
51,6600959,5,"Pack vegetables into hot, sterilized jars, filling to within 1/4 inch of the top. Run a clean knife or thin spatula around the insides of the jars to remove any air bubbles. Wipe the rims with a moist paper towel to remove any residue. Top with lids and screw rings on tightly."
52,6600959,6,"Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil and lower jars 2 inches apart into the boiling water using a holder. Pour in more boiling water to cover jars by at least 1 inch. Bring to a rolling boil, cover, and process for 10 minutes."
53,6600959,7,"Remove the jars from the stockpot and let rest, several inches apart, for 24 hours. Press the center of each lid with a finger to ensure the lid does not move up or down. Remove the rings for storage and store in a cool, dark area."
54,6649433,1,"Wearing rubber or latex gloves, trim tops off chiles. Pulse chiles, bell peppers, and onion in a food processor, working in batches, until finely chopped, about 1 minute per batch. Transfer to a nonreactive 3-quart pot."
55,6649433,2,"Stir sugar, vinegar, and pickling salt into chile mixture; bring to a boil. Reduce heat to medium and simmer, stirring more frequently toward the end of cooking to prevent scorching, until thickened, 20 to 30 minutes."
56,6649433,3,"Ladle relish into wide-mouth, 1/2-pint jars, leaving 1/2 inch headspace. Wipe the rims clean with a damp paper towel. Let cool to room temperature, about 1 hour."
57,6649433,4,Screw on the lids and store in the refrigerator for 2 to 3 weeks or the freezer for up to 6 months.
58,6650034,1,"Place Persian cucumbers in a bowl; add salt and mix well. Let sit until cucumbers release their juices, about 10 minutes. Squeeze excess juice from cucumbers and drain."
59,6650034,2,"Whisk together rice vinegar, white sugar, soy sauce, and sesame oil in a bowl until sugar is dissolved; pour over cucumbers. Marinate for 30 minutes. Garnish with sesame seeds."
60,6736720,1,Gather all ingredients.Dotdash Meredith Food Studios
61,6736720,2,"Combine cucumbers, water, vinegar, chopped dill, sugar, garlic, salt, pickling spice, dill seed, and red pepper flakes in a large bowl. Stir and let sit at room temperature until sugar and salt dissolve, about 2 hours.Dotdash Meredith Food Studios"
62,6736720,3,"Transfer cucumbers to 3 wide-mouth, 1 1/2-pint jars, placing 4 cucumbers into each jar. Add enough vinegar mixture to cover cucumbers. Place 1 sprig of fresh dill into each jar and seal with lids. Refrigerate for 10 days before eating. Use within 1 month.Dotdash Meredith Food Studios"
63,6564975,1,"Trim the cut end of asparagus spears; slice them into 3-inch lengths. Place in a large bowl with 1/3 cup salt. Pour in water to cover asparagus; let stand for 2 hours. Drain and rinse under cool water, and pat dry."
64,6564975,2,Sterilize two pint-sized wide mouth jars in simmering water for 5 minutes.
65,6564975,3,"In a saucepan over medium heat, combine vinegar, sugar, onion, dill seed, 1 teaspoon salt, and mustard seed. Bring to a boil and simmer for one minute."
66,6564975,4,"Pack asparagus spears, tips up, in the hot jars leaving 1/2 inch of space from the rim. Tuck one dill sprig into each jar; sprinkle in 1/4 teaspoon of red pepper flakes. Pour hot pickling liquid into the jars, filling to within 1/4 inch of the rim. Wipe rims with a clean damp cloth and seal with lids."
67,6564975,5,"Place a rack in the bottom of a large stockpot and fill halfway with water. Bring to a boil and lower jars 2 inches apart into the boiling water using a holder. Pour in more boiling water to cover jars by at least 1 inch. Bring to a rolling boil, cover, and process for 10 minutes."
68,6564975,6,"Cool jars to room temperature. Check seals when cool by pressing the center of the lid. It should not move. Label and date; store in a cool dark place. If any jars have not sealed properly, refrigerate and eat within two weeks."
69,6565847,1,"Mix distilled white vinegar, water, white sugar, salt, and pepper in a medium saucepan. Bring the mixture to a boil. Remove from heat and allow to cool slightly.Dotdash Meredith Food Studios"
70,6565847,2,Place carrots in sterile containers. Cover with the vinegar solution.Dotdash Meredith Food Studios
71,6565847,3,"Seal the containers, refrigerate and marinate carrots, 12 hours or overnight before serving.Dotdash Meredith Food Studios"
72,6736424,1,"Remove outer leaves and any undesirable portions from firm mature cabbage heads. Cut heads into quarters and remove and discard cores, Cut cabbage into thin shreds about the thickness of a dime with a sharp knife, mandolin, or food processor."
73,6736424,2,"Transfer 5 pounds cabbage to a large bowl. Sprinkle 3 tablespoons salt over top and mix thoroughly. Let stand until slightly wilted, about 5 minutes."
74,6736424,3,"Pack salted cabbage firmly and evenly into a large, clean pickling container. Use a wooden spoon, tapper, or your hands to press down firmly until juice comes to the surface."
