,id_recipe,Step_Count,Step Description
0,6648543,1,"Gather all ingredients. Preheat oven to 450 degrees F (230 degrees C), and lightly grease a pizza pan.Dotdash Meredith Food Studios"
1,6648543,2,"Place warm water in a bowl; add yeast and sugar. Mix and let stand until creamy, about 10 minutes.Dotdash Meredith Food Studios"
2,6648543,3,"Add flour, oil, and salt to the yeast mixture; beat until smooth. You can do this by hand or use a stand mixer fitted with a dough hook to make it easier.Dotdash Meredith Food Studios"
3,6648543,4,Let rest for 5 minutes.Dotdash Meredith Food Studios
4,6648543,5,Turn dough out onto a lightly floured surface and pat or roll into a 12-inch circle.Dotdash Meredith Food Studios
5,6648543,6,Transfer to the prepared pizza pan.Dotdash Meredith Food Studios
6,6648543,7,Spread crust with sauce and toppings of your choice.Dotdash Meredith Food Studios
7,6648543,8,"Bake in the preheated oven until golden brown, 15 to 20 minutes. Remove from the oven and let cool for 5 minutes before serving.Vilma Ng"
8,6648387,1,"Mix flour, baking powder, and salt together in a bowl; stir in milk and olive oil until a soft dough forms. Turn dough onto a lightly floured surface and knead 10 times. Shape dough into a ball; cover with an inverted bowl and let sit for 10 minutes."
9,6648387,2,Roll dough into a 12-inch circle on a baking sheet.
10,6738854,1,"Dissolve yeast and sugar in warm water that's 110 degrees F (44 degrees C) in a small bowl. Let stand until yeast softens and begins to form a creamy foam, about 5 to 8 minutes."
11,6738854,2,Combine 1 3/4 cups flour and salt in a large bowl. Pour in yeast mixture; mix well until dough comes together.
12,6738854,3,"Transfer dough to a floured surface and knead until smooth, about 2 minutes. Add remaining 1/4 cup flour if dough is too sticky."
13,6738854,4,Roll dough into a 12-inch circle. Transfer to a greased pizza pan.
14,6663528,1,Preheat the oven to 500 degrees F (260 degrees C).
15,6663528,2,"Mix flour and Greek yogurt together in a bowl to form a dough; transfer to a work surface floured with self-rising flour. Knead dough, adding more flour as needed to keep dough from being too sticky, about 8 to 10 minutes."
16,6663528,3,Spray a 12-inch pizza pan with cooking spray and spread dough to the edges of the pan.
17,6663528,4,"Bake pizza crust in preheated oven for 5 to 7 minutes; add your favorite toppings and return to the preheated oven. Bake until crust is lightly browned, 5 to 7 minutes more."
18,7568213,1,"Stir yeast, sugar, and water together in a bowl; let sit for about 10 minutes."
19,7568213,2,"Stir in flour and mix until a dry, shaggy dough forms. Add salt, butter, and 2 tablespoons oil and mix to combine."
20,7568213,3,"Knead with your hands in the bowl until dough comes together, then turn out onto the counter and continue to knead until a stiff but smooth dough forms, about 1 to 2 minutes."
21,7568213,4,"Return dough to the bowl; rub the surface of the dough with a small amount of oil. Cover the bowl and let dough rise in a warm place until doubled in size, up to 6 hours. Alternately, place dough in the refrigerator to rise overnight."
22,7568213,5,"Meanwhile, make the pizza sauce. Blend San Marzano tomatoes until smooth using a stick blender or in the jar of an electric blender. Measure out 1 1/2 cups of the tomato puree and place into a bowl. Stir in 1 teaspoon kosher salt, dried oregano, and cayenne pepper. Refrigerate until ready to make the pizzas."
23,7568213,6,Preheat the oven to 500 degrees F (260 degrees C). Drizzle 1 1/2 to 2 tablespoons oil into a 10- to 12-inch pizza pan.
24,7568213,7,"Divide dough into 4 pieces and roll into balls. Keep dough covered when not using. Press 1 dough ball into a round disc and place on the prepared pizza pan. Press and stretch dough flat, almost all the way to the edge of the pan. Poke the dough all over with a fork."
25,7568213,8,"Once the dough is properly punctured, top with about 1/3 cup sauce, spreading all the way to the edge of dough. Top the entire surface with 2 ounces each of Cheddar cheese and Monterey Jack cheese."
26,7568213,9,"Bake in the preheated oven until cheese is bubbling and bottom of pizza is browned, 10 to 12 minutes. Repeat with remaining ingredients to make 3 more pizzas.Chef John"
27,7496725,1,"Combine flour, sugar, yeast, and salt in a food processor and process until combined, about 3 seconds. With processor running, slowly pour cold water and oil through the food chute and process until dough forms a sticky ball that clears the sides of the bowl, 45 seconds to 1 minute."
28,7496725,2,"Lighly oil a work surface and set dough ball on top; knead until smooth, about 1 minute. Shape dough into a tight ball and place in a large bowl greased with oil. Cover bowl with plastic wrap and allow dough to rise at room temperature until almost doubled in size, 1 hour 30 minutes to 2 hours."
29,7496725,3,Preheat the oven to 500 degrees F (260 degrees C). Place a pizza stone on the lowest rack in the oven.
30,7496725,4,"Transfer dough to a lightly floured work surface and gently re-shape into a ball. Coat dough ball lightly with flour and flatten into an 8-inch disk using your fingertips. Using a rolling pin, roll dough into a 12‑inch circle, dusting dough lightly with flour as needed."
31,7496725,5,"Dust a pizza peel with cornmeal and transfer dough circle on top. Spread marinara sauce on dough, leaving a 1/2-inch border around the edge. Top evenly with mozzarella, pepperoncini, pepperoni slices, and sliced jalapeño."
32,7496725,6,"Carefully transfer pizza onto pizza stone in the preheated oven and bake until edges are golden brown and cheese is melted, about 10 minutes."
33,7496725,7,Remove from oven; drizzle with hot honey and sprinkle with basil.
34,6650997,1,"Pour warm water into a large bowl; stir in sugar to dissolve. Sprinkle yeast on top and let stand until foamy, about 10 minutes.Dotdash Meredith Food Studios"
35,6650997,2,Stir olive oil and salt into yeast mixture; mix in whole wheat flour and 1 cup all-purpose flour until dough starts to come together.Dotdash Meredith Food Studios
36,6650997,3,"Turn dough out onto a surface floured with remaining all-purpose flour; knead until all of the flour has been absorbed and dough becomes smooth, about 10 minutes.Dotdash Meredith Food Studios"
37,6650997,4,"Place dough in an oiled bowl and turn to coat the surface. Cover loosely with a towel; let stand in a warm place until doubled in size, about 1 hour.Dotdash Meredith Food Studios"
38,6650997,5,"Turn dough out onto a lightly floured surface; divide into 2 pieces for 2 thin crusts, or leave whole to make one thick crust."
39,6650997,6,"Form dough into a tight ball; place dough back into an oiled bowl and turn to coat the surface. Cover loosely with a towel; let stand in a warm place until doubled in size, about 45 minutes."
40,6650997,7,"Grease a large pizza pan. Roll a ball of dough with a rolling pin until it will not stretch any further. Then, drape it over both of your fists, and gently pull the edges outward, while rotating crust. When the circle has reached the desired size, place on the prepared pizza pan.Dotdash Meredith Food Studios"
41,6650997,8,"Bake with sauce, cheese and toppings.DOTDASH MEREDITH FOOD STUDIOS"
42,6594917,1,"Mix together 1/2 cup lukewarm water and yeast in a small bowl. Let stand until foamy, about 5 minutes."
43,6594917,2,"Combine 1/2 cup water, olive oil, honey, and salt in a large mixing bowl. Add 1 cup flour and mix well. Mix yeast mixture into flour mixture. Add remaining flour, 1 cup at a time, until dough is well combined."
44,6594917,3,"Knead dough on a floured work surface until dough is soft, smooth, and elastic, about 8 minutes. Roll dough into 4 calzone shapes or 1 large pizza."
45,6739460,1,"Combine flour, sugar, yeast, and salt in a large bowl. Mix in warm water and oil until dough comes together."
46,6593046,1,Gather all ingredients.Dotdash Meredith Food Studios
47,6593046,2,"Pour warm water into the bread machine pan; add flour on top of water. Sprinkle over yeast, salt, and sugar. Set the machine on the dough setting, and push the start button.Dotdash Meredith Food Studios"
48,6593046,3,"When the machine signals that the dough is finished, transfer dough to a well-floured work surface.Dotdash Meredith Food Studios"
49,6593046,4,Preheat the oven to 425 degrees F (220 degrees C).
50,6593046,5,"Roll or stretch dough out into a thin crust about 14 inches in diameter, leaving dough thick at the edge. Place dough onto a 14-inch pizza baking sheet; brush dough with olive oil.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
