,id_recipe,Step_Count,Step Description
0,6650301,1,Gather all ingredients.Dotdash Meredith Food Studios
1,6650301,2,Preheat the oven to 375 degrees F (190 degrees C).
2,6650301,3,Beat eggs and milk together in a medium bowl.Dotdash Meredith Food Studios
3,6650301,4,Stir in flour.Dotdash Meredith Food Studios
4,6650301,5,"Divide butter evenly into the cups of a 12-cup muffin tin, about 1/2 teaspoon per cup.Dotdash Meredith Food Studios"
5,6650301,6,"Place the muffin tin in the preheated oven until butter has melted and is sizzling hot, 2 to 3 minutes. Remove from oven, and distribute batter evenly among each cup.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
6,6650301,7,Return to the oven and bake for 5 minutes. Reduce the heat to 350 degrees F (175 degrees C) and bake until puffed and golden about 25 minutes more.DOTDASH MEREDITH FOOD STUDIOS
7,6570311,1,Preheat the oven to 450 degrees F (230 degrees C). Grease and flour six 6-ounce custard cups.
8,6570311,2,"Beat eggs slightly in a medium bowl. Beat in flour, milk, and salt until just smooth; being careful not to overbeat.Dotdash Meredith Food Studios"
9,6570311,3,Fill custard cups 1/2 full.Dotdash Meredith Food Studios
10,6570311,4,Bake in the preheated oven for 20 minutes. Decrease the oven temperature to 350 degrees F (175 degrees C) and bake for 20 minutes more. Immediately remove from cups and serve piping hot.Dotdash Meredith Food Studios
11,6664326,1,Preheat the oven to 450 degrees F (230 degrees C).
12,6664326,2,"Whisk milk and eggs together in a large bowl. Whisk in flour, 1 cup at a time, until frothy and well blended. Set aside."
13,6664326,3,Place 1 teaspoon oil into each cup of a 12-cup muffin tin.
14,6664326,4,"Place the tin in the preheated oven until oil is smoking, 5 to 10 minutes. Remove from the oven and quickly ladle about 1/4 cup batter into each cup."
15,6664326,5,Return to the oven and bake for 30 to 35 minutes until puddings have risen and are golden brown. Serve immediately.
16,6737657,1,Whisk eggs and salt together in a bowl until light and frothy. Whisk in flour and milk until smooth and lump-free; batter will be thin and barely coat the back of a spoon.
17,6737657,2,"Transfer batter to a 4-cup measuring cup and chill in the refrigerator, at least 15 minutes."
18,6737657,3,Preheat oven to 400 degrees F (200 degrees C).
19,6737657,4,Fill each cup of a 12-cup nonstick muffin tin with 1 tablespoon melted beef fat; use your finger to grease the sides and tops of the cups. Place the muffin tin on a baking sheet.
20,6737657,5,"Heat in the preheated oven on the middle rack until fat is smoking hot, 10 to 15 minutes."
21,6737657,6,Remove from the oven and fill each muffin cup halfway full with batter.
22,6737657,7,"Bake pudding in the preheated oven until browned and fully puffed, about 25 minutes more. Remove from the oven and immediately poke a hole in the center of each to release steam. Serve hot, warm, or room-temperature."
23,6649372,1,Preheat oven to 425 degrees F (220 degrees C).
24,6649372,2,Spray a popover pan with nonstick cooking spray. Place pan on center rack of oven and preheat for 2 minutes.
25,6649372,3,"Blend flour, salt, eggs, milk, and melted butter until it looks like heavy cream, about 1 to 2 minutes."
26,6649372,4,Cut chilled butter into 6 even pieces. Place 1 piece of butter in each cup and place pan back in oven until butter is bubbly (about 1 minute).
27,6649372,5,Fill each cup half full with batter and bake 20 minutes. Reduce heat to 325 degrees F (165 degrees C) and bake for another 15 to 20 minutes.
28,6605082,1,Preheat the oven to 450 degrees F (220 degrees C). Place about a tablespoon of beef drippings into each cup of a 6-cup muffin tin.
29,6605082,2,"Whisk eggs in a medium bowl until well-blended. Stir in milk, flour, and salt. Fill the muffin cups about halfway."
30,6605082,3,"Bake in the preheated oven for 15 minutes, then reduce the oven temperature to 350 degrees F (175 degrees C) and bake for an additional 15 minutes."
31,6570135,1,Preheat oven to 350 degrees F (175 degrees C). Grease a small glass baking dish; place in oven to heat while you prepare the pudding.
32,6570135,2,Beat eggs with a pinch of salt in a bowl until smooth; add milk and flour and whisk until you have a smooth batter.
33,6570135,3,"Pour batter into the hot baking dish and bake in preheated oven until no longer wet in the center, 10 to 12 minutes."
34,6738245,1,Preheat the oven to 375 degrees F (190 degrees C). Place a piece of butter into each cup of a jumbo muffin tin.
35,6738245,2,"Place muffin tin into the preheating oven until butter melts, about 5 minutes. Remove and set aside."
36,6738245,3,Stir 1 tablespoon sugar and cinnamon together in a small bowl.
37,6738245,4,"Beat milk, 1/4 cup sugar, eggs, and vanilla in a large bowl. Whisk in flour until incorporated. Divide batter among muffin cups. Drop an equal amount of blueberries into each cup, then sprinkle cinnamon-sugar mixture over top."
38,6738245,5,"Bake in the preheated oven for 5 minutes. Reduce the heat to 350 degrees F (175 degrees C) and continue baking until popovers are no longer moist in the center, about 25 minutes."
39,6738245,6,Remove from the oven and transfer to a wire rack. Dust tops of popovers with confectioners' sugar and squeeze lemon halves over top. Serve warm.
40,6600845,1,"Mix flour, milk, eggs, and salt together in a large bowl with an electric mixer until smooth, about 5 minutes. Cover and refrigerate for 1 hour."
41,6600845,2,"Preheat the oven to 425 degrees F (220 degrees C). Coat a 9x13-inch baking dish with beef drippings. Place the pan in the preheating oven until drippings are hot and sizzling, about 15 minutes."
42,6600845,3,"Remove batter from the refrigerator; beat briefly, then scoop into the prepared baking pan."
43,6600845,4,"Bake in the preheated oven for 20 minutes. Lower the oven temperature to 375 degrees F (190 degrees C). Without opening the oven, continue baking until pudding is puffed and golden brown, about 15 minutes more. Remove from oven, cut into 8 squares, and serve hot."
44,6571357,1,Blend eggs in a blender for 2 to 3 minutes.
45,6571357,2,"Sift flour and salt together into a bowl. Add flour mixture and 1/4 cup milk to the blender; blend until smooth, about 1 minute. Scrape batter from the sides of the blender and pour in remaining 3/4 cup milk; blend until smooth, 2 to 3 more minutes."
46,6571357,3,Refrigerate batter for 1 to 2 hours before cooking.
47,6571357,4,Preheat the oven to 450 degrees F (230 degrees C).
48,6571357,5,Divide beef drippings among six muffin cups in a 12-cup muffin pan. Place the muffin pan into the preheating oven and heat until drippings are very hot.
49,6571357,6,Remove pan from the oven. Pour batter over hot beef drippings.
50,6571357,7,"Bake in the preheated oven until puffed and slightly browned, 20 to 30 minutes."
51,6738438,1,Grease a 6-tin muffin pan with butter and cooking spray.
52,6738438,2,"Whisk eggs, milk, flour, salt, and cayenne pepper together in a small bowl until smooth. Pour batter into each muffin tin, filling to about 3/4 of the way up the sides. Sprinkle about 1 teaspoon of grated Cheddar cheese atop each popover."
53,6738438,3,"Place pan in a cold oven. Heat to 450 degrees F (230 degrees C) and bake until puffed and well-browned, about 30 minutes."
54,6595860,1,Preheat oven to 450 degrees F (230 degrees C). Drop 1 teaspoon olive oil each into 6 muffin cups.
55,6595860,2,"Beat eggs, egg whites, and milk together in a glass bowl until smooth."
56,6595860,3,"Heat egg mixture in microwave oven until warmed, about 1 minute."
57,6595860,4,Stir flour into the egg mixture until completely incorporated into a batter.
58,6595860,5,"Heat muffin cups in preheated oven until the oil is smoking, 2 to 3 minutes."
59,6595860,6,Stir cold water into batter. Pour 1/4 cup batter into each muffin cup.
60,6595860,7,"Bake in the preheated oven until risen and cooked in their centers, about 25 minutes."
61,6574635,1,Preheat oven to 350 degrees F (175 degrees C). Put 12-cup muffin tin in oven to preheat as well.
62,6574635,2,Beat eggs and milk together in a bowl with an electric hand mixer. Add flour and salt; continue beating into smooth batter.
63,6574635,3,Put about 3/4 teaspoon butter into each muffin tin and carefully spread butter up sides of each cup. Quickly divide batter among prepared cups.
64,6574635,4,"Bake until popovers are risen well and browned, 30 to 35 minutes. Do not open the oven during baking."
65,6663116,1,"Whisk eggs, milk, flour, oil, salt, and cayenne together in a large measuring cup or mixing bowl just until blended."
66,6663116,2,"Cover the bowl with plastic wrap and allow to rest for 1 hour on the counter, or in the refrigerator for 2 to 3 hours, up to overnight."
67,6663116,3,"Grease 14 nonstick muffin cups with butter, and then mist with cooking spray."
68,6663116,4,Whisk the batter for a few seconds and fill each prepared muffin cup 4/5 full. Sprinkle each evenly with blue cheese.
69,6663116,5,"Place the muffin pans into a cold oven with a drip pan set underneath. Set the heat to 450 degrees F (230 degrees C). Bake in the oven until popovers are well browned and fully puffed, 30 to 35 minutes."
70,6663116,6,Poke each popover with a knife to allow steam to escape. Serve hot.
71,6581303,1,"Sift the flour, salt, and baking soda together in a bowl. Add the buttermilk and egg yolks; stir until you have a batter."
