,id_recipe,Step_Count,Step Description
0,6663608,1,"Pour vegetable oil into the bottom of a slow cooker. Place pork roast into the slow cooker; pour in barbeque sauce, vinegar, and chicken broth. Stir in brown sugar, yellow mustard, Worcestershire sauce, chili powder, onion, garlic, and thyme. Cover and cook on Low for 10 to 12 hours or High for 5 to 6 hours until pork shreds easily with a fork."
1,6663608,2,"Remove pork from the slow cooker, and shred the meat using two forks. Return shredded pork to the slow cooker, and stir to combine with juices."
2,6663608,3,"Spread the inside of both halves of hamburger buns with butter. Toast buns, butter-side down, in a skillet over medium heat until golden brown. Spoon pulled pork into toasted buns."
3,6650619,1,"Place pork shoulder in a large pot and add enough apple cider to cover. Combine white sugar, brown sugar, salt, paprika, onion powder, black pepper, and garlic powder in a bowl. Mix 1/4 cup of sugar rub into cider; reserve remaining rub. Cover the pot and refrigerate for 12 hours."
4,6650619,2,Preheat the smoker to 210 degrees F (99 degrees C). Add enough wood chips to the smoker.
5,6650619,3,Pour cider brine into the water pan of the smoker; add onion and 1/4 cup more sugar rub.
6,6650619,4,Spread remaining sugar rub over pork shoulder. Transfer pork to the center of the smoker.
7,6650619,5,"Smoke pork until very tender or until it reaches an internal temperature of 200 degrees F (95 degrees C), about 8 hours. Monitor hickory chips and liquid, adding more as needed."
8,6650619,6,Transfer pork to a large platter and cool for 30 minutes before shredding with forks.
9,6648362,1,"Melt butter in a skillet over medium heat; stir in soy sauce. Add green onions and garlic and cook until lightly browned, about 2 minutes."
10,6648362,2,"Place pork steaks in the skillet. Cover and cook until browned, 8 to 10 minutes per side. Remove the lid and continue cooking until an instant-read thermometer inserted into the thickest part of the steak reads 145 degrees F (63 degrees C), about 10 minutes."
11,6580706,1,"Combine garlic cloves, olive oil, vinegar, oregano, salt, and black pepper in a mortar and pestle; mash into a paste."
12,6580706,2,Cut deep slits into pork with a small knife. Stuff slits with garlic paste; rub any remaining paste over pork.
13,6580706,3,"Place pork in a plastic roasting bag and put in a roasting pan with a rack. Let marinate in the refrigerator, 8 to 48 hours."
14,6580706,4,"Take pork out of the refrigerator, uncover, and bring to room temperature, 1 to 2 hours."
15,6580706,5,Preheat the oven to 300 degrees F (150 degrees C).
16,6580706,6,"Roast pork skin-side down in the preheated oven until golden brown, about 2 hours. Flip pork and continue roasting, skin-side up, until juices run clear and an instant-read thermometer inserted into the center reads at least 145 degrees F (63 degrees C), 2 to 4 hours more."
17,6738383,1,"Stir pork shoulder, livers, onion, celery, poblano pepper, jalapeño pepper, garlic, salt, 1 1/2 tablespoons ground black pepper, chili powder, and 1 teaspoon cayenne pepper together in a large pot. Cover the pot with a lid and refrigerate until flavors combine, 2 hours to overnight."
