,id_recipe,Step_Count,Step Description
0,6648238,1,"Season chuck roast with salt and pepper. Heat oil in a large skillet over high heat; add roast and sear to brown, about 4 minutes per side."
1,6648238,2,"Place roast in the slow cooker and sprinkle soup mix on top. Add water, and scatter carrots, potatoes, onion, and celery on top."
2,6648238,3,Cover and cook on Low for 8 to 10 hours.
3,6664404,1,"Combine chuck roast, pepperoncini, pepperoncini juice, butter, au jus mix, ranch dressing mix, salt, and pepper in a slow cooker. Cover and cook on Low until roast is fork-tender, about 8 hours."
4,6664404,2,Remove chuck from slow cooker; shred with 2 forks and serve with gravy.
5,6650194,1,"Heat oil in a pressure cooker over medium-high heat. Sear roast on all sides in hot oil until browned; season with salt, onion powder, and pepper."
6,6650194,2,"Pour in beef broth and Worcestershire sauce; add onion and seal the lid. Bring the cooker up to full pressure. Reduce heat to low, maintaining full pressure, and cook for 30 minutes."
7,6650194,3,Use the quick-release method to lower the pressure. Stir in potatoes and carrots and seal the lid; bring the cooker up to full pressure and cook for an additional 15 minutes.
8,6650194,4,Use the quick-release method again and transfer roast and vegetables to a serving dish.
9,6664215,1,Gather ingredients.Dotdash Meredith Food Studios
10,6664215,2,"Cut potatoes, onions, and celery into fairly large chunks; place in the bottom of a slow cooker along with baby carrots. Place roast on top of vegetables. Place 3 bouillon cubes randomly on top of the roast and pour in 1/2 cup water.Dotdash Meredith Food Studios"
11,6664215,3,Cover and cook on Low for 6 to 8 hours or on High for 4 to 5 hours. An instant-read thermometer inserted in the thickest part of the roast should read 145 degrees F (65 degrees C).Dotdash Meredith Food Studios
12,6664215,4,Transfer roast to a platter. Remove vegetables using a slotted spoon and arrange them around the roast.DOTDASH MEREDITH FOOD STUDIOS
13,6663308,1,Heat oil in a large pot or Dutch oven over medium-high heat; add roast and quickly brown on all sides.Dotdash Meredith Food Studios
14,6663308,2,"Add enough water to the pot to cover roast; add celery, garlic, onion, basil, salt, and pepper. Bring to a boil; reduce heat to low and simmer for 2 hours and 15 minutes, adding additional water if needed to keep the roast covered.Dotdash Meredith Food Studios"
15,6663308,3,Add turnips and potatoes; simmer for an additional 15 minutes.Dotdash Meredith Food Studios
16,6663308,4,"Add carrots; simmer for 30 minutes, or until roast can be pulled apart with a fork.Dotdash Meredith Food Studios"
17,6663308,5,Season to taste with salt and pepper if needed before serving.DOTDASH MEREDITH FOOD STUDIOS
18,6663556,1,"Mix condensed soup, water, and dry onion soup mix in a slow cooker. Place pot roast in the slow cooker and coat with soup mixture."
19,6663556,2,Cook on Low for 8 to 9 hours or High for 3 to 4 hours.
20,6650584,1,Preheat the oven to 275 degrees F (135 degrees C).
21,6650584,2,"Heat vegetable oil into a large oven-safe pot over medium-high heat. Season chuck roast with salt and black pepper, then cook in hot oil until brown on both sides; transfer to a plate."
22,6650584,3,"Add carrots, celery, and onion into the pot. Cook and stir until vegetables start to release their juices, scraping any brown flavor bits off the bottom of the pot, about 3 minutes. Add butter, and cook until onions are translucent, about 5 minutes. Sprinkle in rosemary; return roast to the pot and cover."
23,6650584,4,"Roast in the preheated oven until the chuck roast is tender, about 2 1/2 to 3 hours. Season vegetables with additional salt and black pepper, if desired."
24,6601853,1,Preheat the oven to 300 degrees F (150 degrees C).
25,6601853,2,"Place roast in a large baking pan; arrange potatoes, onion, carrots, and celery around roast.Dotdash Meredith Food Studios"
26,6601853,3,"Pour 3 cups water into the baking pan. Season roast with salt, pepper, and garlic salt. Cover pan with aluminum foil."
27,6601853,4,"Bake in the preheated oven until roast is browned and cooked through, about 3 hours.Dotdash Meredith Food Studios"
28,6601853,5,Transfer roast to an oven-safe platter. Remove vegetables using a slotted spoon and arrange them around roast.
29,6601853,6,Reduce oven temperature to 200 degrees F (95 degrees C). Place the platter with roast and vegetables in the oven to keep warm.
30,6601853,7,"Pour remaining pan juices into a saucepan; bring to a boil. Stir together remaining 1/2 cup water and cornstarch in a bowl until smooth; pour into boiling pan juices. Reduce heat to medium; cook, stirring constantly, until gravy is thick, about 5 minutes; season with salt and pepper. Stir in browning sauce."
31,6741035,1,Preheat the oven to 325 degrees F (165 degrees C).
32,6741035,2,Combine flour and black pepper in a large bowl. Dredge rump roast in seasoned flour and cover evenly. Shake off excess.
33,6741035,3,Melt butter in a large pot over medium-high heat. Brown roast in melted butter on all sides. Place in a 4-quart casserole dish with lid.
34,6741035,4,"Combine condensed soup, vermouth, and soup mix in a small bowl; pour over roast."
35,6741035,5,"Cover and bake in the preheated oven until desired doneness, about 3 hours. An instant-read thermometer inserted into the center should read at least 145 degrees F (63 degrees C) for medium doneness."
36,6648270,1,Gather all ingredients.Dotdash Meredith Food Studios
37,6648270,2,Preheat the oven to 325 degrees F (165 degrees C).
38,6648270,3,"Heat a Dutch oven or heavy pot over medium-high heat. Add oil, then sear meat in the center of the pan for 4 minutes. Turn meat over with tongs; sear for 3 to 4 minutes on each side. Remove meat from the pot.Dotdash Meredith Food Studios"
39,6648270,4,"Arrange onion, garlic, and 1 bay leaf in the bottom of the pan; sprinkle with salt and pepper. Return meat to the pan, place remaining bay leaf on top of meat, and cover.Dotdash Meredith Food Studios"
