,id_recipe,Step_Count,Step Description
0,6651067,1,"Mix mashed potatoes, flour, onion, egg, black pepper, and salt in a bowl until well combined, similar to a batter consistency."
1,6651067,2,"Heat vegetable oil in a skillet over medium heat. Drop 4-inch circles of batter into the hot oil. Cook until golden brown, about 4 to 5 minutes per side; drain on paper towels. Repeat with any remaining batter."
2,6649259,1,Finely grate potatoes and onion into a large bowl. Drain off any excess liquid.
3,6649259,2,"Mix in egg, salt, and pepper. Add enough flour to make the mixture thick, about 2 to 4 tablespoons all together."
4,6649259,3,"Preheat the oven to low, about 200 degrees F (95 degrees C)."
5,6649259,4,"Heat 1/4 inch oil in the bottom of a heavy skillet over medium-high heat. Drop two or three 1/4-cup mounds of batter into hot oil, and flatten with back of a spatula to make 1/2-inch-thick pancakes. Fry, turning pancakes once, until golden brown."
6,6649259,5,Transfer pancakes to a plate lined with a paper towel to drain. Keep warm in the oven until serving. Repeat until all potato mixture is used.
7,6664226,1,"Place potatoes, eggs, flour, and garlic powder in a bowl; mix well."
8,6664226,2,"Heat oil in a skillet over medium-high heat. Transfer potato mixture to the skillet, pressing with a spatula to flatten evenly. Cover and cook until bottom is crispy, about 10 minutes."
9,6664226,3,Invert onto a serving platter and garnish with fresh chives.
10,6738656,1,"Beat eggs, flour, baking powder, salt, and pepper together in a large bowl; stir in potatoes and onion."
11,6738656,2,"Heat oil in a large skillet over medium heat. Drop heaping tablespoonfuls of potato mixture into hot oil in batches. Press to flatten. Cook until browned and crisp, about 3 minutes on each side. Transfer to a paper towel-lined plate to drain. Repeat with remaining potato mixture."
12,6598824,1,Toss grated potatoes with flour in a large bowl. Stir in mashed potatoes until combined.
13,6598824,2,Whisk egg and milk together in a separate bowl; mix into the potatoes. Season to taste with salt and pepper.
14,6598824,3,"Heat oil in a large skillet over medium-high heat. Drop in potato mixture, forming patties about 2 inches in diameter. Fry on both sides until golden brown, 3 to 4 minutes per side. Drain on a paper towel-lined plate. Serve warm."
15,6663261,1,"Slice peeled potatoes and run through a food processor fitted with the grater attachment. Place shredded potatoes in a cheesecloth and wring, extracting as much moisture as possible."
16,6663261,2,"Measure 2 cups shredded, drained potatoes and place into a medium bowl; save any extra for another use. Add egg, flour, onion, and salt, and stir until well combined."
17,6663261,3,"Heat 1/4 inch of oil in a large, heavy-bottomed skillet over medium-high heat. Place large spoonfuls of potato mixture into the hot oil, pressing down on them to form 1/4- to 1/2-inch-thick patties. Cook until golden brown, 4 to 5 minutes. Flip and repeat on the other side."
18,6663261,4,Remove to a paper towel-lined plate to drain while you cook any remaining latkes. Serve hot.
19,6739299,1,"Whisk together cold water, egg, and salt in a large bowl until salt has dissolved. Mix in dry potato flakes until incorporated. Stir in 1 tablespoon chives; season with black pepper and cayenne pepper."
20,6739299,2,Divide potato mixture into 4 equal portions and shape into pancakes.
21,6739299,3,Heat oil and butter in a large skillet over medium-high heat. Swirl the pan to combine.
22,6739299,4,"Place pancakes in the pan, reduce heat to medium, and cook until the bottoms are browned, about 10 minutes. Flip and flatten slightly. Cook until other sides are browned, 7 to 8 more minutes."
23,6739299,5,Transfer pancakes to a serving plate. Top each with a dollop of sour cream and sprinkle with remaining chives.
24,6591059,1,"Mix potatoes, cheese, beaten egg, and salt in a medium bowl until well combined. If the mixture is very wet, mix in flour as needed to bind mixture together."
25,6591059,2,"Melt butter on a large griddle over medium heat. Drop potato mixture onto the hot griddle, 1/4 cup at a time. Flatten each pancake with the back of a spatula to 1/2-inch thickness. Fry until golden brown, about 5 minutes per side. Serve hot."
26,6580018,1,Preheat an air fryer to 375 degrees F (190 degrees C) according to manufacturer's instructions. Lay out a sheet of parchment or waxed paper.
27,6580018,2,Place thawed potatoes and shredded onion on several layers of paper towels. Cover with more paper towels and press to squeeze out most of the liquid.
28,6580018,3,"Whisk together egg, salt, and pepper in a large bowl. Stir in potatoes and onion with a fork. Sprinkle matzo meal on top and stir until ingredients are evenly distributed. Use your hands to form mixture into ten 3- to 4-inch wide patties. Place patties on the parchment or waxed paper."
29,6580018,4,Spray the air fryer basket with cooking spray. Carefully place half of the patties in the basket and spray generously with cooking spray.
30,6580018,5,"Air-fry until crispy and dark golden brown on the outside, 10 to 12 minutes. (Check for doneness at 8 minutes if you prefer a softer latke.) Remove latkes to a plate. Repeat with remaining patties, spraying them with cooking spray before cooking."
31,6592470,1,"Combine mashed potatoes, egg, and pepper in a bowl and mix well together."
32,6592470,2,Pour bread crumbs into a small bowl. Shape potato mixture into 3-inch patties with wet hands and dip in bread crumbs so they are evenly coated.
33,6592470,3,"Heat oil and butter in a nonstick skillet over medium heat and cook potato cakes on both sides until they are heated through and browned, about 4 minutes per side."
34,6577934,1,"In a medium bowl, combine potatoes, one egg, onion and black pepper. Divide potato mixture into 8 equal portions. Use your hands to form 1/2 inch thick patties. Dredge patties in flour, then in egg and coat with Panko Bread Crumbs. Meanwhile heat vegetable oil in a large skillet over medium high heat. Add potato patties to the hot oil. Cook until well browned, turn with a spatula and brown on the other side."
35,6597035,1,"Mix together potatoes, eggs, and milk in a large bowl."
36,6597035,2,"Stir flour, Parmesan cheese, Cheddar cheese, bacon bits, onion salt, baking powder, salt, and black pepper into potato mixture using a fork."
37,6597035,3,Heat corn oil and butter in a large skillet over medium heat.
38,6597035,4,"Spoon about 2 tablespoons potato mixture into per patty into skillet. Cook patties until golden brown, about 4 minutes per side."
39,6597035,5,Drain cooked pancakes on paper towel-lined plate.
40,6602895,1,"Combine potatoes, onion, eggs, flour, salt, and pepper in a large bowl; stir until well combined."
41,6602895,2,"Heat oil in a large skillet over medium-high heat. Working in batches, drop large spoonfuls of potato batter into the hot skillet. Flatten batter lightly with a spatula and cook until golden brown, about 4 minutes per side. Serve immediately."
42,6737839,1,"Mix potato, onion, eggs, crushed crackers, salt, and pepper together in a large bowl."
43,6737839,2,Heat 1/4 inch oil in a heavy skillet over medium-high heat.
44,6737839,3,"Drop spoonfuls of the potato mixture, first pressing potato mixture against the side of the bowl to remove excess liquid, into the hot oil; slightly flatten the latkes into the oil with the back of your spoon so they are an even thickness."
45,6737839,4,"Cook in batches in the hot oil until browned and crisp, 3 to 5 minutes per side. Drain latkes on a paper towel-line plate."
46,6574739,1,"Place potatoes, onion, garlic, salt, ground peppercorns, flour, and eggs into a bowl. Fold the mixture together with a rubber spatula, breaking up any large potato chunks, until ingredients are evenly mixed."
47,6574739,2,Heat oil in a deep-fryer or large skillet to 375 degrees F (190 degrees C).
48,6574739,3,Form latke dough into 3-inch diameter balls and flatten into 1-inch thick rounds.
49,6574739,4,"Working in batches, place latkes in hot oil and cook until edges are golden brown, 3 to 5 minutes. Flip latkes using a slotted spoon and cook until crisp, 2 to 3 minutes more. Transfer to a paper towel-lined plate to cool."
50,6583011,1,"Place 1/4 of the potatoes, onion, eggs, salt, flour, and baking powder in the bowl of a food processor; pulse several times until the vegetables are finely chopped. Add remaining potatoes and pulse again until all potatoes are finely chopped and mixture is thoroughly combined."
51,6583011,2,"Heat canola oil in a skillet over medium heat. Scoop up about 1/3 cup of potato mixture at a time and place in skillet. Fry latkes until brown and crisp on the bottom, 2 to 3 minutes. Flip and cook other sides until brown, 2 to 3 minutes longer."
52,6583011,3,"Repeat with remaining potato mixture, replenishing oil as needed. Serve hot."
53,6584781,1,"Peel and coarsely grate the potatoes, squeezing out as much liquid as you can. Transfer the shredded potatoes to a mixing bowl. Stir in the crushed garlic, salt, pepper, marjoram, and caraway seeds."
54,6584781,2,Beat the eggs with the milk. Add the egg mixture to the potatoes and stir well to combine. Gradually mix in the flour to form a thick but still pourable batter.
