,id_recipe,Step_Count,Step Description
0,6648682,1,"Place potatoes in a large pot and add water to cover by at least 1 to 2 inches; bring to a boil. Cook until potatoes are easily pierced with a fork, about 10 minutes. Drain, and set aside to cool."
1,6648682,2,"While the potatoes are cooking, place bacon in a large, deep skillet over medium-high heat. Fry until browned and crisp, 10 to 12 minutes, turning as needed. Transfer bacon to a paper towel-lined plate and crumble when cool enough to handle. Leave bacon grease in the skillet."
2,6648682,3,"Cook onion in the bacon grease over medium heat until browned, 6 to 8 minutes. Add vinegar, sugar, water, salt, and pepper to the pan and bring to a boil."
3,6648682,4,"Once boiling, add potatoes, and 1/2 of the crumbled bacon. Cook until heated through, 3 to 4 minutes."
4,6648682,5,Transfer warm potato salad to a serving dish and sprinkle remaining bacon over top. Garnish with parsley. Serve immediately.
5,6663171,1,Gather all ingredients.Dotdash Meredith Food Studios
6,6663171,2,"Bring a large pot of salted water to a boil. Add potatoes and cook until tender but still firm, about 15 minutes."
7,6663171,3,"Drain, cool, peel, and chop potatoes.Dotdash Meredith Food Studios"
8,6663171,4,"While potatoes cook, place eggs in a saucepan and cover with cold water. Bring water to a boil; cover, remove from heat, and let eggs stand in hot water for 10 to 12 minutes."
9,6663171,5,"Remove from hot water, cool, peel, and chop eggs.Dotdash Meredith Food Studios"
10,6663171,6,"Combine the potatoes, eggs, celery, onion, relish, mayonnaise, mustard, garlic salt, celery salt, and pepper in a large bowl. Mix together well and refrigerate until chilled.Dotdash Meredith Food Studios"
11,6663171,7,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
12,6736723,1,"Place red potatoes into a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 25 minutes. Drain and chill in freezer until cold, about 30 minutes."
13,6736723,2,Slice potatoes into chunks and place in a large salad bowl; toss potatoes with green onion.
14,6736723,3,"Whisk olive oil, red wine vinegar, lemon juice, garlic powder, onion powder, salt, black pepper, oregano, sugar, rosemary, and red pepper in a bowl. Pour dressing over potatoes and toss to caot. Serve immediately or chill until serving time."
15,6650323,1,"Bring a large pot of water to a boil. Add potatoes, bring to a boil, and cook for 5 to 10 minutes. Add carrots and whole eggs and continue boiling until potatoes are tender, 10 to 15 minutes. Drain and slightly cool mixture."
16,6650323,2,Chop potatoes and carrot. Peel and chop eggs.
17,6650323,3,"Mix potatoes, carrot, eggs, pickles, peas, ham, and dill together in a large bowl; stir in mayonnaise until salad is evenly coated."
18,6736755,1,"Bring a large pot of salted water to a boil. Add potatoes and cook until tender but still firm, about 15 minutes. Drain and allow to cool."
19,6736755,2,"Place eggs in a saucepan and cover with cold water. Bring water to a boil and immediately remove from heat. Cover and let eggs stand in hot water for 10 to 12 minutes. Remove eggs from hot water; cool in ice water. Peel, then chop into small, bite-sized pieces."
20,6736755,3,"Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels, then crumble."
21,6736755,4,"Chop cooled potatoes, leaving skin on. Add to a large bowl, along with eggs, bacon, onion, and celery. Stir in mayonnaise, salt, and pepper. Chill in the refrigerator for 1 hour before serving."
22,6650948,1,"Place potatoes in a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 20 minutes. Drain, cool, and slice thin."
23,6650948,2,"Place bacon in a large, deep skillet. Cook over medium-high heat until evenly brown. Drain, crumble, and set aside, reserving drippings."
24,6650948,3,Sauté onions in bacon drippings over medium heat until they are golden brown.
25,6650948,4,"Whisk flour, sugar, salt, celery seed, and pepper together in a small bowl; stir into onions and cook until bubbling, then remove from heat. Stir in water and vinegar; bring to a boil over medium heat, stirring constantly, and simmer for one minute. Gently stir bacon and sliced potatoes into the onion mixture until potatoes are heated through."
26,7556905,1,"Nest potatoes directly in hot coals in a charcoal grill. Surround potatoes with coals for even roasting. Roast until charred, 6 to 7 minutes. Turn potatoes and continue to roast until deeply charred outside and tender inside, 6 to 7 minutes more."
27,7556905,2,"Remove potatoes to a bowl, cover with foil, and let cool to room temperature, about 30 minutes. Refrigerate until chilled, at least 1 hour, or preferably overnight."
28,7556905,3,"Combine Dijon mustard, cider vinegar, rice wine vinegar, vegetable oil, salt, black pepper, and cayenne pepper in a bowl for the dressing and whisk thoroughly."
29,7556905,4,"Scrape, peel, or cut off any fully charred surface of potato, leaving some dark brown bits for a deeper flavor. Cut potatoes into 1/4-inch to 1/2-inch size pieces."
30,7556905,5,"Add potatoes to dressing, along with red onion, celery, dill pickles, and red peppers. Toss well with a spatula until evenly mixed. Cover; refrigerate for at least 3 hours before serving, or up to overnight."
31,7556905,6,"Add chives, mix well, and season to taste with salt and pepper before serving.Chef John"
32,6739761,1,"Place potatoes in a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 20 minutes. Drain and set aside to cool.Dotdash Meredith Food Studios"
33,6739761,2,"While the potatoes are cooking, whisk together sugar, 2 beaten eggs, and cornstarch in a saucepan; season with salt.Dotdash Meredith Food Studios"
34,6739761,3,"Stir in milk, vinegar, and mustard. Cook and stir over medium heat until thickened, about 10 minutes. Remove from heat and stir in butter. Refrigerate until cool, then stir in mayonnaise.Dotdash Meredith Food Studios"
35,6739761,4,"Peel and dice potatoes. Transfer to a large bowl; toss with hard-cooked eggs, onion, celery, and 1 teaspoon salt.Dotdash Meredith Food Studios"
36,6739761,5,Stir dressing gently into the bowl of potato salad until evenly coated.Dotdash Meredith Food Studios
37,6739761,6,"Chill before serving, 3 hours to overnight."
38,6737118,1,"Place potatoes in a pot with enough water to cover; bring to a boil. Cook until potatoes are easily pierced with a fork, about 10 minutes. Drain, then transfer to a large bowl to cool."
39,6737118,2,"Mix together eggs, sour cream, mayonnaise, celery, green onions, pickle, mustard, vinegar, and hot sauce in a bowl. Season with dill weed, garlic powder, onion salt, salt, and pepper. Pour over potatoes; gently toss to coat."
40,6737118,3,Chill in the refrigerator for at least 3 hours before serving.
41,6664705,1,"Place potatoes into a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low and simmer until tender, about 10 minutes. Drain. Return potatoes to the empty pot to dry and cool."
42,6664705,2,"Stir together mayonnaise, pickles, hard-cooked eggs, red onion, celery, mustard, cider vinegar, salt, and pepper in a large bowl. Fold in cooled potatoes until well combined."
43,6664705,3,Chill potato salad in the refrigerator for at least 6 hours to overnight before serving.
44,6584920,1,Gather all ingredients.Dotdash Meredith Food Studios
45,6584920,2,"Place potatoes into a large pot and cover with salted water; bring to a boil. Reduce heat to medium-low, cover, and simmer until tender, about 20 minutes. Drain and cut into cubes.Dotdash Meredith Food Studios"
