,id_recipe,Step_Count,Step Description
0,6663919,1,Gather all ingredients.Dotdash Meredith Food Studios
1,6663919,2,Preheat the oven to 425 degrees F (220 degrees C).
2,6663919,3,"Whisk pumpkin puree, condensed milk, eggs, cinnamon, ginger, nutmeg, and salt together in a medium bowl until smooth.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
3,6663919,4,Pour into crust.Dotdash Meredith Food StudiosDotdash Meredith Food Studios
4,6663919,5,Bake in the preheated oven for 15 minutes.
5,6663919,6,"Reduce oven temperature to 350 degrees F (175 degrees C) and continue baking until a knife inserted 1 inch from the crust comes out clean, 35 to 40 minutes."
6,6663919,7,Let cool before serving.Dotdash Meredith Food Studios
7,6664595,1,Preheat the oven to 425 degrees F (220 degrees C).
8,6664595,2,"Combine sugar, cinnamon, salt, ginger, and cloves in small bowl. Beat eggs lightly in large bowl. Stir in pumpkin and sugar-spice mixture. Gradually stir in evaporated milk. Pour into pie shell."
9,6664595,3,"Bake in the preheated oven for 15 minutes. Reduce temperature to 350 degrees F (175 degrees C) and continue to bake until a knife inserted near the center comes out clean, 40 to 50 more minutes. Remove from the oven and set on a wire rack to cool to room temperature."
10,6664595,4,Serve cooled pie immediately or refrigerate until ready to serve. (Do not freeze as this will cause the crust to separate from the filling.)
11,6649767,1,Preheat the oven to 400 degrees F (200 degrees C).
12,6649767,2,"Make the pastry crust: Mix flour and salt together in a bowl. Cut in shortening with a pastry blender until mixture resembles coarse crumbs. Mix in 3 tablespoons water, one at a time, until dough is moist enough to hold together. Add up to 1 more tablespoon water if needed."
13,6649767,3,Shape dough into a ball with lightly floured hands. Roll dough on a lightly floured surface to a thickness of 1/8 inch. Place a 9-inch pie pan upside-down on the dough; use a sharp knife to cut a circle of dough 1 1/2 inches larger than the pie pan. Remove and discard dough scraps and set pie pan aside.
14,6649767,4,"Gently roll circular piece of dough around the rolling pin; transfer it right-side up over the pie pan. Unroll, easing dough into the bottom of the pan. Use two hands to flute the dough around the top edges."
15,6649767,5,"Make the filling: Beat pumpkin, evaporated milk, brown sugar, eggs, cinnamon, ginger, nutmeg, and salt in a large bowl with an electric mixer until well combined. Pour into the prepared crust."
16,6649767,6,"Bake in the preheated oven until a knife inserted into the filling 1 inch from the edge comes out clean, 40 to 60 minutes. Cover the edges with foil if needed to prevent from burning as the filling cooks."
17,6649767,7,Remove from the oven and cool to room temperature before serving.
18,6570862,1,Preheat the oven to 450 degrees F (230 degrees C).
19,6570862,2,"Combine eggs, sugars, flour, spices, and salt in a large bowl. Blend in pumpkin. Gradually add condensed milk; mix until well combined. Pour into prepared pie crust."
20,6570862,3,"Bake pie in the preheated oven for 10 minutes. Meanwhile make the topping: Combine 2 tablespoons butter, 1 tablespoon grated orange rind, 1/4 cup brown sugar, and 3/4 cup whole pecans."
21,6570862,4,"Reduce heat to 350 degrees F (175 degrees C) and continue to bake pie until filling is set, about 40 to 50 minutes longer. Top pie with pecan mixture 10 minutes before removing from the oven."
22,6828452,1,Preheat the oven to 425 degrees F (220 degrees C).
23,6828452,2,Place prepared pie crust onto a baking sheet.
24,6828452,3,"In a bowl, whisk together pumpkin, sweetened condensed milk, eggs, pumpkin pie spice, tahini, heavy cream, vanilla, and salt until smooth and combined. Pour into prepared pie crust."
25,6828452,4,"Place pan into oven and bake for 15 minutes. Reduce oven temp to 350 degrees F (175 degrees C) and continue baking until pie is set but the middle is still slightly jiggly, 30 to 35 minutes. Remove from the oven and allow pie to cool completely, at least 4 hours."
26,6828452,5,"If desired, garnish with toasted sesame seeds before serving."
27,6828453,1,"Follow the directions for making Allrecipes' Simple Pumpkin Pie, then make the meringue."
28,6828453,2,"Place the sugar, egg whites, cream of tartar, and salt in the top pan of a double boiler or in a heatproof bowl set over a medium, heavy-bottomed saucepan filled with a few inches of simmering water (be sure the bottom of the bowl does not touch the water)."
29,6828453,3,"Cook over medium heat, using a heatproof rubber spatula to stir the mixture and scrape the sides of the bowl occasionally, until the sugar is completely melted and the candy thermometer inserted in the center of the mixture reads 160 degrees F (70 degrees C)."
30,6828453,4,"Immediately pour the mixture into the bowl of a stand mixer fitted with the whisk attachment. Whisk on low for 1 minute, then increase the speed to medium-high and whisk for 10 minutes, or until stiff, glossy peaks form and the sides of the bowl should feel cool to touch. Add the vanilla and mix on medium-low speed until combined."
31,6828453,5,Use immediately by scooping the meringue over the pumpkin pie. Use a chef's torch (see foot note) to toast the meringue and serve immediately.
32,6828456,1,Preheat the oven to 425 degrees F (220 degrees C). Fit pie crust into a 9-inch pie dish and place it on a baking sheet.
33,6828456,2,"Melt the chocolate in the microwave or on the top of a double boiler. To melt the finely-chopped chocolate in the microwave, melt it in a microwave-proof bowl in 30-second intervals, stirring between intervals. Take care not to overheat, which will cause the chocolate to burn and become grainy. Set the melted chocolate aside while preparing the remainder of the pie filling."
34,6828456,3,"Combine pumpkin puree, condensed milk, eggs, and pumpkin pie spice in a large bowl; mix until combined."
35,6828456,4,Measure ½ cup of the pumpkin pie filling and stir it into the bowl of melted chocolate until smooth.
36,6828456,5,Pour the remaining pie filling into the pie shell. Dollop the chocolate pie filling on top. Use a toothpick or butter knife to create a marbled effect by swirling in and out of each of the dollops.
37,6828456,6,"Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C) and continue to bake until filling is set, 35 to 40 minutes.Remove from the oven, set on a wire rack, and cool completely before serving."
38,6828455,1,Preheat the oven to 425 degrees F (220 degrees C). Fit pie crust into a 9-inch pie dish and place it on a baking sheet.
39,6828455,2,"Combine pumpkin puree, condensed milk, eggs, and pumpkin pie spice in a large bowl. Mix until combined and set aside."
40,6828455,3,"Make the cheesecake swirl: In a medium, microwave-safe bowl stir together mascarpone, milk, maple syrup, and flour. Microwave on high power until the cheese is completely melted, 20 to 30 seconds. Stir the mixture until completely smooth. (This will make swirling easier.)"
41,6828455,4,Add about two-thirds of the cheese mixture into the pumpkin filling and stir to combine. Pour the pumpkin filling into the pie shell. Spoon the remaining mascarpone mixture on top in about 10 or so dollops. Use a thin knife or toothpick to swirl the cheesecake dollops into the pumpkin pie filling to create a swirl pattern.
42,6828455,5,"Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C) and continue to bake until filling is set around the sides but jiggles like jello in the center, erring on the side of undercooking as the pie continues to cook as it cools, 30 to 35 minutes. Turn the oven off, open the oven door, and let cool for one hour in the oven before transferring into the fridge to cool completely."
43,6828455,6,"Remove from the oven, set on a wire rack, and cool completely before serving."
44,6664693,1,Gather all ingredients.Allrecipes/Victoria Jempty
45,6664693,2,Preheat the oven to 425 degrees F (220 degrees C).
46,6664693,3,Fit pie crust into a 9-inch pie dish and place it on a baking sheet.Allrecipes/Victoria Jempty
47,6664693,4,"Combine pumpkin puree, condensed milk, eggs, and pumpkin pie spice in a large bowl; mix until combined.Allrecipes/Victoria Jempty"
48,6664693,5,Pour mixture into the pie crust.Allrecipes/Victoria Jempty
49,6664693,6,"Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C) and continue to bake until filling is set, 35 to 40 minutes."
50,6664693,7,"Remove from the oven, set on a wire rack, and cool completely before serving.Allrecipes/Victoria Jempty"
51,6664693,8,Enjoy!
52,6648679,1,"Pour milk for pumpkin layer into large bowl. Add pumpkin puree, pudding mix, cinnamon, ginger, and cloves and whisk until thoroughly mixed. Let sit until thickened, about 5 minutes."
