,id_recipe,Step_Count,Step Description
0,6663216,1,Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9-inch pie pan.
1,6663216,2,"Heat oil in a large skillet over medium-high heat. Add onions and cook, stirring occasionally, until soft, about 3 minutes. Stir in spinach and continue to cook until excess moisture has evaporated.Dotdash Meredith Food Studios"
2,6663216,3,"Whisk together eggs, salt, and pepper in a large bowl. Add Muenster cheese and spinach mixture and stir until well blended.Dotdash Meredith Food Studios"
3,6663216,4,Pour into the prepared pan.Dotdash Meredith Food Studios
4,6663216,5,"Bake in the preheated oven until eggs have set, about 30 minutes."
5,6663216,6,Remove from the oven and let cool for 10 minutes before serving.Dotdash Meredith Food Studios
6,6663216,7,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
7,6649410,1,Preheat the oven to 375 degrees F (190 degrees C).
8,6649410,2,"Melt butter in a medium skillet over medium heat. Add onion and garlic and saute until lightly browned, about 7 minutes."
9,6649410,3,"Stir in spinach, mushrooms, feta, and 1/2 cup Cheddar. Season with salt and pepper. Spoon mixture into the pie shell."
10,6649410,4,"Whisk eggs and milk together in a medium bowl until combined. Season with salt and pepper. Pour over the spinach mixture in the pie shell, allowing egg mixture to thoroughly combine with spinach mixture."
11,6649410,5,"Bake in the preheated oven for 15 minutes. Sprinkle the top with remaining Cheddar and bake until set in center, 35 to 40 minutes longer. Allow to cool 10 minutes before slicing and serving."
12,6663355,1,Preheat the oven to 400 degrees F (200 degrees C).
13,6663355,2,"Bake pie crust in preheated oven until firm, about 8 minutes."
14,6663355,3,Remove crust from the oven and set aside. Reduce oven to 350 degrees F (175 degrees C).
15,6663355,4,"Heat olive oil in a large skillet over medium heat. Add onion, bell pepper, mushrooms, and zucchini and cook, stirring, until softened, 5 to 7 minutes. Remove vegetables from skillet and set aside."
16,6663355,5,Sprinkle tomato slices with flour and basil; cook in the skillet over medium heat for 1 minute per side. Set aside.
17,6663355,6,"Whisk eggs, milk, salt, and pepper together in a small bowl."
18,6663355,7,"Spread 1 cup cheese in the bottom of pie crust. Layer vegetable mixture over the cheese, then top with tomato slices. Pour egg mixture over top and sprinkle with remaining 1/2 cup cheese."
19,6663355,8,"Bake in the preheated oven until a knife inserted near the center comes out clean, 40 to 45 minutes. Cool 5 minutes before serving."
20,6665000,1,Preheat the oven to 350 degrees F (175 degrees C).
21,6665000,2,"Bake pie crust in the preheated oven until just starting to brown, about 10 minutes. Set aside to cool."
22,6665000,3,"Meanwhile, whisk together eggs, cream, salt, pepper, and hot sauce in a large bowl until well combined. Stir in crabmeat, Monterey Jack, Parmesan, and green onion."
23,6665000,4,Pour crab mixture into cooled pie crust.
24,6665000,5,"Bake in the preheated oven for 25 to 30 minutes. Turn the oven off, keep the door closed, and leave quiche in the oven until firm, 20 to 30 minutes. Remove from the oven and serve hot."
25,6747687,1,Preheat the oven to 350 degrees F (175 degrees C). Coat a 9-inch pie plate with nonstick cooking spray.
26,6747687,2,"Heat oil in a large skillet over medium heat. Add Swiss chard, mushrooms, and onion. Cook, stirring occasionally, until tender and most of the liquid has evaporated, about 10 minutes."
27,6747687,3,"Spread chard mixture on bottom of prepared pie plate. Break salmon into pieces and arrange evenly over chard. Whisk together eggs, milk, salt, nutmeg, and pepper in a bowl. Pour over salmon."
28,6747687,4,"Bake until a knife inserted in center comes out clean, 28 to 30 minutes. Cool about 10 minutes before cutting into wedges. Top with chives (if using)."
29,6591905,1,Preheat the oven to 400 degrees F (200 degrees C).
30,6591905,2,Press pastry into the bottom of a 9-inch pie plate.
31,6591905,3,"Bake in the preheated oven for 5 minutes. Poke holes into the pastry with a fork and continue cooking until lightly browned, about 5 minutes more."
32,6591905,4,"Remove crust from the oven, and reduce the oven temperature to 350 degrees F (175 degrees C)."
33,6591905,5,"Mix 1/2 cup Cheddar cheese, Swiss cheese, and 1 tablespoon flour in a bowl; spread over warm crust."
34,6591905,6,Mix ham and honey mustard together in a bowl; spoon over cheese mixture.
35,6591905,7,"Mix half-and-half, eggs, green onions, remaining 1 tablespoon flour, and salt together in bowl. Pour mixture carefully over ham layer; top with remaining Cheddar cheese."
36,6591905,8,Bake in the preheated oven for 40 to 50 minutes until set in the center. Cool for 10 minutes before cutting.
37,6664143,1,Preheat the oven to 375 degrees F (190 degrees C). Lightly grease a 10-inch quiche dish.Dotdash Meredith Food Studios
38,6664143,2,"Beat milk, eggs, Parmesan cheese, baking mix, and butter in a large bowl until well combined; batter will be lumpy. Stir in broccoli, Cheddar cheese, and ham.Dotdash Meredith Food Studios"
39,6664143,3,Pour into the prepared quiche dish.Dotdash Meredith Food Studios
40,6664143,4,"Bake in the preheated oven until eggs are set and the top is golden brown, about 50 minutes,Dotdash Meredith Food Studios"
41,6664143,5,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
42,6664376,1,Preheat the oven to 400 degrees F (200 degrees C).
43,6664376,2,"Place unthawed pie crust in a pie pan on a baking sheet. Mix bacon, chopped onion, and both cheeses in a medium bowl. Pour this mixture into the crust.Dotdash Meredith Food Studios"
44,6664376,3,Mix eggs and half and half in a bowl until blended; pour the egg mixture over the cheese mixture.Dotdash Meredith Food StudiosDotdash Meredith Food Studios
45,6664376,4,"Bake in preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C) and bake until the top of the quiche begins to turn golden brown, an additional 35 minutes.DOTDASH MEREDITH FOOD STUDIOS"
46,6664669,1,Preheat the oven to 350 degrees F (175 degrees C).
47,6664669,2,"Melt 2 tablespoons butter in a large saucepan over medium-low heat. Add broccoli, onion, and garlic; cook, stirring occasionally, until vegetables are soft. Spoon vegetables into pie crust and sprinkle with mozzarella cheese; set quiche on a baking sheet."
48,6664669,3,Combine eggs and milk together in a bowl; season with salt and pepper. Stir in remaining 1 tablespoon melted butter; pour egg mixture over vegetables.
49,6664669,4,"Bake in preheated oven until the center of the quiche has set, about 30 to 50 minutes."
50,6663671,1,Preheat the oven to 400 degrees F (200 degrees C).
51,6663671,2,"Place asparagus in a steamer over 1 inch boiling water. Cover and cook until tender but still firm, 2 to 6 minutes. Drain and cool."
52,6663671,3,"Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels. Crumble and set aside."
53,6663671,4,Brush pie shells with beaten egg white. Sprinkle crumbled bacon and steamed asparagus into pie shells. Sprinkle Swiss cheese over bacon and asparagus.
54,6663671,5,"Beat eggs, half-and-half, nutmeg, salt, and pepper in a bowl until well combined. Pour egg mixture on top of cheese."
55,6663671,6,"Bake uncovered in the preheated oven until filling is set, 35 to 40 minutes. Let cool to room temperature before serving."
56,6650305,1,Preheat the oven to 425 degrees F (220 degrees C).
57,6650305,2,"Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels, then chop coarsely.Dotdash Meredith Food Studios"
58,6650305,3,"Sprinkle bacon, Swiss cheese, and onion into pastry shell.Dotdash Meredith Food Studios"
59,6650305,4,"Whisk cream, eggs, salt, sugar, and cayenne pepper in a medium bowl; pour mixture into pastry shell.Dotdash Meredith Food Studios"
60,6650305,5,"Bake in the preheated oven for 15 minutes. Reduce heat to 300 degrees F (150 degrees C) and continue baking until a knife inserted 1 inch from the edge comes out clean, about 30 minutes.Dotdash Meredith Food Studios"
61,6650305,6,Allow quiche to sit 10 minutes before cutting into wedges.DOTDASH MEREDITH FOOD STUDIOS
62,6664496,1,Gather all ingredients. Preheat the oven to 425 degrees F (220 degrees C).Dotdash Meredith Food Studios
63,6664496,2,"Whisk cream and eggs together in a large bowl. Season with white pepper, nutmeg, and salt. Place shredded Jarlsberg and mozzarella into the pie shell.Dotdash Meredith Food Studios"
64,6664496,3,Pour egg mixture over cheese.Dotdash Meredith Food Studios
65,6664496,4,"Bake in the preheated oven for 15 minutes. Reduce heat to 350 degrees F (175 degrees C) and bake until crust is golden and filling is set, 25 minutes. Allow quiche to set before serving, 5 to 10 minutes."
66,6649881,1,Preheat the oven to 350 degrees F (175 degrees C). Lightly grease a 9-inch pie pan.
67,6649881,2,"Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels. Crumble and set aside."
68,6649881,3,"Cover the bottom of the prepared pie pan with shredded cheese and crumbled bacon. Whisk together milk, eggs, flour, onion, butter, and salt in a large bowl until smooth. Pour mixture over cheese and bacon in the pie pan."
69,6649881,4,"Bake quiche in the preheated oven until the center is set, about 35 minutes. Serve hot or cold."
70,6648448,1,Preheat the oven to 400 degrees F (200 degrees C).
71,6648448,2,"Gently combine spinach, mushrooms, onion, and feta cheese in a bowl. Spread mixture into prepared pie crust; top with 1/2 of the Swiss cheese."
72,6648448,3,"Whisk eggs, milk, parsley, garlic, salt, black pepper, and nutmeg in the bowl. Pour egg mixture evenly over filling, swirling egg mixture in bowl to evenly distribute seasonings. Top with remaining Swiss cheese, then place quiche on a baking sheet."
73,6648448,4,"Bake in the preheated oven until lightly puffed and browned, 45 to 50 minutes. A toothpick inserted into the center of the filling should come out clean. Cool for 30 minutes before serving."
74,6739085,1,Preheat the oven to 400 degrees F (200 degrees C). Line a cookie sheet with foil.
75,6739085,2,Whisk together mayonnaise and milk in a large bowl until smooth. Whisk in eggs; set aside.
76,6739085,3,"Layer spinach, cheese, and onion in the pie shell, making several layers of each. Place on the prepared cookie sheet. Slowly pour egg mixture into the pie shell, then cover quiche with foil."
77,6739085,4,"Bake in the preheated oven for 45 minutes. Uncover and continue baking until the top is golden brown and filling is set, 10 to 15 more minutes."
78,6600593,1,Preheat the oven to 350 degrees F (175 degrees C).
79,6600593,2,"Place broccoli into a glass bowl. Cover the bowl with plastic wrap. Cook in the microwave in 1-minute intervals until evenly heated through, about 5 minutes; drain and set aside."
80,6600593,3,"Melt butter in a large saucepan over medium heat. Sauté onion and garlic in melted butter until onion is slightly translucent, about 5 minutes. Stir ham and broccoli into onion mixture, then transfer to pie crust."
