,id_recipe,Step_Count,Step Description
0,6592345,1,Lightly smack each orange on the counter. Cut each orange in half and squeeze juice into a glass.
1,6582258,1,"Blend strawberries, orange juice, banana, and ice in a blender until smooth and frothy."
2,6738714,1,"Place avocado in a serving bowl and mix with lime juice. Mix in mango, onion, habanero, cilantro, and salt until evenly combined."
3,6582587,1,Gather all ingredients.Dotdash Meredith Food Studios
4,6582587,2,"Chop the cabbage, carrot, and cilantro. Mince the red onion. Seed and mince the jalapeño.Dotdash Meredith Food Studios"
5,6582587,3,Combine chopped vegetables and lime juice in a bowl; toss to coat.Dotdash Meredith Food Studios
6,6739130,1,"Distribute beet chunks between two jars with lids. Add 2 cloves garlic, 3 peppercorns, and 1 bay leaf to each jar."
7,6739130,2,Combine water and salt in a bowl to make the brine; stir until salt is completely dissolved. Pour enough brine into the jars to completely cover the beets.
8,6739130,3,"Screw on lids and let jars sit at room temperature until foam starts to appear on top, about 1 week. Transfer jars to a cool place (50 degrees F, 10 degrees C) for 2 to 3 days after foam appears. Store in the refrigerator."
9,6584985,1,Remove salmon skin and cut out the grey-colored bloodline so you have only the shiny pink flesh. Cut salmon into small cubes and place in a bowl.
10,6584985,2,"Stir in shallot, parsley, chives, pickle, lemon juice, sea salt, and pepper. Let marinate for 5 minutes before serving."
11,6584698,1,Blend flax seeds and water in a blender on high for 1 minute; allow to rest for 2 minutes. Blend again on high for 1 minute; allow to rest for 5 minutes. Blend again for 30 seconds.
12,6584698,2,Pour milk through a nut bag or a strainer lined with cheesecloth into a pitcher or glass container; press solids with back of a spoon to extract liquid. Gather cheesecloth around solids; twist and squeeze to extract all the liquid.
13,6606394,1,Divide rice among 4 bowls.
14,6606394,2,"Mix soy sauce, rice vinegar, sesame oil, and chile oil in a bowl to make dressing. Mix salmon with the dressing. Divide among the 4 bowls."
15,6606394,3,"Top bowls with avocado, red bell pepper, edamame, seaweed, pickled ginger, and furikake seasoning. Garnish with chopped green onion a sprinkling of sesame seeds."
16,6737004,1,"In a medium bowl, stir together tomatoes, onion, chili peppers, cilantro, salt, and lime juice. Chill for one hour in the refrigerator before serving."
17,6581409,1,"Combine almond milk, chia seeds, blueberries, maple syrup, vanilla extract, and cinnamon in a blender; blend until smooth. Pour into 3 ramekins or glasses."
18,6581409,2,"Chill until set, 8 hours to overnight. Serve chilled."
19,6576132,1,"To create the base tier of the cake, cut 3 slices of watermelon, 1 to 2 inches thick, crossways through the center of the melon. Trim the rind from the watermelon slices, and place the largest slice onto a cake plate. Alternate layering sliced strawberries, slices of cantaloupe, and slices of fresh pineapple; follow with the second-largest watermelon slice. Repeat once more to make a layered fruit stack that looks like a cake."
20,6576132,2,"Thinly slice a few pieces of remaining melon and pineapple. With cookie cutters or a sharp knife, cut remaining fruit slices into decorative shapes. Decorate the cake tiers with the cut fruit shapes and remaining berries."
21,6576132,3,"Refrigerate until serving time. To serve, slice the cake with a sharp knife, one wedge at a time, and set the wedge onto a plate."
22,6739490,1,"Combine white fish, lime juice, orange juice, oil, and chile pepper in a glass or ceramic bowl. Cover with plastic wrap and refrigerate for 90 minutes."
23,6739490,2,"Mix in mangoes and green onions, cover, and chill for 10 minutes more."
24,6739490,3,Gently fold in tomatoes and cilantro. Season with salt and pepper and serve immediately.
25,6664303,1,"Place avocados, bananas, and cocoa powder in a blender; puree until smooth."
26,6664303,2,Pour pudding into serving bowls and sprinkle additional cocoa powder on top for garnish.
27,6664303,3,"Chill in refrigerator for texture and flavor to develop, at least 1 hour."
28,6605184,1,"Mix tomatoes, cucumbers, red onion, cilantro, and lime juice together in a bowl. Season with salt and serve."
29,6595588,1,Place chia seeds in a bowl.
30,6595588,2,"Layer banana and dates in a blender; add almond milk, cinnamon, and salt. Blend mixture until smooth and pour over chia seeds, stirring well. Let mixture sit until thickened, at least 15 minutes."
31,6595588,3,"Stir chia ""porridge"" and top with blueberries."
32,6589896,1,"Combine ahi cubes, soy sauce, Maui onion, green onion, chile pepper, sesame oil, sesame seeds, macadamia nuts, ginger, and sea salt in a large bowl."
33,6587321,1,"Combine parsley, orange juice, honey, olive oil, white wine vinegar, grated orange peel, salt, and cayenne pepper in a blender, and pulse until blended. Refrigerate mixture 4 hours for the best flavor. Shake gently just before serving."
34,6585651,1,"Pour water into a large glass container with a lid. Stir in honey until dissolved. Zest lemon, being careful not to include any white pith. Juice lemon, then add both zest and juice to the glass container."
35,6585651,2,"Working with one bunch at a time, hold mint in one hand; use your other hand to twist and squeeze the leaves, slightly bruising them to release their fragrance and oils. Immerse the squeezed bunches in the water mixture. Cover the container and place it in direct sunlight for 2 hours."
36,6585651,3,"Remove and discard mint leaves. Shake the tea, then pour over ice in tall glasses. Garnish with mint sprigs."
37,6571901,1,"Thread strawberries, cantaloupe, banana, and apple pieces alternately onto skewers, placing at least 2 pieces of fruit on each skewer. Arrange skewers decoratively on a serving platter."
38,6598315,1,"Blend honeydew melon, cucumber, onion, avocado, jalapeño pepper, garlic, white balsamic vinegar, lime juice, salt, and black pepper in a blender until smooth. Adjust seasonings if desired and chill before serving."
39,6568080,1,Combine red cabbage and salt in a bowl and knead with your hands for a few minutes until cabbage is soft. Mix in apples.
40,6568080,2,"Whisk white balsamic vinegar and honey together in a cup. Whisk in oil. Drizzle over salad, mix well, and set aside for at least 1 hour for flavors to combine."
41,6561734,1,"Blend avocados, cocoa powder, honey, coconut oil, vanilla extract, and salt together in a food processor until smooth."
42,6579541,1,"Combine cauliflower, olives, bell pepper, pimento peppers, onion, and celery in a large bowl."
43,6579541,2,"Combine oil, lemon juice, vinegar, salt, sugar, and black pepper in a small jar with a lid. Close jar and shake until dressing is combined. Pour over vegetables. Marinate cauliflower salad in the refrigerator for 2 to 4 hours."
44,6569706,1,"Combine tuna, green onion, macadamia nuts, cilantro, lime juice, sesame oil, ginger, red pepper flakes, and sriracha sauce in a bowl; refrigerate for 2 hours."
45,6585677,1,Slice zucchini lengthwise with a vegetable peeler to create long thin 'noodles'. Place on individual plates.
46,6585677,2,Slice carrots into long strips with vegetable peeler similar to the zucchini.
47,6585677,3,"Combine carrots, cabbage, red bell pepper, and bean sprouts in a large bowl."
48,6585677,4,"Whisk together almond butter, orange juice, honey, ginger, Nama Shoyu, miso, garlic, and cayenne pepper in a bowl."
49,6585677,5,Pour half of sauce into cabbage mixture and toss to coat.
50,6585677,6,Top zucchini 'noodles' with cabbage mixture. Pour remaining sauce over each portion.
51,6600976,1,"Blend the carrot, banana, kiwi, apple, pineapple, and ice cubes in a blender until smooth."
52,6650847,1,Soak oats in enough cool water to cover them. Cover and set aside for 30 minutes.
53,6650847,2,"Drain the oats using a mesh colander. Combine oats, 3 cups water, and dates in a large bowl. Allow to sit undisturbed until skin on the dates softens, 10 to 15 minutes."
54,6650847,3,"Transfer oat mixture to a blender. Pulse the mixture a few times and then leave on medium-high speed until completely smooth, about 1 minute. Drain oat milk through a nut bag or cheesecloth to remove all solids. Serve cold or warm."
55,6595579,1,"Place avocado, banana, soy milk, cocoa powder, agave nectar, lemon juice, and coconut into a blender. Cover, and puree until smooth. Divide into small containers, and store in the refrigerator 1 hour until set."
56,6590148,1,"Blend shredded coconut in a food processor until creamy, about 15 minutes. Add coconut oil, erythritol, lemon zest, and sea salt; blend until well combined. Fill mini muffin cups with mixture and chill in the fridge until set, about 30 minutes."
57,6596112,1,"Combine peanut butter, quick cooking oats, cocoa nubs, honey, and vanilla extract in a bowl. Use a tablespoon to scoop out small portions and roll into balls using your hands."
58,6590326,1,Place cashews in a bowl. Cover with water; let soak for at least 1 hour. Drain and rinse.
59,6590326,2,"Transfer cashews to a blender; blend until finely chopped, scraping the sides of the bowl periodically. Add red bell pepper, onion, lemon juice, jalapeno pepper, and garlic; blend until well chopped. Scrape the sides of the bowl; add 3/4 cup water, nutritional yeast, paprika, turmeric, mustard, salt, and pepper. Blend until smooth, adding more water if necessary."
60,6590326,3,Combine cashew mixture and kale in a large bowl; scrunch kale with your hands until evenly coated with cashew mixture. Spread in a single layer on an unlined dehydrator tray.
61,6590326,4,"Dehydrate kale at 105 degrees F (41 degrees C) until crisp, about 8 hours."
62,6589869,1,Cover cashews with cold water in a bowl and soak for 2 to 3 hours or overnight. Drain.
63,6589869,2,"Combine cashews, coconut milk, agave syrup, vanilla extract, and rose water in a blender; blend until smooth. Pour into a bowl and garnish with pomegranate seeds."
64,6579553,1,"Wash jicama thoroughly with cool water and remove all dirt using a vegetable brush. Trim both ends of the jicama and peel with a vegetable peeler, removing all skin and tough flesh."
65,6579553,2,Slice jicama with the 1/10-inch blade of a mandoline.
66,6602766,1,"Place strawberries, agave, 1/4 cup chia seeds, and lime juice in a large bowl. Blend with an immersion blender until strawberries are chunky. Add remaining 2 tablespoons chia seeds and mix well with a wooden spoon."
67,6602766,2,Pour the mixture into two 1/2-pint canning jars. Allow to set in the refrigerator or freezer for at least 8 hours before consuming.
68,6595024,1,Place sunflower seeds in a bowl and add enough water to cover; soak for 8 hours. Drain.
69,6595024,2,"Blend sunflower seeds, celery, olive oil, lemon zest, lemon juice, thyme, garlic, black pepper, and sea salt in a food processor or blender until pate is smooth. Spread pate onto collard green leaf."
70,6581291,1,Lightly grease an 8-inch pie pan with olive oil.
71,6581291,2,"Blend 3 cups pecans and dates in a food processor until finely ground, about 1 minute. Pour agave nectar over nut mixture and process until fully incorporated, about 30 seconds. Press nut mixture evenly into prepared pie pan."
72,6581291,3,"Peel and pit persimmons, then puree in food processor until smooth. Pour over crust and smooth out. Garnish with chopped pecans and cinnamon."
73,6581009,1,Arrange sliced sunchokes and apples on a serving platter.
74,6581009,2,"Combine olive oil, orange juice, salt, pepper, and sugar in a blender; blend until creamy. Drizzle over sunchoke-apple mixture."
75,6573690,1,"Place the dates, peanut butter, coconut, cocoa powder and salt into a food processor. Cover, and blend until smooth, about 4 minutes. The mixture will be very sticky."
76,6573690,2,Press the mixture into a loaf pan lined with waxed paper. Refrigerate for 30 minutes. Remove the chilled mixture from the pan and slice into 6 bars. Wrap each bar in foil and refrigerate until serving.
77,6593197,1,"Combine dates and walnuts in the bowl of a food processor and blend until well combined, about 2 minutes. Press about 2 tablespoons of mixture into the bottom of 12 mini tart pans. Place in the freezer while making ganache."
78,6593197,2,"Place chocolate chips and coconut oil in top of a double boiler over simmering water. Stir frequently, scraping down the sides with a rubber spatula to avoid scorching, until chocolate is melted, about 5 minutes. Add melted chocolate to the bowl of the food processor. Add coconut cream and cocoa powder and mix on high until smooth, about 1 minute."
79,6593197,3,"Remove crusts from the freezer. Spoon about 1 1/2 teaspoons of ganache on top of each crust, spreading to the edges. Add enough to reach halfway up the side of the tart cup. Place tarts back in the freezer until firm, about 10 minutes."
80,6593197,4,"Mash raspberries in a bowl with a fork until they have the consistency of sauce. Spread a layer of mashed raspberries onto the hardened ganache layer, but don't go all the way to the edges. Freeze until sauce is firm and won't collapse when topped with ganache, about 20 minutes."
81,6593197,5,"Remove tarts from freezer. Add the remaining ganache to the top, spreading all the way to the edges. Try to seal in the raspberry sauce as much as possible. Return to the freezer to firm up. Keep tarts in the refrigerator if you are serving them within 2 hours."
82,6561811,1,"Combine sour cream, cranberries, sugar, and horseradish in a blender; blend until combined. Refrigerate until chilled, at least 30 minutes."
