,id_recipe,Step_Count,Step Description
0,7372869,1,Preheat the oven to 375 degrees F (190 degrees C). Roll pie crust into a 9 inch pie plate and crimp the edges.
1,7372869,2,"In a large bowl, mix rhubarb and sugar together, then pour into pie crust."
2,7372869,3,"Whisk eggs, Almond Breeze Vanilla Almondmilk, Blue Diamond Almond Flour, and salt together in a bowl. Pour over the rhubarb."
3,7372869,4,"Bake in the preheated oven until filling is set, 50 to 55 minutes."
4,7372869,5,"Allow to cool completely, then slice to serve."
5,6737266,1,Preheat the oven to 450 degrees F (230 degrees C). Place an oven rack in the lowest position.
6,6737266,2,Line the bottom and sides of a 9-inch pie plate with one pie crust. Combine sugar and flour in a bowl; sprinkle 1/4 of the sugar mixture over the prepared bottom crust.
7,6737266,3,Heap rhubarb on top and sprinkle with remaining sugar mixture. Dot with butter and cover with top crust.
8,6737266,4,"Bake pie in the preheated oven for 15 minutes. Reduce temperature to 350 degrees F (175 degrees C) and continue baking until filling is bubbly and crust is golden brown, 40 to 45 minutes. Serve warm or cold."
9,6664688,1,Preheat oven to 400 degrees F (200 degrees C).
10,6664688,2,"In a large bowl, mix flour and sugar.Dotdash Meredith Food Studios"
11,6664688,3,Add strawberries and chopped rhubarb. Toss with sugar and flour and let stand for 30 minutes.Dotdash Meredith Food StudiosDotdash Meredith Food Studios
12,6664688,4,"Pour filling into prepared pie crust. Dot top with butter, and cover with top crust. Seal edges of top and bottom crust with water.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
13,6664688,5,"Apply yolk to top of pie, using a pastry brush.Dotdash Meredith Food Studios"
14,6664688,6,Sprinkle with sugar.Dotdash Meredith Food Studios
15,6664688,7,Cut small holes in top to let steam escape.Dotdash Meredith Food Studios
16,6664688,8,"Bake at 400 degrees F (200 degrees C), for 35 to 40 minutes, or until bubbly and brown. Cool on rack.Dotdash Meredith Food Studios"
17,6664688,9,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
18,6650106,1,Preheat oven to 350 degrees F (175 degrees C). Place rolled-out pie crust in a 9-inch pie plate and set on a baking sheet lined with parchment paper or a silicone baking mat.
19,6650106,2,"Combine rhubarb and strawberries in a bowl; transfer to the pie crust, distributing evenly."
20,6650106,3,"Whisk eggs, sugar, milk, flour, and nutmeg together in a medium bowl. Slowly pour filling over rhubarb mixture until it just reaches the top edge of the crust. Scatter diced butter evenly over the top of the filling. Lightly tap and shake the baking sheet to remove any air bubbles."
21,6650106,4,"Transfer pie to the preheated oven and bake, turning halfway through, until rhubarb is tender and custard is set, about 1 hour."
22,6650106,5,"Mix strawberry jam and water in a small bowl; heat in the microwave until warm, about 15 seconds. Glaze the top of the pie with the jam mixture and let cool. Refrigerate until ready to serve."
23,6595604,1,Preheat the oven to 450 degrees F (220 degrees C).
24,6595604,2,"Press the pie crust into a 9 inch pie pan. Spread rhubarb in an even layer in the bottom of the crust. In a medium bowl, whisk together the egg, white sugar, sour cream and 1/3 cup of flour until smooth. Pour over the rhubarb."
25,6595604,3,"In a small bowl, mix together 1/2 cup of flour and brown sugar. Stir in melted butter until the mixture is crumbly. Sprinkle over the top of the pie."
26,6595604,4,"Bake for 15 minutes in the preheated oven, then reduce the heat to 350 degrees F (175 degrees C). Continue to bake for 40 minutes, or until the edges have puffed, and the topping is golden. The center may still be slightly jiggly. Cool completely before slicing and serving."
27,6573744,1,Preheat oven to 350 degrees F (175 degrees C).
28,6573744,2,"In a large bowl, combine flour and salt. Cut in shortening until mixture resembles coarse crumbs. Whisk together 3/4 cup water, egg, and vinegar. Stir into flour until mixture forms a ball. Divide dough into 4 balls. Wrap in plastic and refrigerate for 4 hours, or overnight. Roll out dough portions to fit a 9 inch pie pan. Place bottom crusts in 2 pie pans. Set aside top crusts."
29,6573744,3,"In a large bowl, combine apples, rhubarb, strawberries, blueberries, raspberries, and lemon juice. Mix together 2 cups sugar, 2/3 cup flour, and tapioca; gently toss with fruit mixture. Divide into 2 pastry lined pie pans. Cover with top crusts; trim and crimp edges. Brush tops with egg wash (1 egg yolk beaten with 2 tablespoons water). Cut a few slits in the top to allow steam to vent."
30,6573744,4,"Bake in preheated oven for 50 to 60 minutes, or until filling is bubbly in center and top is golden brown."
31,6603911,1,Preheat oven to 400 degrees F (200 degrees C). Whisk 1 cup of flour and salt in a bowl.
32,6603911,2,"Cut 1/3 cup of butter into the flour mixture with a pastry cutter until the mixture resembles coarse crumbs. Moisten with water, 1 tablespoon at a time, just until the mixture holds together. Shape the dough into a ball, and roll out into a 12-inch circle on a floured work surface. Crust will be thin. Fold the dough gently into quarters, and lay into a 9-inch pie dish; unfold the dough and center the crust in the pie dish. Trim the crust to 1/2 inch of overhang, and crimp or flute the edge of the crust. Refrigerate crust while making filling."
33,6603911,3,"Mix 1 1/4 cups of sugar, 1/3 cup of flour, cinnamon, and nutmeg in a bowl until thoroughly combined. Mix in the rhubarb and strawberries, and pour into the crust-lined pie dish. Sprinkle with pecans. Mix 1 cup of flour with 2/3 cup of sugar in a bowl, and cut 1/3 cup of butter into the mixture with a pastry cutter until the mixture resembles coarse crumbs; sprinkle the crumb topping evenly over the pie filling. Cover the edge of the pie with strips of aluminum foil."
34,6603911,4,"Bake in the preheated oven until the crumb topping is golden brown and the filling bubbles around the edges, 50 to 60 minutes. Remove foil for the last 10 minutes of baking to brown the pie edge."
35,6737320,1,"Combine the rhubarb, cherry pie filling, sugar, and tapioca in a large bowl. Let stand for 15 minutes."
36,6737320,2,"Pour filling into unbaked pie shell, and cover with pie crust. Brush top with milk, and sprinkle on sugar."
37,6737320,3,Bake at 400 degrees F (200 degrees C) for 40 to 45 minutes.
38,6649933,1,Preheat oven to 440 degrees F (220 degrees C).
39,6649933,2,"Combine apples and rhubarb in a large bowl. Mix together sugar and cinnamon in a small bowl, then sprinkle over fruit. Toss until fruit is thoroughly coated. Spoon mixture into pastry shell."
40,6649933,3,Bake in preheated oven for 40 minutes.
41,6602095,1,Preheat oven to 400 degrees F (200 degrees C).
42,6602095,2,"Stir white sugar, brown sugar, tapioca, and salt together in a large bowl. Add rhubarb and blueberries; toss to coat."
43,6602095,3,Divide the pie dough in half and roll each half out into a 9-inch round. Place 1 round of dough in the bottom of a pie plate. Pile rhubarb-blueberry mixture on top of the dough and top with the remaining dough round. Trim excess dough from the top crust to leave a 1/2-inch border below the top rim of the pie plate. Tuck the top edges of the crust under the bottom crust and crimp border together. Place pie plate on a rimmed baking sheet.
44,6602095,4,"Bake in the preheated oven for 20 minutes. Reduce oven temperature to 350 degrees F (175 degrees C) and continue baking until the crust is golden brown and the filling is bubbling, 25 to 30 minutes more. Cool for 2 hours."
45,6602850,1,Preheat oven to 400 degrees F (200 degrees C). Place a pie dish onto a baking sheet.
46,6602850,2,"Mix the strawberries, rhubarb, sugar, tapioca, and lemon juice in a bowl, and let stand for 15 minutes, stirring occasionally. Fit a pie crust into a 9-inch pie dish; pour the filling into the bottom crust. Scatter pieces of butter over the filling, and place the top crust onto the pie. Press the edges together and crimp with a fork to seal. Cut several slits into the top crust with a sharp knife."
47,6602850,3,"Bake in the preheated oven until the crust is golden brown and the filling is bubbling, 40 to 55 minutes."
48,6588324,1,"In a bowl, whisk together the cornstarch with 1 tablespoon of water until thoroughly combined. Stir in the rhubarb, strawberries, white sugar, lemon juice, cinnamon, and vanilla extract. Allow the mixture to stand for 30 minutes."
49,6588324,2,"Preheat oven to 425 degrees F (220 degrees C). Place bottom crust into a 9-inch pie dish. Roll the remaining crust out into a 10-inch circle on a floured work surface, and set aside."
50,6588324,3,"Stir the filling, and pour into the prepared pie dish. Cut the remaining crust into 1-inch wide strips (use a scalloped edge pastry cutter for a prettier crust). Moisten the rim of the filled bottom crust with a bit of water, and lay the two longest strips in a cross in the middle of the pie. Working from the next longest down to the shortest strips, alternate horizontal and vertical strips, weaving the strips as you go. Press the lattice strips down onto the bottom crust edge to seal, and trim the top crust strips neatly. Beat the egg white with 1 teaspoon of water in a small bowl, and brush the entire lattice top with the beaten egg white. Sprinkle with turbinado sugar. Wrap aluminum foil strips around the edges of the pie."
51,6588324,4,"Bake in the preheated oven for 15 minutes; reduce heat to 375 degrees F (190 degrees C), and bake until the crust is browned and the filling is bubbling, 40 to 45 more minutes. Remove the aluminum foil for the last 10 minutes of baking time. Allow pie to cool completely before serving."
52,6576984,1,"To Make Filling: In a medium bowl, combine blackberries, raspberries, and rhubarb. In a separate bowl, mix together 3/4 cup sugar and 1/4 cup flour. Sprinkle over fruit mixture and stir gently. Cover bowl and refrigerate overnight."
53,6576984,2,"To Make Crust: In a large bowl, mix 2 cups flour with salt. Cut in shortening and 2 tablespoons butter until texture is like coarse cornmeal. Place 1/3 of mixture in a separate bowl. To the smaller portion, add water and mix to form a paste. Add this mixture back to the rest of flour mixture and stir just until dough forms a ball. Allow to rest at least 20 minutes before rolling out. Divide dough in half. Roll out bottom crust and place in 9 inch pie pan."
54,6576984,3,Preheat oven to 400 degrees F (200 degrees C).
55,6576984,4,"Mix 1 tablespoon melted butter and lemon juice into fruit filling, then spoon into pastry-lined pie pan. Roll out top crust and place over filling. Crimp edges and cut steam vents in top. Brush lightly with half and half and sprinkle lightly with sugar."
56,6576984,5,"Bake in preheated oven for 10 minutes. Reduce temperature to 350 degrees F (175 degrees C) and bake an additional 40 to 50 minutes, until crust is golden brown."
57,6570795,1,Preheat the oven to 350 degrees F (175 degrees C).
58,6570795,2,Fit pie crust into a 9-inch pie dish; spread rhubarb evenly over crust.
59,6570795,3,"Whisk 1 cup sugar, half-and-half, egg yolks, flour, and salt together in a bowl until smooth; pour over rhubarb."
60,6570795,4,"Bake in the preheated oven until crust is browned and filling is set, 50 to 60 minutes."
61,6570795,5,"Just before pie is finished baking, beat egg whites in a glass, metal, or ceramic bowl until stiff. Gradually add remaining 1/4 cup sugar and cream of tartar, continuing to beat until meringue is glossy."
62,6570795,6,"Remove pie from the oven; spoon meringue over top, covering the entire filling. Use a spoon or spatula to make decorative swirls in meringue."
63,6570795,7,"Return to the oven and bake until meringue is lightly browned, about 10 minutes. Cool for 10 to 15 minutes before serving."
64,6649886,1,Preheat oven to 350 degrees F (175 degrees C).
65,6649886,2,"Stir apple, strawberries, blackberries, raspberries, and rhubarb together in a bowl. Pour lemon juice and sprinkle sugar over fruit mixture and toss to coat."
66,6649886,3,Line a 9-inch pie pan with prepared pie pastry. Turn apple mixture into pie pan. Cover with remaining pie pastry and pinch and crimp edges to seal the crusts. Cut several air holes into the top of the pastry.
67,6649886,4,"Bake in the preheated oven until crust is golden and fruit is tender and bubbling, 30 to 40 minutes."
68,6570888,1,Mix together the graham cracker crumbs and melted butter; press into the bottom of a 9-inch pie dish. Line the bottom of the pie crust with 1 layer of strawberry halves.
69,6570888,2,"Place the remaining strawberries in a saucepan and crush (there should be about 1 cup of crushed berries); stir the rhubarb, sugar, water, and cornstarch into the crushed berries. Bring the mixture to a boil over medium-low heat, stirring often, until the mixture thickens and becomes translucent. Turn off the heat, let the mixture stand until slightly cooled, about 2 minutes; stir in the lemon juice. Pour the mixture into the pie dish over the strawberry halves."
70,6570888,3,"Refrigerate until completely chilled, about 1 hour."
71,6575233,1,Preheat an oven to 325 degrees F (165 degrees C). Prepare a 9x9-inch baking dish with cooking spray.
72,6575233,2,"Mix together 1 cup of flour, 2 tablespoons of sugar, and the melted butter until well combined; pat the mixture into the bottom of the prepared baking dish."
73,6575233,3,"Bake the crust in the preheated oven until very lightly browned, about 25 minutes. Set aside to cool slightly. Increase oven heat to 350 degrees F (175 degrees C.)"
74,6575233,4,"Stir together 1 1/4 cup of sugar, the rhubarb, 2 tablespoons flour, the milk, and beaten egg yolks until thoroughly combined; pour over the crust."
75,6575233,5,"Bake in the oven until set, 40 to 45 minutes. Serve warm."
76,6572563,1,Preheat the oven to 400 degrees F (200 degrees C). Press a pie crust into the bottom and up the sides of each of two 8-inch pie plates.
77,6572563,2,"Combine rhubarb and 1/2 cup of sugar in a microwave-safe bowl. Microwave on high until rhubarb is soft and juice is pooling in the bottom of the bowl, 4 to 5 minutes. Drain juice into a measuring cup and add enough water to make 2 cups. Add cornstarch and stir to dissolve."
78,6572563,3,"Pour 2 cups rhubarb liquid into a saucepan; add remaining 1 cup sugar and lemon juice. Add serviceberries and rhubarb; cook over medium-high heat until thick and bubbling, about 5 minutes. Pour into two pie crusts. Top with remaining crusts and cut holes in the top to vent steam. Pinch the edges together to seal."
79,6572563,4,"Bake in the preheated oven for 15 minutes, then reduce the temperature to 350 degrees F (175 degrees C). Bake until crust is golden brown and filling is bubbling, about 30 more minutes."
80,6577754,1,Preheat oven to 350 degrees F (175 degrees C).
