,id_recipe,Step_Count,Step Description
0,7372944,1,Preheat the oven to 375 degrees F (190 degrees C). Spray a 13x9x2-inch baking dish with nonstick cooking spray.
1,7372944,2,"Heat a large nonstick skillet over medium-high heat, and cook and stir ground beef, onion, green bell pepper, red bell pepper, and garlic until meat is browned and crumbly, 7 to 10 minutes. Drain excess fat; season with salt and pepper. Stir in RO-TEL tomatoes, tomato sauce, and taco seasoning."
2,7372944,3,"Spread rice in the bottom of the baking dish; pour in beef broth. Fold pepper mixture into rice with a spatula, and spread evenly into the dish. Sprinkle with Colby cheese and pepper Jack cheese."
3,7372944,4,"Bake in the preheated oven, covered with foil, until rice is tender, about 50 minutes. Remove foil and cook until cheese is golden, about 5 minutes more."
4,6811101,1,"Crumble the ground beef into a skillet over medium-high heat. Cook and stir until evenly browned. Drain off grease, and stir in the cream of mushroom soup, tomatoes, and uncooked rice. Cover, and simmer over low heat, stirring occasionally, until rice is cooked, about 15 minutes."
5,6811101,2,"Preheat the oven's broiler. When the rice is done cooking, transfer the contents of the skillet to a casserole dish. Cover with a layer of cheese."
6,6811101,3,"Broil until the cheese is melted and toasty. Season with salt and pepper to taste, and enjoy!"
7,6891651,1,Preheat the oven to 350 degrees F (175 degrees C).
8,6891651,2,"Add uncooked rice to a dry saucepan over medium; cook, stirring constantly, until rice is fragrant and no longer translucent, 3 to 4 minutes.Dotdash Meredith Food Studios"
9,6891651,3,"Transfer to an ungreased 13- x 9-inch baking dish and stir in cilantro, lime zest, and lime juice; mix until combined.Dotdash Meredith Food Studios"
10,6891651,4,"Place chicken, bell peppers, onion, fajita seasoning, olive oil, salt, and pepper in a large bowl and toss until chicken and vegetables are evenly coated.Dotdash Meredith Food Studios"
11,6891651,5,Transfer to baking dish and place in an even layer over rice mixture. Pour in chicken broth and cover with aluminum foil.Dotdash Meredith Food Studios
12,6891651,6,"Bake in preheated oven until chicken is cooked through and rice is tender, about 45 to 50 minutes.Dotdash Meredith Food Studios"
13,6891651,7,"Remove from oven, uncover, and top with desired toppings. Serve with lime wedges."
14,6648585,1,Gather all ingredients.Dotdash Meredith Food Studios
15,6648585,2,Preheat oven to 400 degrees F (200 degrees C). Grease sides and bottom of a casserole dish.
16,6648585,3,"Stir chicken, water, rice, cream of chicken soup, cream of celery soup, and cream of mushroom soup together in the prepared casserole dish; season with salt and pepper.Dotdash Meredith Food Studios"
17,6648585,4,Arrange butter evenly over the top of the chicken mixture.Dotdash Meredith Food Studios
18,6648585,5,"Bake in preheated oven until the rice is tender and the chicken is cooked through, 1 hour to 75 minutes. Cool 10 to 15 minutes before serving.Dotdash Meredith Food Studios"
19,6648527,1,Preheat the oven to 350 degrees F (175 degrees C).
20,6648527,2,"Bring water to a boil in a medium saucepan; stir in instant rice, cover, and remove from heat. Let stand for 5 minutes."
21,6648527,3,"Mix prepared rice, chicken, broccoli, processed cheese, condensed mushroom soup, condensed chicken soup, milk, butter, and onion in a 9x13-inch baking dish."
22,6648527,4,"Bake in the preheated oven until cheese is melted, about 30 to 35 minutes. Stir halfway through cooking to help cheese melt evenly."
23,6664418,1,Preheat the oven to 350 degrees F (175 degrees C) and gather all ingredients.Dotdash Meredith Food Studios
24,6664418,2,"Heat a large skillet over medium-high heat. Cook and stir ground beef in the hot skillet until browned and crumbly, 5 to 7 minutes. Drain and discard grease."
25,6664418,3,"Combine cabbage, tomato sauce, onion, rice, and salt in a large mixing bowl. Stir in cooked ground beef. Pour mixture into a 9x13-inch baking dish, then pour beef broth over top.Dotdash Meredith Food Studios"
26,6664418,4,Cover and bake in the preheated oven for 1 hour.Dotdash Meredith Food Studios
27,6664418,5,"Stir, re-cover, and bake until cabbage is tender and rice is done, 20 to 30 minutes more.Dotdash Meredith Food Studios"
28,6664418,6,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
29,6573852,1,Preheat the oven to 375 degrees F (190 degrees C).
30,6573852,2,"Mix vegetables, condensed soup, water, rice, and onion powder together in a 12x8-inch shallow baking dish. Arrange chicken breasts on top; cover."
31,6573852,3,"Bake in the preheated oven until chicken is no longer pink and cooked through, about 45 minutes. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C). Top with shredded cheese and serve."
32,6649839,1,Preheat oven to 350 degrees F (175 degrees C).
33,6649839,2,"In a large bowl mix the rice, dry onion soup mix, cream of mushroom soup, mushroom pieces and milk."
34,6649839,3,Place the chicken pieces in a 9x13 inch baking dish and pour the mushroom mixture over the chicken. Cover and bake in the preheated oven for 1 hour. Uncover and bake for 15 more minutes.
35,6738496,1,Preheat oven to 350 degrees F (175 degrees C). Spray a 9x13-inch baking dish with cooking spray.
36,6738496,2,"Heat the vegetable oil in a large skillet over medium heat. Sprinkle pork chops with salt and black pepper, and brown them on both sides, about 5 minutes per side. Set chops aside."
37,6738496,3,"Mix the water, rice, tomato sauce, picante sauce, and taco seasoning in the prepared baking dish. Lay the chops into the rice mixture, and top with the green bell pepper slices. Cover the dish."
38,6738496,4,"Bake in the preheated oven until the chops are no longer pink inside and the rice is tender, about 1 hour. An instant-read thermometer inserted into the thickest part of a chop should read 145 degrees F (63 degrees C). Uncover the dish, and sprinkle with Cheddar cheese."
39,6738496,5,"Return to the oven, and bake uncovered until the cheese is melted and bubbly, 5 to 10 more minutes."
40,6604655,1,"Place the head of cabbage in a large pot over high heat and add water to cover. Boil cabbage for 15 minutes, or until it is pliable and soft. Drain and allow to cool completely.Dotdash Meredith Food Studios"
41,6604655,2,Remove the hard outer vein from the leaves.Dotdash Meredith Food Studios
42,6604655,3,"In a separate large bowl, combine the beef, rice, garlic powder and the egg, mixing well.Dotdash Meredith Food Studios"
43,6604655,4,"Place a small amount, about the size of your palm, into the center of a cabbage leaf.Dotdash Meredith Food Studios"
44,6604655,5,"Fold leaf over, tucking in the sides of the leaf to keep meat mixture inside.Dotdash Meredith Food StudiosDotdash Meredith Food Studios"
45,6604655,6,"Pile up the filled leaves in a large pot, putting the larger leaves on the bottom. Add the tomato juice, vinegar and sugar and enough water to cover. Simmer over medium low heat for about 60 minutes. (Note: Keep an eye on them, making sure the bottom of leaves do not burn.)Dotdash Meredith Food Studios"
46,6648820,1,"Mix soup, water, rice, paprika and black pepper in 2-quart shallow baking dish. Top with chicken. Season with additional paprika and pepper. Cover."
47,6648820,2,Bake at 375 degrees F 45 minutes or until done.
48,6663448,1,"Place rice and water in a saucepan, and bring to a boil. Reduce heat to low, cover, and simmer for 20 minutes."
49,6663448,2,"Meanwhile, place chicken breast halves into a large saucepan, and fill the pan with water. Bring to a boil, and cook for 20 minutes, or until done. Remove chicken from water. When cool enough to handle, cut meat into bite-size pieces."
50,6663448,3,Preheat oven to 350 degrees F (175 degrees C). Lightly grease a 9x13 inch baking dish.
51,6663448,4,"In a medium bowl, combine Monterey Jack and Cheddar cheeses. In a separate bowl, mix together cream of chicken soup, cream of mushroom soup, onion, and salsa. Layer 1/2 of the rice, 1/2 of the chicken, 1/2 of the soup and salsa mixture, and 1/2 of the cheese mixture in prepared dish. Repeat layers, ending with cheese."
52,6663448,5,"Bake in preheated oven for about 40 minutes, or until bubbly."
53,6590910,1,"Heat the olive oil in a skillet over medium heat. Add the ground beef, and cook, stirring to crumble, until evenly browned. Mix in the crushed tomatoes, chicken stock, and bay leaves. Simmer for 25 minutes over low heat."
54,6590910,2,"Meanwhile, place the rice into a saucepan with enough water to cover by one inch. Bring to a boil, and cook for about 10 minutes (halfway), then drain off water."
55,6590910,3,Preheat the oven to 400 degrees F (200 degrees C).
56,6590910,4,"Remove the bay leaves from the sauce, and mix in the half-cooked rice. Stir in the basil, mint, eggs, and mozzarella cheese; season with salt and pepper. Transfer to a greased baking dish. Sprinkle Parmesan cheese over the top."
57,6590910,5,"Bake for 40 minutes in the preheated oven, or until the rice is tender, and the liquid has been absorbed."
58,6650809,1,Preheat the oven to 350 degrees F (175 degrees C).
59,6650809,2,"Heat a large skillet over medium-high heat. Cook and stir ground beef in the hot skillet until browned and crumbly, 5 to 7 minutes. Add bell pepper, tomato, and Worcestershire sauce. Cook and stir until pepper has slightly softened, about 5 minutes. Strain 1/2 of the liquid from the canned diced tomatoes into the mixture."
60,6650809,3,"Stir diced tomatoes, onion, garlic, oregano, basil, salt, and pepper into the ground beef mixture. Simmer until some of the liquid has reduced, about 10 minutes. Add rice and mix well. Transfer to a casserole dish and sprinkle Cheddar cheese on top."
61,6650809,4,"Bake in the preheated oven until filling is heated through and cheese is melted, about 45 minutes."
62,6737384,1,Preheat oven to 375 degrees F (190 degrees C).
63,6737384,2,"Brown the ground beef in a large skillet over medium-high heat. Drain excess fat and transfer beef to a large pot over medium low heat.. Stir in the onion, green bell pepper, tomatoes, water, rice, chile sauce, salt, brown sugar, cumin, Worcestershire sauce and ground black pepper."
64,6737384,3,"Let this simmer for about 30 minutes, stirring occasionally, then transport this to a 2-quart casserole dish. Press down firmly and sprinkle with the shredded Cheddar cheese."
65,6737384,4,"Bake at 375 degrees F (190 degrees C) for 10 to 15 minutes, or until cheese is melted and bubbly. Garnish with chopped fresh cilantro."
66,6664872,1,Preheat the oven to 375 degrees F (190 degrees C). Spray a 9x13-inch baking pan with cooking spray.
67,6664872,2,"Combine chicken, condensed soup, broccoli, rice, and water in a bowl; mix thoroughly. Transfer mixture to the prepared baking pan and cover with foil."
68,6664872,3,"Bake in the preheated oven for 30 minutes. Uncover, stir, top with Cheddar cheese, and cover again. Continue to bake until chicken is no longer pink in the center, rice is tender, and cheese is melted and bubbly, about 10 minutes more."
69,6583330,1,Preheat oven to 275 degrees F (135 degrees C).
70,6583330,2,"Heat vegetable oil in a large skillet over medium heat, and brown the pork chops on both sides, 5 to 8 minutes per side. Place the chops into a 9x13-inch baking dish. In a large saucepan, whisk together the cream of chicken soup, cream of celery soup,and milk until smooth. Stir in the rice, and add the butter; bring the mixture to a boil over medium heat, and stir until the butter has melted. Pour the rice mixture over the chops; cover the dish with foil."
71,6583330,3,"Bake in the preheated oven until tender, about 2 hours."
72,6736741,1,Preheat oven to 350 degrees F (175 degrees C).
73,6736741,2,"In a medium bowl combine the milk, rice, soup and seasoned salt if desired. Mix well. Pour mixture into a lightly greased 9x13 inch baking dish. Add the chicken pieces."
74,6736741,3,"Cover dish tightly with aluminum foil and bake in the preheated oven for approximately 90 minutes or until rice is done, stirring every 30 minutes. Uncover the dish and bake for another 15 minutes to allow the rice to brown."
75,6738372,1,Preheat oven to 350 degrees F (175 degrees C).
76,6738372,2,Spread rice in the bottom of a 9x13 inch baking dish. Rinse chicken and pat dry; arrange chicken pieces on top of rice.
77,6738372,3,Mix soup and water together and pour over chicken and rice. Sprinkle dry onion soup mix on top. Cover and seal TIGHTLY with foil. Bake in the preheated oven for 1 to 1 1/2 hours. Enjoy!
78,6571182,1,Preheat oven to 350 degrees F (175 degrees C).
79,6571182,2,Spread rice into a casserole dish. Lay chicken breasts onto the bed of rice. Sprinkle French onion soup mix over the chicken. Pour cream of mushroom soup over the chicken. Cover casserole dish with aluminum foil.
