,id_recipe,Step_Count,Step Description
0,7561932,1,"Add mayonnaise, buttermilk, pesto, lemon juice, and garlic to the bowl of a food processor. Blend until smooth. Season to taste with black pepper. Set dressing aside."
1,7561932,2,"Meanwhile, heat a skillet over medium-high heat. Season salmon with Greek seasoning. Cut salmon into two filets. Melt butter in a skillet over medium heat and add olive oil. Place salmon, skin side down, in the hot skillet. Cook until salmon flakes easily with a fork, about 8 minutes."
2,7561932,3,"Bring water to a boil in a saucepan; remove from heat and stir couscous into the water. Cover saucepan and let stand until water is absorbed completely, about 10 minutes."
3,7561932,4,"To assemble, place salad mixture into 2 dinner bowls, and sprinkle chopped tomatoes over the salad. Fluff couscous with a fork. Mound couscous in the center of each bowl. Sprinkle Parmesan cheese around couscous. Place a salmon filet to the side of the couscous. Pour 1 to 2 tablespoons pesto dressing on top of dish. Sprinkle with pepitas. Serve immediately.Nutrition data for this recipe includes the full amount of dressing ingredients. The actual amount of dressing consumed will vary."
4,7558696,1,Combine chopped cucumbers and soy sauce in a small bowl and set aside.
5,7558696,2,"In a small bowl, combine the salmon, Sriracha®, mayonnaise, and rice vinegar."
6,7558696,3,"In a bowl place cooked rice and top it with the salmon mixture, sliced avocado, and chopped cucumber mixture. Sprinkle with sesame seeds. Top with extra Sriracha and green onions if desired."
7,7509518,1,Preheat air fryer to 400 degrees F (200 degrees C). Coat a sheet of foil with cooking spray.
8,7509518,2,"Toss sweet potatoes with 1 1/2 teaspoons oil and 1/8 teaspoon each salt and pepper in a bowl. Arrange sweet potatoes in an even layer on the foil; transfer to the air fryer basket. Cook until mostly tender, about 10 minutes."
9,7509518,3,"Meanwhile, stir together mustard, honey, and mayonnaise in a small bowl. In another bowl, toss broccoli with remaining 1 1/2 teaspoons oil and 1/8 teaspoon each salt and pepper."
10,7509518,4,"Push sweet potatoes to one side of the basket. Add salmon to the other side. Spoon 1 teaspoon mustard mixture onto each fillet; spread to coat tops of fillets. Sprinkle evenly with bagel seasoning. Arrange broccoli around sweet potatoes and salmon. Cook until salmon is opaque and flakes easily with a fork and sweet potatoes and broccoli are tender, 10 to 14 minutes."
11,7509518,5,Stir soy sauce into the remaining mustard mixture; drizzle over sweet potatoes and broccoli to serve.
12,6737311,1,"Stir butter, dill, lemon zest, cayenne pepper, salt, and black pepper in a bowl until combined. Set aside."
13,6737311,2,"Fill a large saucepan with 2 to 3 inches of water and bring to a boil over high heat. Reduce heat to medium-low, pour in vinegar and a pinch of salt. Crack an egg into a bowl then gently slip the egg into the water. Repeat with remaining eggs. Poach eggs until whites are firm and yolks have thickened but are not hard, 4 to 6 minutes. Remove eggs from water with a slotted spoon, dab on a kitchen towel to remove excess water, then transfer to a warm plate."
14,6737311,3,"Generously spread each English muffin half with dill butter. Top with a layer of smoked salmon, then 1 poached egg. Season with cayenne pepper, salt, and black pepper to taste. Garnish with a dill sprig and serve."
15,6738395,1,"To make the sauce: In the top of a double boiler, whisk together yogurt, lemon juice, egg yolks, mustard, salt, sugar, pepper, and hot sauce. Cook over simmering water, stirring constantly, 6 to 8 minutes, or until sauce is thick enough to coat the back of the spoon."
16,6738395,2,"In a large stock pot, heat 2 quarts of salted water to a boil. Carefully break eggs one at a time into boiling water. When all eggs have been added, reduce the heat to medium. When eggs float to the top, remove them with a slotted spoon and let drain briefly."
17,6738395,3,To assemble final dish: Toast bread slices and place on warm plates. Top each piece of toast with a slice of smoked salmon and a hot poached egg. Drizzle with yogurt sauce; garnish with parsley and capers.
