,id_recipe,Step_Count,Step Description
0,7644167,1,"In a small bowl combine shredded chicken, kimchi, and mayonnaise."
1,7644167,2,"Preheat a small skillet over medium heat. Spread ½ tablespoon butter on one side of a slice of bread. Place 1 slice bread butter-side-down in skillet; place 1 slice provolone and 1 slice Havarti cheese onto bread. Top with chicken mixture, then with remaining slice provolone and remaining Havarti. Butter second bread slice with remaining butter on one side and place butter-side-up on top of sandwich."
2,7644167,3,"Cook sandwich in skillet until bread is lightly browned and flip over, about 2 ½ minutes per side."
3,7570313,1,Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.
4,7570313,2,"Slice rolls in half lengthwise, but do not cut all the way through. Place rolls on the prepared baking sheet, open side up."
5,7570313,3,"Evenly layer rolls with ham, salami, and capicola, folding to fit. Place the halved provolone and banana peppers on top of the meat."
6,7570313,4,"Bake in the preheated oven just until cheese starts to melt, 5 to 8 minutes."
7,7570313,5,"Remove sandwiches from the oven, dress with tomatoes, lettuce, and red onion as desired. Lightly drizzle with olive oil and red wine vinegar; sprinkle with oregano and season with salt and pepper. Serve warm.Keep your eye on the hoagies. When the cheese has melted, remove from the oven, so the roll doesn’t get too crusty and hard. If your deli carries capicola, I'd recommend you give it a try. It adds great flavor to this sandwich and is traditional on an Italian hoagie."
8,7559150,1,"For the dressing, add maple syrup, olive oil, red wine vinegar, mustard, poppy seeds, and salt to a jar with a tight-fitting lid. Seal jar and shake vigorously to blend."
9,7559150,2,"Toss spinach, chicken, strawberries, pecans, and feta cheese together in a bowl. Drizzle 2 tablespoons dressing into salad; toss to combine."
10,7559150,3,"Microwave tortillas until pliable, 10 to 20 seconds. Lay tortillas on a clean surface, and spoon an equal portion of chicken salad in the center of each tortilla."
11,7559150,4,"Fold in sides of tortillas, almost to the center. Bring the bottom of the tortilla over the folded sides, tuck tightly over filling and roll until the sandwich is secured. Slice sandwich wrap in half on the diagonal, if desired. Serve with remaining salad dressing."
12,7552440,1,"Stir mayonnaise, ranch dressing, dill pickle juice, and dill together in a small bowl."
13,7552440,2,"Warm tortillas in the microwave on High until warm and pliable, about 30 seconds."
14,7552440,3,"Spread half of the mayonnaise mixture down the center of each tortilla. In each tortilla, place 2 slices of sharp Cheddar cheese, 1/2 cup lettuce, 2 kosher pickle slices, and 1/2 cup of cooked chicken."
15,7552440,4,Fold opposing edges of tortilla to overlap the filling. Roll 1 of the opposing edges around the filling into a wrap.
16,7506229,1,"Sprinkle cut sides of peach halves with ground chile (if using). Using a potato masher, a flat-bottom heavy skillet, or the flat side of a meat mallet, gently smash peach halves to 1/2-inch thickness.Top 2 bread slices with Cheddar cheese. Layer 2 peach halves, half of the poblano strips, and 2 slices bacon on top of the cheese. Top with remaining bread slices. Butter both sides of each sandwich."
17,7506229,2,"Heat a skillet over medium heat. Add sandwiches and cook, turning halfway through, until bread is toasted and cheese melts, 4 to 6 minutes."
18,7485398,1,"Place cottage cheese into the bowl of a food processor or blender. Blend until smooth, about 1 minute, scraping down the sides after 30 seconds."
19,7485398,2,"Toast bread slices. Top each slice with 1/4 cup cottage cheese, then top with 1/4 cup mixed berries. Drizzle each slice with 1 tablespoon honey, or more to taste."
20,7107292,1,Separate cheese slices and set aside to soften.
21,7107292,2,Cut crusts from the bread slices. Flatten bread with a rolling pin.
22,7107292,3,Place a slice of cheese on each bread slice. Carefully roll up bread and cheese.
23,7107292,4,"Melt butter in a skillet over medium heat. Place roll-ups in skillet seam side down. Cook and turn roll ups until all sides are a golden brown, 2 to 3 minutes per side."
24,7107047,1,"Melt butter over medium heat in a skillet. Sauté mushrooms and onions until tender, about 5 minutes; remove from skillet, and set skillet aside."
25,7107047,2,"Spread mayonnaise on 4 slices of bread. Turn the slices mayo side down, and evenly spread hummus on all 4 slices. On only 2 of those slices, evenly layer mushroom-onion mixture followed by Swiss cheese. Top with remaining 2 bread slices with mayonnaise side up. (To clarify, each of the 2 sandwiches will have hummus on the top and bottom of the sandwich, with cheese and mushroom mixture in the center)."
26,7107047,3,"Reheat the skillet over medium heat; place sandwiches mayonnaise side down in the skillet, and cook until golden brown on both sides and cheese is melted, 5 to 6 minutes, flipping half way through."
27,7104683,1,Place bread slices on a cutting board and carefully remove crusts.
28,7104683,2,"Using a rolling pin, flatten the bread widthwise. Spread butter on outer edges of the bread."
29,7104683,3,Place one slice of cheese on the non-buttered side. Roll bread and cheese together to create a spiral effect.
30,7104683,4,"Heat a heavy skillet over medium high heat. Place roll up into then skillet, butter side down. Grill on all sides until golden brown. Remove roll ups and slice diagonally if desired. Enjoy."
31,6743121,1,Preheat the oven to 425 degrees F (220 degrees C). Spray a baking pan with vegetable oil spray.
32,6743121,2,"Place frozen chicken fillets on the prepared pan and bake for 10 to 12 minutes. Turn chicken, sprinkle 2 tablespoons Parmesan cheese on each fillet, and bake until crispy, an additional 10 to 12 minutes."
33,6743121,3,Slice garlic bread into 4 equal portions. Open each portion and place garlic side up on a baking sheet. Warm garlic bread in the oven about 5 minutes.
34,6743121,4,"To assemble the sandwiches, place a chicken fillet on a piece of garlic bread, spoon 1/4 cup tomato sauce or marinara sauce on top of the chicken, and lay a slice of provolone on top of the sauce. Place 3 basil leaves, or more to taste, on each sandwich, and top with the other half."
35,6743121,5,"Wrap each sandwich in foil and return to the oven until the cheese is melted, 5 to 8 minutes. Unwrap and serve warm."
36,6649826,1,"Combine shredded chicken, buffalo wing sauce, and blue cheese in a small bowl."
37,6649826,2,Preheat a small skillet over medium heat.
38,6649826,3,"Spread 1/2 tablespoon butter on one side of a slice of bread. Place bread butter-side-down onto the skillet bottom and place pepper Jack cheese on top. Top with chicken mixture. Butter a second slice of bread with remaining butter on one side and place on top of sandwich, butter-side-up."
39,6649826,4,Cook sandwich in skillet until lightly browned bread and flip over; about 2 1/2 minutes per side.
40,6663608,1,"Pour vegetable oil into the bottom of a slow cooker. Place pork roast into the slow cooker; pour in barbeque sauce, vinegar, and chicken broth. Stir in brown sugar, yellow mustard, Worcestershire sauce, chili powder, onion, garlic, and thyme. Cover and cook on Low for 10 to 12 hours or High for 5 to 6 hours until pork shreds easily with a fork."
41,6663608,2,"Remove pork from the slow cooker, and shred the meat using two forks. Return shredded pork to the slow cooker, and stir to combine with juices."
42,6663608,3,"Spread the inside of both halves of hamburger buns with butter. Toast buns, butter-side down, in a skillet over medium heat until golden brown. Spoon pulled pork into toasted buns."
43,6649567,1,"Heat a large skillet over medium heat. Cook and stir lean ground beef in the hot skillet until some of the fat starts to render, 3 to 4 minutes. Add onion and bell pepper; continue to cook until vegetables have softened and beef is cooked through, 3 to 5 more minutes."
44,6649567,2,"Stir in ketchup, brown sugar, mustard, and garlic powder; season with salt and pepper. Reduce heat to low and simmer for 20 to 30 minutes."
45,6649567,3,Divide meat mixture evenly among hamburger buns.
46,6649541,1,Preheat a nonstick skillet over medium heat. Generously butter one side of a slice of bread. Place bread butter-side down in the hot skillet; add 1 slice of cheese. Butter a second slice of bread on one side and place butter-side up on top of cheese.
47,6649541,2,"Cook until lightly browned on one side; flip over and continue cooking until cheese is melted. Repeat with remaining 2 slices of bread, butter, and slice of cheese."
48,6740935,1,Preheat a large griddle or skillet over medium heat.
49,6740935,2,"Spread one side of bread slices evenly with Thousand Island dressing. On four bread slices, layer one slice Swiss cheese, 2 slices corned beef, 1/4 cup sauerkraut, and a second slice of Swiss cheese. Top with remaining bread slices, dressing-side down. Butter the top of each sandwich."
50,6740935,3,"Place sandwiches, butter-side down on the preheated griddle; butter the top of each sandwich with remaining butter. Grill until both sides are golden brown, about 5 minutes per side. Serve hot."
51,6650049,1,"Combine cornmeal, flour, sugar, baking powder, salt, and pepper in a medium bowl; stir in milk and egg to make a batter."
52,6650049,2,"Heat oil in a deep fryer or large saucepan to 375 degrees F (190 degrees C). Meanwhile, pat frankfurters dry and insert a skewer into each one. Roll frankfurters in batter until well coated."
53,6650049,3,"Fry 2 or 3 corn dogs at a time in preheated oil until lightly browned, about 3 minutes. Drain on paper towels.France C"
54,6603465,1,"Combine rice vinegar, sugar, and water in a saucepan. Bring to a boil over medium heat, stirring until sugar has dissolved, about 1 minute. Allow the mixture to cool."
55,6603465,2,"Place carrot, radish, and onion in a bowl. Pour in cooled vinegar mixture and let marinate at least 30 minutes."
56,6603465,3,"While vegetables marinate, set an oven rack about 6 inches from the heat source and preheat the broiler. Lightly oil a slotted broiler pan."
57,6603465,4,Sprinkle chicken breast with garlic salt and pepper.
58,6603465,5,"Place chicken on the prepared pan and broil, turning once, until browned and no longer pink in the center, about 6 minutes per side."
59,6603465,6,Place chicken on a cutting board. Cut into bite-sized pieces.
60,6603465,7,"Slice baguette in half lengthwise. Pull out the soft center of the bread, leaving a cavity for the fillings."
61,6603465,8,"Lightly toast baguette under the broiler, 2 to 3 minutes."
62,6603465,9,Drain off excess vinegar mixture after vegetables have marinated.
63,6603465,10,"To assemble the sandwich, spread each half of toasted baguette with mayonnaise. Layer chicken on the bottom half of the bread. Top with cucumber, drained pickled vegetables, cilantro, and jalapeno. Squeeze lime wedge over fillings and cover with top half of baguette."
64,6603465,11,Cut into two 6-inch sandwiches to serve.
65,7771488,1,Toast bread to your liking and remove to a plate. Top with guacamole and pickled jalapeno; sprinkle with Tajin seasoning. Serve immediately.
66,7509591,1,Preheat air fryer to 250 degrees F (120 degrees C).
67,7509591,2,"Arrange whole eggs in shells in an even layer in the fryer basket; cook for 20 minutes. Immediately plunge eggs into an ice bath. Let stand until cool, about 5 minutes; drain. Peel and coarsely chop eggs"
