,id_recipe,Step_Count,Step Description
0,6664032,1,Slice the strawberries and toss them with 1/2 cup of white sugar. Set aside.Dotdash Meredith Food Studios
1,6664032,2,Preheat oven to 425 degrees F (220 degrees C). Grease and flour one 8-inch round cake pan.Dotdash Meredith Food Studios
2,6664032,3,"In a medium bowl combine the flour, baking powder, 2 tablespoons white sugar and the salt. With a pastry blender cut in the shortening until the mixture resembles coarse crumbs. Make a well in the center and add the beaten egg and milk.Dotdash Meredith Food Studios"
3,6664032,4,Stir mixture until just combined.Dotdash Meredith Food Studios
4,6664032,5,Spread the batter into the prepared pan.Dotdash Meredith Food Studios
5,6664032,6,Bake at 425 degrees F (220 degrees C) for 15 to 20 minutes or until golden brown. Let cool partially in pan on wire rack.Dotdash Meredith Food Studios
6,6664032,7,"Slice partially cooled cake in half, making two layers.Dotdash Meredith Food Studios"
7,6664032,8,Place half of the strawberries on one layer and top with the other layer. Top with remaining strawberries and cover with the whipped cream.Dotdash Meredith Food Studios
8,6664032,9,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
9,6605150,1,"Place strawberries in a bowl; add sugar and stir to coat. Cover and refrigerate until sugar has dissolved, about 15 minutes."
10,6605150,2,Place 1 dessert cup in each serving bowl and smother with strawberries. Top each with whipped cream.
11,7552490,1,Gather your ingredients. Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper or a silicone baking mat.Dotdash Meredith Food Studios
12,7552490,2,"In a small bowl whisk together cream, egg, vanilla, and lemon zest, if desired; set aside.Dotdash Meredith Food Studios"
13,7552490,3,"Combine flour, baking powder, sugar, and salt in a large bowl.Dotdash Meredith Food Studios"
14,7552490,4,Cut in butter with a pastry blender until the mixture is the consistency of coarse crumbs.Dotdash Meredith Food Studios
15,7552490,5,"Gently stir in cream mixture, just until moistened.Dotdash Meredith Food Studios"
16,7552490,6,Roll on a lightly floured surface to 3/4-inch thick.Dotdash Meredith Food Studios
17,7552490,7,Cut biscuits using a 2 1/2- to 3-inch round cutter or cut the dough as desired.Dotdash Meredith Food Studios
18,7552490,8,"Place biscuits on the prepared baking sheet. Bake until golden brown, 15 minutes.Dotdash Meredith Food Studios"
19,7552490,9,Cool biscuits for 5 minutes on the baking sheet. Cool completely on a wire rack.Dotdash Meredith Food Studios
20,7552490,10,"Combine 2 cups blueberries, sugar, and lemon juice in a medium saucepan.Dotdash Meredith Food Studios"
21,7552490,11,"Bring mixture to a simmer and cook until thickened on medium-low, about 15 minutes, stirring regularly.Dotdash Meredith Food Studios"
22,7552490,12,Stir in remaining 1 cup blueberries. Cool for about 15 minutes.Dotdash Meredith Food Studios
23,7552490,13,Add heavy whipping cream and powdered sugar to a medium bowl.Dotdash Meredith Food Studios
24,7552490,14,"Beat until medium peaks form, 3 to 4 minutes.Dotdash Meredith Food Studios"
25,7552490,15,Split shortcakes in half horizontally.Dotdash Meredith Food Studios
26,7552490,16,Spoon half of the blueberry compote on the bottom halves of the shortcakes.Dotdash Meredith Food Studios
27,7552490,17,"Stack the shortcake tops on top. Top with remaining blueberry compote and whipped cream, if using.Dotdash Meredith Food Studios"
28,6604425,1,Preheat the oven to 450 degrees F (230 degrees C). Grease an 8-inch baking pan.
29,6604425,2,"Sift together flour, sugar, baking powder, salt, and nutmeg in a large bowl. Cut in butter with 2 knives or a pastry blender until mixture resembles coarse crumbs. Beat together milk and egg in a small bowl; stir into flour mixture until batter is just blended. Spread batter in the prepared baking pan."
30,6604425,3,"Bake in the preheated oven until golden, about 15 minutes. Cool in the pan for 10 minutes before removing to cool completely on a wire rack."
31,6736523,1,Preheat the oven to 425 degrees F (220 degrees C).
32,6736523,2,Line a baking sheet with parchment paper.
33,6736523,3,"Whisk together flour, baking powder, baking soda, 1/3 cup white sugar, and salt in a mixing bowl."
