,id_recipe,Step_Count,Step Description
0,6664581,1,Bring water and 2 teaspoons salt to a boil in a heavy saucepan over medium-high heat.
1,6664581,2,"Whisk grits into the boiling water, and then whisk in half-and-half. Reduce heat to medium-low and simmer, stirring occasionally, until grits are thickened and tender, 15 to 20 minutes. Set aside and keep warm.Dotdash Meredith Food Studios"
2,6664581,3,"Season shrimp with salt and cayenne pepper. Add lemon juice, toss to combine, and set aside to marinate."
3,6664581,4,"Place sausage slices in a large skillet over medium-high heat. Cook, stirring occasionally, until browned, 5 to 8 minutes. Remove sausage from the skillet."
4,6664581,5,"Add bacon to the same skillet. Cook over medium-high heat until evenly browned, about 5 minutes per side. Transfer bacon to paper towels to drain, then chop or crumble when cool enough to handle. Leave bacon drippings in the skillet."
5,6664581,6,"Add bell peppers, onion, and garlic to the bacon drippings; cook and stir until onion is translucent, about 8 minutes."
6,6664581,7,Stir cooked sausage and marinated shrimp into the skillet with the cooked vegetables. Turn off the heat and set aside.
7,6664581,8,"Melt butter in a small saucepan over medium heat. Whisk in flour, stirring to create a smooth roux. Turn heat to low and cook, stirring constantly, until mixture is golden brown in color, 8 to 10 minutes. Watch carefully, mixture burns easily.Dotdash Meredith Food Studios"
8,6664581,9,"Pour the roux over the sausage, shrimp, and vegetables."
9,6664581,10,"Place the skillet over medium heat, add chicken broth, bacon, and Worcestershire sauce, and stir to combine. Cook until sauce thickens up and shrimp turn opaque and bright pink, about 8 minutes.Dotdash Meredith Food Studios"
10,6664581,11,"Just before serving, mix Cheddar cheese into grits; stir until cheese is melted and grits are creamy and light yellow."
11,6664581,12,Spoon grits onto plates and serve shrimp mixture over top.
12,6596255,1,"Bring water to a boil in a pot over high heat. Add salt and pepper. Stir in grits; reduce heat and let simmer until water is absorbed, 20 to 25 minutes. Remove from heat and stir in Cheddar cheese and butter. Cover and set aside."
13,6596255,2,Rinse shrimp and pat dry.
14,6596255,3,"Place bacon in a large skillet and cook over medium-high heat, turning occasionally, until evenly browned, about 10 minutes. Drain bacon slices on paper towels."
15,6596255,4,"Heat remaining bacon grease in the skillet over medium heat. Cook shrimp until bright pink on the outside and opaque, 3 to 4 minutes. Add bacon, scallions, parsley, garlic, and lemon juice; cook for 3 minutes."
