,id_recipe,Step_Count,Step Description
0,6648930,1,Gather ingredients.
1,6648930,2,"Bring a large pot of salted water to a boil; cook linguine in boiling water until nearly tender, 6 to 8 minutes. Drain."
2,6648930,3,Melt 2 tablespoons butter with 2 tablespoons olive oil in a large skillet over medium heat.
3,6648930,4,"Cook and stir shallots, garlic, and red pepper flakes in the hot butter and oil until shallots are translucent, 3 to 4 minutes.Dotdash Meredith Food Studios"
4,6648930,5,"Season shrimp with kosher salt and black pepper; add to the skillet and cook until pink, stirring occasionally, 2 to 3 minutes. Remove shrimp from skillet and keep warm."
5,6648930,6,Pour white wine and lemon juice into skillet and bring to a boil while scraping the browned bits of food off of the bottom of the skillet with a wooden spoon.
6,6648930,7,"Melt 2 tablespoons butter in skillet, stir 2 tablespoons olive oil into butter mixture, and bring to a simmer.Dotdash Meredith Food Studios"
7,6648930,8,"Toss linguine, shrimp, and parsley in the butter mixture until coated; season with salt and black pepper. Drizzle with 1 teaspoon olive oil to serve."
8,6648930,9,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
9,6738379,1,"Bring a large pot of lightly salted water to a boil. Cook angel hair pasta in the boiling water, stirring occasionally, until tender yet firm to the bite, 4 to 5 minutes. Drain; transfer to a serving bowl and keep warm."
10,6738379,2,"Melt butter in a large saucepan over medium heat. Stir in shrimp and garlic. Cook and stir until shrimp turns pink, 3 to 5 minutes. Stir in wine and pepper; bring to a boil. Cook and stir for 30 seconds."
11,6738379,3,Pour shrimp with sauce over pasta in the serving bowl; toss well. Sprinkle with Parmesan cheese and parsley.
12,6650703,1,"Bring a large pot of lightly salted water to a boil. Cook linguine at a boil until tender yet firm to the bite, about 11 minutes. Drain."
13,6650703,2,"Melt butter in a medium saucepan over medium-low heat. Add wine, garlic, Parmesan cheese, and parsley. Season with salt and pepper. Simmer, stirring frequently, over low heat for 3 to 5 minutes."
14,6650703,3,"Increase heat to medium-high and add shrimp to the saucepan; cook until shrimp begins to turn pink, 3 to 4 minutes. Do not overcook."
15,6650703,4,Divide pasta into 8 bowls. Spoon shrimp with sauce on top. Garnish with Parmesan cheese and parsley.
16,6573849,1,Place flour in a shallow dish; season with salt and pepper. Toss shrimp in flour; shake off any excess.
17,6573849,2,"Heat oil in a large skillet over medium heat; add shrimp and cook until pink, about 2 minutes per side. Remove shrimp from skillet; set aside. Discard all but 1 tablespoon of oil from the skillet. Add shallots and garlic; cook and stir until soft, about 2 minutes. Pour in 1/2 cup chicken broth, wine, and lemon juice. Simmer until reduced to about 3/4 cup, about 5 minutes."
18,6573849,3,"Stir in remaining 1/2 cup of chicken broth and cream; simmer until sauce is reduced and thickened slightly, approximately 10 minutes more. Add butter and stir until melted."
