,id_recipe,Step_Count,Step Description
0,7970546,1,"Melt butter in a skillet over medium heat. Add gnocchi and vegetables, and cook until vegetables are tender and gnocchi is golden, about 5 minutes."
1,7970546,2,"Stir in evaporated milk, pesto, and alouette cheese, and cook until sauce is smooth and evenly coats gnocchi and vegetables, about 5 minutes. Serve immediately."
2,7775399,1,Gather all ingredients. Preheat oven to 200 degrees F (400 degrees C). Set two wire racks atop paper towels.Dotdash Meredith Food Studios
3,7775399,2,"Fill a large bowl with ice water. Using a mandoline with a waffle blade set to 1/4-inch, slice potatoes crosswise, then rotate 90° and make another slice for each waffle fry (you can also use a crinkle cutter using the same process).Dotdash Meredith Food Studios"
4,7775399,3,Add cut waffle fries to the ice water as they are done.Dotdash Meredith Food Studios
5,7775399,4,"In a large heavy saucepan, add 2 inches of oil. Clip a candy/oil thermometer to the side of the pan. Heat oil over medium heat to 310 degrees F (155 degrees C).Dotdash Meredith Food Studios"
6,7775399,5,Drain waffle fries and blot dry with paper towels.Dotdash Meredith Food Studios
7,7775399,6,"Working in batches, fry waffle fries 4 to 5 minutes. They should just cook through at this point, but not brown.Dotdash Meredith Food Studios"
8,7775399,7,Remove from oil with a slotted spoon and place on wire racks.Dotdash Meredith Food Studios
9,7775399,8,Increase oil temperature to 375 degrees F (190 degrees C). Add waffle fries in batches and cook 1 to 2 minutes until golden brown.Dotdash Meredith Food Studios
10,7775399,9,"Drain on paper towels, and sprinkle with salt. Transfer cooked fries to the oven to keep warm while frying remaining waffle fries.Dotdash Meredith Food Studios"
11,7775399,10,Serve with Zippy Fry Sauce.
12,7563822,1,"Preheat grill or grill pan to medium-high (400 to 450 degrees F; 200 to 230 degrees C). Stir together butter, parsley, garlic, and 1/4 teaspoon each of the salt and pepper in a small bowl. Set aside."
13,7563822,2,"For larger pieces of pattypan squash, trim stem ends and cut into quarters or wedges. For smaller squash, cut in half."
14,7563822,3,"Toss together cut squash, olive oil, and remaining 1 teaspoon salt and 1/2 teaspoon pepper. Place pieces of squash on oiled grates, and grill, undisturbed, until they release easily from the grill with distinct grill marks, 3 to 5 minutes. Flip squash, and continue to cook until tender and cooked on each side, about 5 minutes more. Place in a shallow dish for serving."
15,7563822,4,"Top hot grilled squash with garlic butter, and serve immediately.Dotdash Meredith Video Studios"
16,7852451,1,"Prepare an outdoor grill, preferably a charcoal grill, for medium-high heat."
17,7852451,2,"Place potatoes in a microwave-safe dish and cook on high until they are tender with a bite, about 3 minutes."
18,7852451,3,"Divide steak, potatoes, onions, red and green bell pepper, and carrots evenly onto 4 to 6 squares of aluminum foil. Add 1 tablespoon butter and a little fresh garlic to each pack; fold foil over the top to close each packet tightly."
19,7852451,4,Place foil packs on the hot side of the grill. Cook for 5 minutes. Carefully open one foil pack to check for steak doneness.
20,7852451,5,"If steak is not cooked to your taste after 5 minutes, continue to cook, checking for doneness every few minutes. An instant-read thermometer inserted into the center will read 130 degrees F (54 degrees C) for medium rare."
21,7749884,1,"Preheat the oven to 375 degrees F (190 degrees C). Heat butter and olive oil together in a large, oven-proof skillet over medium heat."
22,7749884,2,"When the butter is melted, swirl the skillet to mix butter and oil. Add sliced onions and cook until onion is translucent, about 5 minutes. Add potatoes and herbs. Season with salt and pepper."
23,7749884,3,"Cook, stirring occasionally, until potatoes begin to brown, 8 to 10 minutes. Stir in garlic and heat until garlic is fragrant, about 30 seconds. Turn off the burner and stir in chicken broth or stock. Cover."
24,7749884,4,"Bake in the preheated oven until potatoes are fork tender, about 10 minutes. Remove the lid; continue to bake until most of liquid is evaporated, about 20 minutes more."
25,7749884,5,"Garnish with fresh herb sprigs, if desired, and serve warm."
26,7643113,1,Preheat a smoker to 250 degrees F (120 degrees C) according to manufacturer’s directions. Line a baking sheet with aluminum foil.
27,7643113,2,Place cabbage wedges on prepared baking sheet.
28,7643113,3,"In a small bowl, whisk olive oil, steak seasoning, salt, and pepper until evenly combined. Brush mixture over the cabbage wedges."
29,7643113,4,Place baking sheet on the grate of the preheated smoker and smoke for 1 1/2 hours. Transfer to a serving dish and top with bacon pieces. Serve immediately.
30,6593320,1,"Combine water, ham hock, and pork shank in a large pot. Bring to a boil, reduce heat, and simmer until meat is cooked through, about 2 hours. Drain and set meat aside to cool to room temperature, about 20 minutes."
31,6593320,2,"Remove meat from pork shank, chop into bite-sized pieces, and place in a bowl. Remove skin and meat from ham hock, chop into very small pieces, and add to the bowl, omitting skin if you prefer."
32,6593320,3,"Heat bacon drippings in a large skillet or Dutch oven over medium-high heat until hot, but not smoking. Add 1/4 of the cabbage to the hot skillet and saute until slightly wilted, about 3 minutes. Add 1/4 of the meat mixture. Add another 1/4 of the cabbage, cooking until slightly wilted, about 3 minutes, followed by another 1/4 of the meat mixture. Repeat until all cabbage and meat has been added. Season with salt and pepper. If mixture sticks to the skillet, add 1 to 2 tablespoons chicken broth."
