,id_recipe,Step_Count,Step Description
0,7508367,1,"Add flour and butter to a large bowl, and use your fingertips to rub butter into flour until mixture resembles coarse breadcrumbs with no large lumps of butter remaining."
1,7508367,2,"Add the 1/4 cup Demerara sugar, egg yolks, sour cream, and brandy to flour mixture and combine with a spatula just until the dough comes together. Wrap dough in plastic wrap and chill for at least 2 hours or overnight."
2,7508367,3,"Meanwhile, place apples, raisins, the 1/3 cup Demerara sugar, vanilla sugar, cinnamon, and lemon juice in a saucepan. Bring to a simmer over medium-low heat and simmer until apples are tender, and mixture is slightly thickened, about 10 minutes. Set aside to cool."
3,7508367,4,Preheat the oven to 400 degrees F (200 degrees C). Line a 9x16-inch baking pan with parchment.
4,7508367,5,Divide the chilled dough into two equal pieces. Roll the dough out on a lightly floured surface into 2 9x16-inch rectangles. Place one of the rectangles into the prepared baking pan.
5,7508367,6,"Bake in the preheated oven until a pale crust develops on top, 10 to 15 minutes. Remove from the oven."
6,7508367,7,Carefully brush the semi-baked crust with apricot jam. Evenly distribute filling over the crust. Place the second rectangle of dough on top and prick it all over with a fork.
7,7508367,8,"Bake until crust is lightly browned and filling is hot and bubbly, about 30 minutes."
8,7508367,9,"Remove to a wire rack, and allow to cool slightly, about 10 minutes. Dust the still-warm pie with confectioner’s sugar, cut into squares, and serve warm or at room temperature."
9,6601872,1,Preheat the oven to 300 degrees F (150 degrees C).
10,6601872,2,"Mix flour, pecans, and butter in a bowl. Press dough into a 9x13-inch baking dish to form a crust."
11,6601872,3,"Bake in preheated oven until golden brown, about 30 minutes. Allow crust to cool completely."
12,6601872,4,"Meanwhile, heat blueberries, sugar, cornstarch, and 1 teaspoon lemon juice in a saucepan over medium heat until berries burst and juice thickens, about 10 minutes. Allow blueberry sauce to cool completely."
13,6601872,5,Beat cream cheese until fluffy. Add sweetened condensed milk and blend well. Stir in 1/3 cup lemon juice. Pour cream cheese filling into cooled crust and spread blueberry sauce over cream cheese. Chill in refrigerator for at least 2 hours before serving.
14,6594629,1,"Thoroughly blend graham cracker crumbs, 1/4 cup sugar, and butter. Press firmly in bottom of 9x13 inch pan."
15,6594629,2,"Blend together half the whipped topping, 3/4 cup sugar, and softened cream cheese. Spread mixture on top of crust."
16,6594629,3,Whip together the puddings and milk and spread on top of cream cheese mixture. Top with remaining whipped topping.
17,6603520,1,"Combine flour, butter, and chopped nuts. Press into the bottom of a 9 x 13 x 2 inch pan. Bake at 350 degrees F (175 degrees C) for 25 minutes, or until golden brown."
18,6603520,2,"Combine cream cheese, sugar, and 1 container of whipped topping until well mixed. Spread evenly over the cooled crust."
19,6603520,3,Mix pudding mixes and milk well until thick. Spread evenly over the cream cheese filling. Spread remaining container of whipped topping over the pudding layer. Sprinkle grated chocolate over the top.
20,6603520,4,Refrigerate for 6 to 8 hours before serving.
21,6739162,1,"Preheat the oven to 350 degrees F (175 degrees C.) Combine 1 ½ cups flour, 1 ½ tablespoons sugar, baking powder, and salt in a large bowl. Cut in ½ cup butter until mixture resembles coarse crumbs. Mix egg yolk and water together until blended; add to flour and mix to form a dough. Roll out dough to fit the bottom of a 10x15-inch pan."
