,id_recipe,Step_Count,Step Description
0,7814308,1,"Slice slider rolls in half horizontally. Spread 1 teaspoon mustard on the bottom of each roll, top with a pickle slice, and set aside."
1,7814308,2,"Heat 2 teaspoons olive oil in a large skillet over medium heat. Add sliced onions to skillet, cook for 1 minute and add the bologna wedges. Cook until onions are tender and translucent, and the bologna is browned on each side, stirring and flipping occasionally, about 3 to 4 minutes."
2,7814308,3,Add 2 bologna wedges on top of each bottom bun and top with fried onions. Put tops of slider rolls back onto sliders; serve warm.
3,7503350,1,"Use a large serrated knife to slice the tops of each roll horizontally, taking care not to cut all the way through."
4,7503350,2,Preheat an outdoor grill for medium heat and lightly oil the grate.
5,7503350,3,"Cook hot dogs to desired degree of doneness, 5 to 7 minutes.  Remove from heat and cut hot dogs in thirds (if using the bun length hot dogs) or in half (if using regular size hot dogs)."
6,7503350,4,Place each hot dog in the cut centers of each roll and pull each roll apart to separate each hot dog.  Serve with desired toppings.Dotdash-Meredith
7,7500680,1,Preheat an outdoor grill for high heat and lightly oil the grate.
8,7500680,2,"Place tomatoes, onion and 1 jalapeno on the hot grill and cook, undisturbed, until grill marks form, about 2 minutes. Remove tomatoes and jalapeno and set aside to cool. Flip onion slice and cook for 1 more minutes. Remove from heat to cool slightly. Finely chop tomatoes, and onion. Remove seeds from jalapeno if desired and finely chop. Add chopped veggies to a bowl and stir in cilantro, lime juice, 1/2 teaspoon salt, and garlic powder. Set grilled pico de gallo aside."
9,7500680,3,Reduce grill heat to medium-high.
10,7500680,4,"Combine sour cream, mayonnaise, and 1 tablespoon taco seasoning in a small bowl; mix well and set aside."
11,7500680,5,Combine ground beef and remaining taco seasoning in a bowl and mix well. Form into 2 rectangular patties.
12,7500680,6,Slice whole loaf of rolls in half and place each cut side down on the lightly oiled grill grate. Toast on the hot grill for 1 minute. Remove from heat and set on a cutting board.
13,7500680,7,"Place burger patties on the grill and cook for 4 minutes. Season top side with remaining 1/2 teaspoon salt and flip. Cook until desired degree of doneness, about 3 more minutes. Top each patty with cheese and cook until cheese is melted, 30 seconds more."
14,7500680,8,"Remove from heat and place on bottom half of toasted buns. Top cheese with guacamole, grilled pico de gallo, lettuce, and sliced jalapenoes. Spread desired amount of sour cream sauce on the cut side of the bun tops and reserve any remaining sauce to serve on the side."
15,7500680,9,"Invert the sauced buns on the top of the sliders.  Cut into 12 sliders. Slice the remaining jalapeno thinly. Garnish each slider with an olive, a slice of jalapeno, and a toothpick.Dotdash Meredith"
16,7495217,1,Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.
17,7495217,2,"Cut each pastry sheet into 6 rectangles. Stir together buffalo chicken dip and cheese in a bowl. Place a heaping dollop (about 2 tablespoons) chicken mixture in the center of each pastry square, allowing for all 4 sides of the pastry to be exposed. Set on the prepared baking sheet."
18,7495217,3,"Bake in the preheated oven until sliders are puffed and golden, 10 to 15 minutes."
19,7495217,4,Top each pastry with a drizzle of hot sauce.  Sprinkle each pastry evenly with celery and blue cheese and serve with ranch dressing if desired.Instead of mozzarella cheese you can also use shredded Monterey Jack or Cheddar cheese.
20,7254949,1,Preheat oven to 350 degrees F (175 degrees C).
21,7254949,2,"Holding your knife parallel to the cutting board, halve Hawaiian rolls horizontally. Put roll bottoms in a 2-quart rectangular baking dish."
22,7254949,3,"Spread cut sides of roll bottoms and tops with honey mustard. On roll bottoms, layer deli ham, sliced Swiss cheese, and dill pickle slices. Replace roll tops. Brush roll tops with butter and sprinkle with poppy seeds. Cover baking dish"
23,7254949,4,"Bake, covered, in the preheated oven for 15 minutes. Remove cover and continue baking uncovered until filling is hot and roll tops are lightly browned, 10 to 15 minutes more."
24,7254949,5,Remove from oven and let cool for 5 minutes.
25,7254949,6,Cut into individual sliders. Attach 1 cornichon on top of each slider with a toothpick.
26,7107032,1,Preheat the oven to 350 degrees F (175 degrees C).
27,7107032,2,Combine meatballs and barbecue sauce in a small sauce pan and bring to a simmer over medium heat. Reduce heat to medium-low and simmer 10 minutes or until the meatballs are heated through.
28,7107032,3,"Slice rolls in half lengthwise, leaving the rolls connected to one another. Brush some butter to make a light coating on the bottom of a 9x13 baking dish and place the bottom half of the rolls in the dish, with the cut side facing up. Set remaining butter aside. Spoon out some of the bbq sauce from the sauce pan and spread lightly over the bread."
29,7107032,4,Combine Cheddar cheese and Monterey Jack cheese in a bowl and sprinkle 1/2 of cheese mixture over the sauce. Top with pickles and sprinkle evenly with onion strips.
30,7107032,5,"Use a 1-inch cookie cutter, or a small knife, to cut a small 1 inch hole into the tops of each roll. Place top half of rolls over the onion strips. Stir garlic powder into remaining melted butter and brush the mixture over the rolls, allowing any excess to drip into the cut out spaces. Spoon one meatball and about 1 teaspoon of sauce into the holes on each roll. Sprinkle with remaining cheese."
31,7107032,6,"Cover with foil and bake in the preheated oven until cheese is melted throughout, uncovering halfway through, for about 20 minutes. Sprinkle with green onions."
32,7092656,1,"Preheat the oven to 375 degrees F (190 degrees C). Line a rimmed baking sheet with parchment, and place a cooling rack on baking sheet. Spray rack with cooking spray."
33,7092656,2,"Stir together mozzarella, Italian cheese blend, basil, pepper, and 1 1/2 teaspoons of the Italian seasoning in a small bowl until combined. Set aside.Dotdash Meredith Food Studios"
34,7092656,3,Stir together pizza sauce and pesto in another small bowl. Set aside.Dotdash Meredith Food Studios
35,7092656,4,"Without separating the individual rolls, cut the entire slab of rolls in half horizontally using a serrated knife. Place bottom layer of rolls on the prepared baking sheet. Set top layer of rolls aside."
36,7092656,5,Sprinkle bottom layer of rolls evenly with half of the cheese mixture; top evenly with half of pepperoni and half of the sauce. Repeat layers once.Dotdash Meredith Food Studios
37,7092656,6,"Bake in the preheated oven until cheese melts, about 15 minutes.Dotdash Meredith Food Studios"
38,7092656,7,"Meanwhile, combine butter, Parmesan, garlic powder, and remaining 1/2 teaspoon Italian seasoning in a small saucepan; cook over medium, stirring occasionally, until butter melts, 1 to 2 minutes. Set aside."
39,7092656,8,"Remove rolls from oven, and add top layer of rolls; brush top of rolls evenly with butter mixture. Return to preheated oven, and bake until rolls are golden brown and crisp, about 5 minutes.Dotdash Meredith Food Studios"
40,7092656,9,"Separate the rolls, and serve immediately.DOTDASH MEREDITH FOOD STUDIOS"
41,6663713,1,Gather all ingredients.Dotdash Meredith Food Stuidos
42,6663713,2,Preheat the oven to 350 degrees F (175 degrees C). Grease a 9x13-inch baking dish.
43,6663713,3,"Mix butter, Dijon mustard, Worcestershire sauce, poppy seeds, and dried onion in a bowl.Dotdash Meredith Food Stuidos"
44,6663713,4,Separate the tops from the bottoms of the rolls; arrange the bottom pieces in a layer in the prepared baking dish. Layer about 1/2 of the ham onto the rolls; add a layer of Swiss cheese and top with remaining ham slices.Dotdash Meredith Food Stuidos
45,6663713,5,Place the tops of the rolls onto the sandwiches. Pour mustard mixture evenly over the rollsDotdash Meredith Food Stuidos
46,6663713,6,"Bake in the preheated oven until the rolls are lightly browned and the cheese has melted, about 20 minutes. Slice into individual rolls through the ham and cheese layers to serve.Dotdash Meredith Food Stuidos"
47,7560812,1,Preheat the oven to 350 degrees F (165 degrees C). Line a baking sheet with parchment paper.
48,7560812,2,"Using a serrated knife, slice slider buns in half horizontally, and set tops aside."
