,id_recipe,Step_Count,Step Description
0,7568539,1,"Pat chicken thighs dry with paper towels, trim away any excess skin and fat, and season both sides with salt and pepper, to taste."
1,7568539,2,"Heat olive oil in a large skillet over medium heat. Cook chicken thighs in the hot skillet, skin side down, until browned, 5 to 7 minutes. Remove from the skillet and keep warm."
2,7568539,3,"Peel carrots and cut into 3-inch-long pieces, about 1/2-inch thick, Scrub red potatoes and cut larger potatoes in half. Place carrot pieces, potato pieces, chopped onion, chopped celery, Herbes de Provence, and garlic in a slow cooker. Season with salt and pepper to taste, and stir to distribute vegetables and seasonings evenly."
3,7568539,4,"Place browned chicken thighs on top, skin side up. Cover and cook on Low until chicken is no longer pink at the center and juices run clear, and vegetables are tender, 5 to 6 hours. An instant read thermometer inserted near the center of chicken should read 165 degrees F (74 degrees C) Do not open the lid during the cooking time (see Cook's Note)."
4,7568539,5,"Remove chicken and vegetables to a serving platter, garnish with fresh parsley, if using, and serve warm.Additional liquid is not necessary. The vegetables and chicken will release moisture through the cooking process, which will be retained in the cooker if the lid is kept closed."
5,7501402,1,Stir Italian dressing and Parmesan cheese together in a bowl.
6,7501402,2,"Place chicken in a slow cooker, and pour dressing mixture over chicken. Cover and cook on Low until chicken is tender, no longer pink in the center, and the juices run clear, about 8 hours."
7,6665017,1,"Spray the interior of the slow cooker with cooking spray, or use a plastic liner."
8,6665017,2,"Place chicken thighs in the bottom of the slow cooker and sprinkle with Italian seasoning, red pepper flakes, salt, and black pepper."
9,6665017,3,Evenly layer sun-dried tomatoes and sliced olives over the seasoned chicken.
10,6665017,4,"Heat olive oil in a saucepan over medium heat. Add onion to the hot oil and cook until onions begin to get tender, 3 to 4 minutes. Add garlic and cook until fragrant, about 1 minute."
11,6665017,5,"Using a slotted spoon, transfer onions to the slow cooker and spread evenly over the sun-dried tomatoes."
12,6665017,6,"Return the skillet to medium heat and add cream, stirring until all the olive oil is incorporated and the sauce begins to bubble. Pour cream sauce evenly over the onions."
13,6665017,7,Cover slow cooker and cook on High for 3 to 4 hours or Low for 6 to 7 hours if you prefer a longer cook time.
14,6665017,8,"Remove cooked chicken and vegetables to a serving platter. Add torn spinach to the sauce and cook until wilted, 3 to 5 minutes. Remove spinach from sauce with a slotted spoon and place on top of the chicken and vegetables."
15,6665017,9,"The sauce will be a bit thin. If you like a thicker sauce, pour into a small saucepan over medium heat. Combine 2 tablespoons cornstarch and 2 tablespoons water in a small bowl. Stir until all the lumps are gone, to create a slurry. Add slurry to the sauce and cook over medium-high heat, stirring constantly, until bubbly and thickened, 5 to 7 minutes."
16,6665017,10,Spoon sauce and spinach over the dish and serve warm.
17,6568739,1,"Place potatoes, carrots, onion, and garlic into a slow cooker."
18,6568739,2,"Heat olive oil in a skillet over medium heat. Add beef; cook and stir until evenly browned, about 10 minutes. Transfer beef to the slow cooker with vegetables."
19,6568739,3,"Pour 1/4 cup beer into the same skillet and bring to a boil while scraping the browned bits of beef off of the bottom of the skillet with a wooden spoon. Stir in tomato paste; cook until thickened, about 5 minutes. Pour mixture into the slow cooker."
20,6568739,4,"Pour remaining beer, beef broth, garlic powder, onion powder, paprika, salt, and pepper into the slow cooker."
21,6568739,5,"Cook on Low until potatoes and carrots are easily pierced with a fork, about 8 hours, or on High for 3 to 4 hours."
22,6666175,1,"Pat beef dry with paper towels, trim, and cut into 1 1/2- to 2-inch pieces. Place in a bowl with 2 tablespoons cornstarch, salt, and pepper; toss to coat beef evenly."
23,6666175,2,"Heat oil in a large nonstick skillet over medium-high heat. Add half of the beef and cook, turning often, until beef is browned on all sides, about 6 minutes (do not overcrowd the skillet to ensure browning). Repeat process with remaining beef, using any residual oil in the skillet. (Do not wipe skillet clean.) Place browned beef in an ungreased 6-quart slow cooker."
24,6666175,3,"Once all beef has been browned, lower heat to medium and add curry paste, stirring to release any browned bits from the skillet. Add beef broth and coconut cream to skillet, stirring to combine ingredients. Pour mixture over beef in slow cooker. Add potatoes to slow cooker; cover and cook on HIGH for 4 hours, or LOW for 6 hours, or until beef is very tender when pierced with a fork."
