,id_recipe,Step_Count,Step Description
0,6663365,1,Preheat the oven to 400 degrees F (200 degrees C).
1,6663365,2,"Make cookies: Beat sugar, butter, shortening, eggs, and vanilla in a large bowl until smooth and creamy."
2,6663365,3,"Whisk flour, cream of tartar, baking soda, and salt together in a separate bowl. Gradually mix dry ingredients mixture into the wet ingredients just until combined. Shape dough into walnut-sized balls."
3,6663365,4,Make cinnamon-sugar: Combine sugar and cinnamon in a small bowl or zip-top plastic bag.
4,6663365,5,Place dough balls in cinnamon-sugar and roll or shake until coated. Place 2 inches apart on ungreased baking sheets.
5,6663365,6,"Bake in the preheated oven until set but not too hard, 8 to 10 minutes, switching racks halfway through."
6,6663365,7,Remove from the oven and immediately transfer to wire racks to cool.Danielle K
7,6648644,1,Preheat the oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper or lightly grease.
8,6648644,2,"Make cookies: Beat together white sugar, butter, and eggs in a large bowl using an electric mixer until smooth and creamy. Combine flour, cream of tartar, baking soda, and salt in a separate bowl; stir into creamed butter mixture until dough holds together."
9,6648644,3,Mix together white sugar and cinnamon in a small bowl until well combined.
10,6648644,4,"Form dough into balls (about 2 teaspoons in each ball), then roll in cinnamon-sugar coating. Place dough balls about 2 inches apart onto the prepared baking sheet."
11,6648644,5,Bake in the preheated oven on the center rack for 7 minutes. Allow cookies to cool on the baking sheet for 5 minutes before transferring to a wire rack to cool completely.
12,6569977,1,Preheat oven to 400 degrees F (205 degrees C).
13,6569977,2,"Combine 1 1/2 cups white sugar, butter or margarine, vanilla and eggs. Mix well."
14,6569977,3,"Stir in flour, cream of tartar, baking soda and salt. Blend well. Shape dough into 1 inch balls. Combine 2 tablespoons sugar and 2 teaspoons ground cinnamon. Roll dough in sugar/cinnamon mixture and place 2 inches apart on ungreased baking sheets. Bake 8 to 10 minutes or until set. Immediately remove from cookie sheets."
15,7255290,1,Preheat the oven to 350 degrees F (175 degrees C). Line an 8x8-inch square pan with enough parchment paper to have overhang on all sides.
16,7255290,2,"Whisk flour, cream of tartar, baking soda, salt, 1/4 teaspoon cinnamon, and nutmeg together in a bowl."
17,7255290,3,"Beat butter, 1/2 cup white sugar, and brown sugar in a large bowl with an electric mixer until light and fluffy. Beat in banana and vanilla extract on low speed until thoroughly combined; mix in flour mixture just until dough comes together. Using lightly floured hands, press dough firmly and evenly into the bottom of the prepared pan."
18,7255290,4,Whisk together the 1 tablespoon white sugar and 1/2 teaspoon cinnamon; sprinkle cinnamon sugar evenly over the dough.
19,7255290,5,"Bake in the preheated oven just until the dough in the center of the pan feels set when lightly touched with a finger, about 25 minutes."
20,7255290,6,Let bars cool in the pan for 10 minutes before removing to a wire rack to cool completely. Cut into 16 bars.
21,7108668,1,Preheat the oven to 350 degrees F (175 degrees C). Line an 8x8-inch square pan with enough parchment paper to have overhang on all sides.
22,7108668,2,"Cream together butter, 1/2 cup white sugar, and brown sugar in a bowl with an electric mixer until light and fluffy. Mix in egg and vanilla until thoroughly combined. Add in flour, cream of tartar, baking soda, salt, 1/4 teaspoon cinnamon, and nutmeg, and mix until a dough just begins to form."
23,7108668,3,"Place dough into prepared pan. Using lightly floured hands, press dough firmly and evenly into the bottom of the pan."
24,7108668,4,"In a small bowl, mix together 1 tablespoon white sugar and 1/2 teaspoon cinnamon. Sprinkle evenly over the dough."
25,7108668,5,"Place pan into the preheated oven, and bake just until the dough in the center of the pan feels barely set, 20 to 23 minutes. Do not over bake."
26,7108668,6,Allow cookies to cool in pan for 10 minutes before removing to a wire rack to cool completely. Cut into 16 bars.
27,6599779,1,Preheat the oven to 350 degrees F (180 degrees C). Line 2 baking sheets with parchment paper.
28,6599779,2,"Combine flour, baking powder, salt, and baking soda in a bowl."
29,6599779,3,"Whisk butter and 3/4 cup sugar with an electric mixer in a separate bowl until soft and creamy, about 2 minutes. Add egg; whisk until well combined. Add flour mixture gradually; whisk on low speed until a soft dough is formed, about 2 minutes. Shape dough into 1 1/2-inch balls."
30,6599779,4,Combine remaining 1/4 cup sugar with cinnamon in a bowl. Roll balls in cinnamon mixture and place on the prepared baking sheets.
31,6599779,5,"Bake in the preheated oven until edges are golden, 12 to 15 minutes. Cool on the baking sheet for 1 minute before removing to a wire rack to cool completely."
32,6649539,1,Preheat oven to 375 degrees F (190 degrees C).
