,id_recipe,Step_Count,Step Description
0,7255780,1,Preheat the oven to 350 degrees F (175 degrees C) with rack in lower third position. Lightly grease an 8-inch springform pan with cooking spray and line with parchment on the bottom.
1,7255780,2,"Process cookies in a food processor until ground into small crumbs, 2 to 3 minutes. Pour in melted butter and process for another 30 seconds.Dotdash Meredith Food Studios"
2,7255780,3,Press evenly into bottom and about 1 inch up sides of prepared pan.Dotdash Meredith Food Studios
3,7255780,4,"Bake in the preheated oven until firm and fragrant, 10 to 12 minutes. Let cool slightly while making the filling, about 10 minutes."
4,7255780,5,Reduce oven temperature to 300 degrees F (150 degrees C).
5,7255780,6,"Once crust is cooled, wrap bottom of pan with 2 layers of heavy-duty aluminum foil to prevent water from seeping into pan.Dotdash Meredith Food Studios"
6,7255780,7,"To make the cheesecake filling: Add cream cheese to the bowl of a stand mixer fitted with the paddle attachment and beat on medium-low speed until creamy, about 2 minutes. Add sour cream, and beat on medium-low speed until fully combined, scraping down sides of bowl halfway through, about 2 minutes.Dotdash Meredith Food Studios"
7,7255780,8,"Beat in sugar, espresso powder, vanilla, and salt, until combined, scraping down the sides of the bowl halfway through, about 1 minute. Add eggs, 1 at a time, beating on low speed just until combined after each addition and scraping down sides of bowl with a rubber spatula, 1 to 2 minutes.Dotdash Meredith Food Studios"
8,7255780,9,"Add Baileys and beat on low speed until just combined, about 45 seconds."
9,7255780,10,"Pour filling onto cooled crust. Place springform pan into a larger roasting pan and place in preheated oven. Pour 1 1/2 cups of water in roasting pan and bake until the cheesecake is almost set (the center 2 inches should jiggle slightly) and edges have pulled away slightly from pan, 50 to 60 minutes.Dotdash Meredith Food Studios"
10,7255780,11,Turn off oven and leave door cracked open about 7 to 8 inches; let cheesecake stand in oven 30 minutes. Remove from oven and carefully lift cheesecake from water bath. Cover and chill at least 3 hours or overnight.Dotdash Meredith Food Studios
11,7255780,12,"To make the ganache: Heat cream and Baileys in a small saucepan over medium heat until warm to the touch, 3 to 4 minutes. Stir in espresso powder until fully combined. Add chocolate chips and let stand 1 minute; stir until smooth.Dotdash Meredith Food Studios"
12,7255780,13,"Remove cheesecake from pan and place on a cake plate. Pour ganache evenly over chilled cheesecake, spreading slightly over edges with an offset spatula. Refrigerate until ganache is firm, about 30 minutes.Dotdash Meredith Food Studios"
13,7101371,1,Line a 9x13-inch pan with parchment paper and coat with nonstick cooking spray.
14,7101371,2,Melt butter in a large saucepan over low heat. Add marshmallows and stir until completely melted. Remove from heat and mix in a few drops of green food coloring (to your desired color).
15,7101371,3,Place the cereal in a large bowl. Add marshmallow mixture and stir until the cereal is well coated.
16,7101371,4,Evenly and gently press the cereal mixture into the prepared pan with a greased spatula. Set aside to cool.
17,7101371,5,"Once cooled, remove the treats (with the parchment paper) from the pan and place on top of a cutting board. Cut the cereal treats into shamrock shapes using a shamrock cookie cutter."
18,6598884,1,Preheat the oven to 300 degrees F (150 degrees C).
19,6598884,2,"Place corned beef brisket in the center of a roasting pan. Arrange potatoes and carrots around the sides, then scatter onion and garlic over top. Sprinkle seasoning packet over beef, then pour in water until potatoes are almost covered. Cover with a lid or heavy aluminum foil."
20,6598884,3,"Roast in the preheated oven until corned beef is so tender it can be flaked apart with a fork, about 5 to 6 hours."
21,6568739,1,"Place potatoes, carrots, onion, and garlic into a slow cooker."
22,6568739,2,"Heat olive oil in a skillet over medium heat. Add beef; cook and stir until evenly browned, about 10 minutes. Transfer beef to the slow cooker with vegetables."
23,6568739,3,"Pour 1/4 cup beer into the same skillet and bring to a boil while scraping the browned bits of beef off of the bottom of the skillet with a wooden spoon. Stir in tomato paste; cook until thickened, about 5 minutes. Pour mixture into the slow cooker."
24,6568739,4,"Pour remaining beer, beef broth, garlic powder, onion powder, paprika, salt, and pepper into the slow cooker."
25,6568739,5,"Cook on Low until potatoes and carrots are easily pierced with a fork, about 8 hours, or on High for 3 to 4 hours."
26,6572584,1,Place brisket fat-side up on a rack inside an electric pressure cooker. Sprinkle garlic powder and onion powder over brisket; pour beer into the pot.
27,6572584,2,"Close and lock the lid. Select ""Meat"" setting according to manufacturer's instructions; set timer for 1 hour 30 minutes. Allow 10 to 15 minutes for pressure to build."
28,6572584,3,"Release pressure using the natural-release method according to manufacturer's instructions, 10 to 40 minutes. Unlock and remove the lid."
29,6572584,4,Transfer brisket to a cutting board; remove the top layer of fat and slice across the grain using an electric knife.
30,6602820,1,Preheat oven to 375 degrees F (190 degrees C).
31,6602820,2,"In a large bowl, mix together flour, 1/2 cup oats, salt, baking powder, and baking soda."
