,id_recipe,Step_Count,Step Description
0,7968859,1,"Add andouille to a dry soup pot and place over medium heat. Cook, stirring, until sausage begins to brown, a few minutes."
1,7968859,2,"Add all the olive oil, unless a lot of fat was rendered from the sausage, in which case adjust the amount of oil added."
2,7968859,3,"Add onion, green pepper, celery, and 1/4 teaspoon salt. Cook, stirring, until onions turn translucent, about 5 minutes."
3,7968859,4,"Add paprika, cumin, black pepper, thyme, oregano, and bay leaf. Cook, stirring, for 2 minutes more."
4,7968859,5,"Stir in broth, raise heat to high, and bring to a simmer. Reduce heat to medium low and stir in chicken, ham, and sliced okra.For nice tender lentils, do not use a salted broth, or add any additional salt. This can prevent the lentils from getting tender. Once lentils have softened up near the end of the cooking time, more salt can be added to taste."
5,7968859,6,"Cook for 10 minutes, then stir in lentils. Simmer soup, stirring occasionally, until lentils are tender, about 1 hour."
6,7968859,7,"Stir in Worcestershire sauce, hot sauce, parsley, and green onions, and cook for another few minutes. Season to taste with salt. Serve with rice, more green onions, and a shake of cayenne.Chef John"
7,6568739,1,"Place potatoes, carrots, onion, and garlic into a slow cooker."
8,6568739,2,"Heat olive oil in a skillet over medium heat. Add beef; cook and stir until evenly browned, about 10 minutes. Transfer beef to the slow cooker with vegetables."
9,6568739,3,"Pour 1/4 cup beer into the same skillet and bring to a boil while scraping the browned bits of beef off of the bottom of the skillet with a wooden spoon. Stir in tomato paste; cook until thickened, about 5 minutes. Pour mixture into the slow cooker."
10,6568739,4,"Pour remaining beer, beef broth, garlic powder, onion powder, paprika, salt, and pepper into the slow cooker."
11,6568739,5,"Cook on Low until potatoes and carrots are easily pierced with a fork, about 8 hours, or on High for 3 to 4 hours."
12,6664604,1,Gather ingredients.
13,6664604,2,Place meat in slow cooker.
14,6664604,3,"Mix flour, salt, and pepper together in a small bowl. Pour over meat, and stir until meat is coated."
15,6664604,4,"Add beef broth, carrots, potatoes, onion, celery, Worcestershire sauce, paprika, garlic, and bay leave; stir to combine."
16,6664604,5,"Cover, and cook until beef is tender enough to cut with a spoon, on Low for 8 to 12 hours, or on High for 4 to 6 hours."
17,6664604,6,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
18,6664679,1,Gather all ingredients.Dotdash Meredith Food Studios
19,6664679,2,"Make the roux: Whisk together flour and 3/4 cup bacon drippings in a large, heavy saucepan over medium-low heat until smooth. Cook roux, whisking constantly, until it turns a rich mahogany brown color. This can take 20 to 30 minutes; watch heat carefully and whisk constantly or roux will burn. Remove from heat; continue whisking until mixture stops cooking.Dotdash Meredith Food Studios"
20,6664679,3,"Make the gumbo: Place celery, onion, green bell pepper, and garlic into the work bowl of a food processor, and pulse until all vegetables are very finely chopped."
21,6664679,4,"Stir vegetables into the roux, and mix in sausage. Bring mixture to a simmer over medium-low heat, and cook until vegetables are tender, 10 to 15 minutes. Remove from heat and set aside.Dotdash Meredith Food Studios"
22,6664679,5,"Combine water and beef bouillon cubes in a large Dutch oven or soup pot and bring to a boil over medium-high heat. Stir until bouillon cubes dissolve, then whisk roux mixture into the boiling water."
23,6664679,6,"Reduce heat to a simmer and mix in sugar, salt, hot pepper sauce, Cajun seasoning, bay leaves, thyme, stewed tomatoes, and tomato sauce. Simmer soup over low heat for 1 hour; mix in 2 teaspoons of file gumbo powder at the 45-minute mark."
24,6664679,7,"Meanwhile, melt 2 tablespoons bacon drippings in a skillet over medium heat. Add okra and vinegar and cook for 15 minutes; remove okra with a slotted spoon, and stir into the simmering gumbo."
25,6664679,8,"Mix in crabmeat, shrimp, and Worcestershire sauce, and simmer until flavors have blended, 45 more minutes. Stir in 2 more teaspoons of file gumbo powder just before serving.Dotdash Meredith Food Studios"
26,6664679,9,Serve hot and enjoy!DOTDASH MEREDITH FOOD STUDIOS
27,6664392,1,Gather all ingredients.Dotdash Meredith Food Studios
28,6664392,2,"Heat 1 tablespoon of peanut oil in a large heavy Dutch oven over medium heat. Season the sausage and chicken pieces with Cajun seasoning. Sauté sausage until browned. Remove with slotted spoon, and set aside.Dotdash Meredith Food Studios"
29,6664392,3,"Add 1 tablespoon peanut oil, and sauté chicken pieces until lightly browned on all sides. Remove with a slotted spoon, and set aside.Dotdash Meredith Food Studios"
30,6664392,4,"In the same pot, saute onion, bell pepper, celery, and garlic until tender.Dotdash Meredith Food Studios"
31,6664392,5,"Stir in crushed tomatoes, and season with red pepper, black pepper, salt, hot pepper sauce, Worcestershire sauce, and filé powder.Dotdash Meredith Food Studios"
