,id_recipe,Step_Count,Step Description
0,6585950,1,"Heat oil in a deep, 10-inch skillet over medium-low heat. Cook the onion in the oil until translucent. Crumble the tempeh into the skillet; cook and stir until golden brown. Add the green pepper and garlic; cook another 2 to 3 minutes."
1,6585950,2,"Stir in the tomato sauce, Worcestershire sauce, honey, molasses, cayenne pepper, celery seed, cumin, salt, coriander, thyme, oregano, paprika, and black pepper; stir. Simmer another 10 to 15 minutes. Spoon hot onto hamburger buns to serve."
2,6736826,1,Preheat oven to 350 degrees (175 degrees C). Lightly oil a 9x13 inch baking dish.
3,6736826,2,"In a medium bowl, combine the beans, garlic, onion, chile peppers, jalapeno pepper, and tempeh. Pour enchilada sauce into a shallow bowl."
4,6736826,3,"Dip three tortillas in the enchilada sauce, and place them in the prepared baking dish. Be sure to cover the bottom of the dish as completely as possible. Place 1/2 of the bean mixture on top of the tortillas, and repeat. Drizzle the remaining sauce over the casserole, and sprinkle with olives and shredded cheese."
5,6736826,4,"Cover, and bake for 30 minutes. Uncover, and continue baking for an additional 15 minutes, or until the casserole is bubbling and the cheese is melted."
6,6595591,1,"Combine vegetable broth, soy sauce, lemon juice, oregano, thyme, 1 1/2 teaspoons garlic, Himalayan salt, and dash of pepper in a large bowl."
7,6595591,2,Bring a saucepan of water to a boil. Cut tempeh in half and add to the boiling water. Boil for 10 minutes to remove any bitter taste. Transfer tempeh to a cutting board and allow to cool slightly.
8,6595591,3,"Cut tempeh into 1/4-inch slices and place them in the vegetable broth marinade. Cover with plastic wrap and marinate in the refrigerator 8 hours to overnight, stirring occasionally to be sure tempeh is covered with marinade."
9,6595591,4,Preheat oven to 400 degrees F (200 degrees C). Line a baking sheet with parchment paper.
10,6595591,5,Transfer marinated tempeh slices to the prepared baking sheet.
11,6595591,6,"Bake in the preheated oven, turning halfway through, until golden brown and beginning to crisp at the edges, 30 to 35 minutes."
12,6595591,7,"Place pitas in the hot oven until warmed through, 3 to 5 minutes."
13,6595591,8,"Squeeze excess water from cucumbers using a paper towel. Place tofu, cucumbers, dill, 1 teaspoon garlic, salt, and pepper in a food processor. Blend until tzatziki is well mixed. Adjust seasonings if desired."
14,6595591,9,"Assemble a gyro by placing 1/4 of tempeh slices, tomatoes, and red onions on top of a pita. Cover with tzatziki. Repeat with remaining tempeh, tomatoes, onion, and pita."
15,6578842,1,"Heat oil in skillet on medium-high heat. Cook and stir onion in the hot oil until it begins to soften, about 5 minutes; add garlic and continue to cook until fragrant, 1 to 2 minutes. Stir grated tempeh into onion mixture; cook and stir until lightly browned, about 5 minutes."
16,6578842,2,"Pour vegetable broth over the tempeh mixture and reduce heat to low; season with taco seasoning, oregano, and ground red pepper. Cook, stirring regularly, until most of the liquid has evaporated, about 5 minutes."
17,6581456,1,"Pour the barbeque sauce into a medium bowl. Crumble the tempeh into the sauce, and let it marinate a little, about 10 minutes."
18,6581456,2,"Heat oil in a skillet over medium heat. Add the red and green peppers, and the onion. Cook, stirring frequently until tender. Stir in the tempeh and barbeque sauce, and heat through."
19,6581456,3,"Spoon the tempeh mixture onto kaiser rolls, and serve."
20,6566527,1,"Mix 1/3 cup water, soy sauce, honey, 1 1/2 teaspoons curry powder, garlic, lemon juice, and liquid smoke together in a bowl until marinade is smooth; add tempeh and turn to coat evenly. Marinate tempeh, turning frequently, for 20 minutes."
21,6566527,2,"Combine vegetable broth, 1 tablespoon olive oil, 2 1/2 tablespoons curry powder, and salt in a saucepan with a tight-fitting lid; bring to a boil. Add couscous, cover saucepan, and remove from heat. Let stand for 5 minutes. Fluff couscous with a fork."
22,6566527,3,"Heat 2 tablespoons olive oil in a skillet over medium-high heat; add tempeh and marinade. Cook tempeh until browned on the bottom, about 5 minutes. Turn and brown the other side, about 5 minutes more. Remove tempeh from skillet."
23,6566527,4,"Pour remaining 1 tablespoon olive oil into the same skillet; cook and stir onion until fragrant and brown, about 4 minutes. Add chickpeas and water; cook and stir using a wooden spoon to break up brown bits of food on the skillet, 3 to 4 minutes. Reduce heat to low."
24,6566527,5,"Fold couscous into the onion mixture; add tempeh. Sprinkle mint over couscous; cook and stir until warmed through, 2 to 3 minutes."
25,6563648,1,"Heat olive oil in a saucepan over medium heat. Saute garlic until fragrant, about 30 seconds. Add tempeh, zucchini, red pepper, and carrot. Cook and stir until tender, 5 to 8 minutes. Add milk, sauce mix, and butter. Bring to a boil, stirring constantly. Reduce heat and simmer for 10 minutes."
26,6563648,2,"Meanwhile, bring a large pot of lightly salted water to a boil. Cook spaghetti in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes."
27,6563648,3,"Drain spaghetti and add to the sauce. Mix in pesto. Cook until flavors combine, about 5 minutes. Top with Parmesan cheese and red pepper flakes."
28,6600100,1,"Heat oil in a large skillet over medium heat. Saute tempeh with soy sauce and lime juice until tempeh browns. Stir in bell peppers, mushrooms, spinach, chile peppers, cilantro and dried onion."
29,6600100,2,"Increase heat to medium-high and cook until fluids have reduced, stirring occasionally."
30,6589884,1,Place black beans into a large container and cover with several inches of cool water; let stand 8 hours to overnight. Drain beans and rinse with fresh water.
31,6589884,2,"Heat oil in a large Dutch oven or stockpot over medium heat; cook and stir yellow onion, paprika, and cumin seeds until fragrant, about 3 minutes. Add red bell pepper, green bell pepper, garlic, oregano, and bay leaves; cook and stir until onion is translucent and bell peppers are tender, 6 to 8 minutes."
32,6589884,3,"Mix vegetable stock, black beans, tempeh, rum, and jalapeno pepper into onion mixture. Increase heat to medium-high, bring to a simmer, reduce heat to medium-low, and cook until beans are tender, about 45 minutes."
33,6589884,4,"Pour water into bean mixture; season with 1 1/2 teaspoons salt. Cook, stirring occasionally, until beans begin to fall apart and soup thickens, 30 to 40 minutes; season with salt and pepper. Remove and discard bay leaves from soup."
34,6589884,5,Ladle soup into bowls and garnish with hard-boiled eggs and red onion.
35,6581336,1,"Heat the broth to a light boil over medium-high heat. Add the tempeh to the broth, and simmer for 25 minutes. Drain and let cool to room temperature for 15 minutes. Once cooled, grate tempeh into a large bowl."
36,6581336,2,"In a small bowl, whisk together the soy sauce, lemon juice, garlic, and seaweed flakes. Pour the seaweed mixture in with the grated tempeh and stir until well mixed. Mix in the red onion, celery, and dill pickles. Toss with the mayonnaise. This salad can be served immediately, but is best when chilled for several hours to allow the flavors to blend."
37,6586038,1,Preheat the oven to 350 degrees F (175 degrees C). Line a baking sheet with parchment paper.
38,6586038,2,"Warm Worcestershire sauce, tamari, water, mushroom, black bean paste, shallot, garlic clove, and seaweed in a saucepan over medium heat. Remove from heat and let cool. Drain sauce and discard the solids."
39,6586038,3,"Place tempeh in a bowl and pour 1/3 cup of the sauce on top. Marinate for 20 minutes, turning tempeh over halfway."
40,6586038,4,Remove 1 teaspoon of the tempeh marinade and whisk together with vegan mayo and sriracha in a separate bowl. Refrigerate until needed.
41,6586038,5,Arrange baguette pieces on the prepared baking sheet and drizzle olive oil on top. Toss and arrange bread into a single layer.
42,6586038,6,"Bake in the preheated oven for 15 minutes. Turn bread and cook until browned, about 8 minutes more. Transfer to a bowl."
43,6586038,7,"Place the tempeh on the baking sheet; reserve the liquid. Bake for 10 minutes, basting with some of the reserved marinade halfway through. Flip tempeh; bake, basting again, for 10 minutes more."
44,6586038,8,"Cut tempeh into cubes. Arrange the bread, tempeh, jalapeno slices, pickled daikon, carrot, cucumber, and cilantro into serving bowls. Top with sriracha mayo."
45,6591172,1,"Place tempeh in a large bowl and cover with Buffalo sauce. Set aside to marinate, 10 to 20 minutes."
