,id_recipe,Step_Count,Step Description
0,7489045,1,"For taco seasoning, stir paprika, garlic powder, cumin, onion powder, chili powder, oregano, and salt together in a small bowl; set aside."
1,7489045,2,"Heat oil in a large skillet over medium-high heat; cook and stir ground beef in the hot skillet until browned and crumbly, 5 to 7 minutes. Stir in onion and green pepper; cook and stir with oil and juices from browned meat until much of the liquid has evaporated, about 2 minutes more."
2,7489045,3,Stir 1/2 can diced tomatoes with chilies and Mexican-style corn into skillet. Season beef mixture to taste with prepared taco seasoning mix.
3,7489045,4,"Stir together the remaining 1/2 can diced tomatoes with chilies and refried beans in a microwave-safe bowl. Microwave on High until heated through, stirring every 30 seconds, 1 to 3 minutes."
4,7489045,5,"To assemble nachos, lay half of tortilla chips in a single layer on a microwave-safe plate, then drop teaspoons of refried beans onto chips, followed by meat mixture and shredded cheese. Repeat with remaining chips, beans, meat, and cheese to make a second layer."
5,7489045,6,"Microwave on High until cheese is melted and nachos are warm, 2 to 3 minutes. Top with sour cream, salsa, olives, jalapenos, and green onion as desired."
6,6650598,1,Place chicken breasts in a multi-functional cooker (such as Instant Pot). Sprinkle all sides with taco seasoning. Pour salsa and chicken broth on top.
7,6650598,2,Close and lock the lid. Select Poultry setting; set the timer for 15 minutes. Allow 10 to 15 minutes for pressure to build.
8,6650598,3,"Release pressure using the natural-release method according to manufacturer's instructions, about 20 minutes. Unlock and remove the lid."
9,6650598,4,Shred chicken and serve as desired.
10,6574623,1,Preheat the oven to 350 degrees F (175 degrees C).
11,6574623,2,"Sprinkle 1/4 cup Cheddar cheese into pastry shell. Mix together chicken, spinach, remaining 3/4 cup Cheddar cheese, and onion in a medium bowl; transfer mixture to pastry shell."
12,6574623,3,"Whisk together eggs, half-and-half, mayonnaise, salt, black pepper, seasoning blend, and herbes de Provence in a second medium bowl until well combined; pour over chicken mixture."
13,6574623,4,"Bake in the preheated oven until a knife inserted into the center comes out clean, 35 to 40 minutes. Let stand for 15 minutes before slicing and serving."
14,6580870,1,"Spread refried beans in the bottom of a 1-quart shallow glass serving dish. Sprinkle taco seasoning over beans; top with a layer of diced tomatoes, a layer of sour cream, and a layer of guacamole. Sprinkle Cheddar cheese evenly over dip; top with green onions and black olives."
15,6580870,2,Cover and refrigerate for 2 hours or until ready to serve.
16,6602156,1,"In a large serving dish, spread the refried beans. Layer the guacamole on top of the beans."
17,6602156,2,"In a medium bowl, mix the mayonnaise, sour cream and taco seasoning mix. Spread over the layer of guacamole."
18,6602156,3,"Sprinkle a layer of Cheddar cheese over the mayonnaise mixture layer. Sprinkle tomato, green onions and black olives over the cheese."
19,6586592,1,"Heat 1 tablespoon olive oil in a saucepan over medium-high heat. Cook pork chops until no longer pink in the center, about 4 minutes per side. Cool until easily handled, about 5 minutes. Cut the pork into bite-sized cubes."
20,6586592,2,"Heat remaining 1 tablespoon olive oil in the saucepan. Add cubed pork, calabaza squash, corn, onion, tomatoes, and garlic and cook until onion is transparent, about 5 minutes. Stir in tomato sauce, cumin, salt, pepper, and garlic powder. Pour in chicken stock and simmer, covered, until flavors are combined, about 2 hours. Stir occasionally and check periodically to see if more chicken stock is needed."
21,6587830,1,Preheat the oven to 350 degrees F (175 degrees C). Spray an 11x7-inch baking dish with cooking spray.
22,6587830,2,"Heat a large nonstick skillet over medium-high heat. Cook and stir ground beef in the hot skillet until browned and crumbly, 5 to 7 minutes. Stir in 1 1/2 teaspoons chili powder, 1 teaspoon onion powder, 1 teaspoon garlic powder, cumin, coriander, salt, and pepper until spiced are distributed evenly. Cook until fragrant, 4 to 5 minutes. Remove from heat."
23,6587830,3,Whisk together eggs and cream in a bowl; add to meat mixture. Spread mixture into the prepared baking dish and pat down evenly.
24,6587830,4,"Wipe the skillet clean, add olive oil, and heat over medium heat. Add onion and cook until soft and translucent, about 2 minutes. Add remaining 1 teaspoon each chili powder, garlic powder, and onion powder. Season with salt and pepper. Stir in tomato paste and cook, stirring often, 2 to 3 minutes. Add cauliflower rice and continue cooking for 4 to 5 minutes. Remove from heat, stir in 1 cup Cheddar cheese, and spread on top of meat in the baking dish, smoothing with a spatula to flatten the top."
25,6587830,5,"Bake in the preheated oven for 25 to 30 minutes. Sprinkle remaining 1/2 cup Cheddar over the top and bake until cheese has melted, about 5 minutes. Remove from oven and allow to cool about 5 minutes. Serve warm."
26,6592484,1,"Heat olive oil in a large saucepan over medium heat. Add minced onions and cook until onions begin to soften, about 4 minutes. Add garlic, chili powder, cumin and oregano and cook, stirring, for 1 minute."
27,6592484,2,"Stir in water, tomato soup, diced tomatoes, salsa, shredded turkey, parsley and bouillon cubes. Bring to a boil, then reduce heat, and simmer 5 minutes or until bouillon cubes dissolve. Add black beans, corn, sour cream and cilantro. Simmer for 20 to 30 minutes."
28,6592484,3,"Serve soup with crushed tortilla chips, chopped green onion, shredded cheese and additional cilantro and sour cream."
29,6584574,1,Preheat oven to 325 degrees F (160 degrees C).
30,6584574,2,"In a large, heavy skillet over medium-high heat, brown ground beef, and drain fat. Mix in dry taco seasoning."
31,6584574,3,"Spoon browned meat into a 9x13 inch glass baking dish. Spoon a layer of refried beans over meat, then salsa. Top with shredded cheese."
32,6584574,4,Bake about 20 to 25 minutes in the preheated oven.
33,6600314,1,Preheat the oven to 350 degrees F (175 degrees C). Spray a 9x13-inch baking dish with cooking spray.
34,6600314,2,"Heat olive oil in a large skillet over medium heat. Add onion, jalapenos, bell pepper, and garlic; cook and stir until onion is translucent, 5 to 7 minutes. Reduce heat to medium-low and add salsa, black beans, corn, chili powder, and cumin. Bring to a simmer; let simmer for 5 minutes."
35,6600314,3,"Combine 2 cups pepper Jack cheese, ricotta cheese, spinach, egg, salt, and pepper in a bowl."
36,6600314,4,"Place 6 corn tortillas in the bottom of the prepared baking dish. Add 1/2 of the vegetable mixture using a slotted spoon, followed by 1/2 of the cheese and spinach mixture. Add a layer of 6 tortillas and follow with remaining vegetables and remaining cheese mixture. Top with remaining tortillas. Spread enchilada sauce across the top and remaining pepper Jack cheese."
37,6600314,5,"Bake in the preheated oven until cheese is melted and bubbly, 45 minutes to 1 hour."
