,id_recipe,Step_Count,Step Description
0,6648668,1,Whisk together egg yolks and sugar in a medium saucepan until well blended.
1,6648668,2,"Whisk in milk and cook over medium heat, stirring constantly, until mixture comes to a boil.Dotdash Meredith Food Studios"
2,6648668,3,"Boil gently for 1 minute, then remove from the heat and allow to cool slightly."
3,6648668,4,Cover tightly and chill in the refrigerator for 1 hour.
4,6648668,5,Beat cream and vanilla in a medium bowl with an electric mixer until stiff peaks form.Dotdash Meredith Food Studios
5,6648668,6,Remove egg yolk mixture from the refrigerator; add mascarpone cheese and whisk until smooth.
6,6648668,7,Combine coffee and rum in a small bowl. Split ladyfingers in half lengthwise and drizzle with the coffee mixture. Arrange 1/2 of the soaked ladyfingers in the bottom of a 7x11-inch dish.Dotdash Meredith Food Studios
7,6648668,8,"Spread 1/2 of the mascarpone mixture over the ladyfingers, then spread 1/2 of the whipped cream over top. Repeat layers once more.Dotdash Meredith Food Studios"
8,6648668,9,Sprinkle cocoa powder over top.
9,6648668,10,"Cover and refrigerate until set, 4 to 6 hours."
10,6648668,11,Enjoy!DOTDASH MEREDITH FOOD STUDIOS
11,6738351,1,Preheat the oven to 350 degrees F (175 degrees C). Grease and flour three 9-inch pans.
12,6738351,2,"Make cake: Beat cake mix, water, egg whites, and oil in a large bowl with an electric mixer on medium speed until well combined, about 2 minutes. Divide 2/3 of the batter between 2 prepared pans. Stir instant coffee into remaining batter; pour into the remaining prepared pan."
13,6738351,3,"Bake in the preheated oven until a toothpick inserted into the center of cakes comes out clean, 23 to 28 minutes. Cool cakes in the pans for 10 minutes, then turn out onto a wire rack to cool completely."
14,6738351,4,Make syrup: Combine brewed coffee and coffee liqueur in a measuring cup; set aside.
15,6738351,5,"Make filling: Beat mascarpone, confectioners' sugar, and coffee liqueur in a medium bowl with an electric mixer on low speed until smooth. Cover with plastic wrap and place in the refrigerator to keep cool."
