,id_recipe,Step_Count,Step Description
0,7969063,1,"Combine turkey, Rice Krispies, zucchini, onion, Dijon, tarragon, garlic salt, and black pepper in a bowl. Gently mix with a fork or your hands until just combined."
1,7969063,2,"Divide the meat into 4 equal portions, shape into patties, and move to the freezer for 20 minutes."
2,7969063,3,"Preheat an outdoor grill for medium high heat, and lightly oil the grate. Remove burgers from the freezer, and place on the grill. Cook over direct heat until no longer pink in the center and the juices run clear, 4 to 5 minutes per side. An instant-read thermometer inserted near the center of burgers should read at least 165 degrees F (74 degrees C)."
3,7969063,4,"Place the turkey burgers on the buns, add toppings as desired, and serve."
4,7570594,1,"Mix together feta, green olives, black olives, and lemon juice in a small bowl. Season with salt and pepper. Place in the refrigerator until ready to serve."
5,7570594,2,"Combine ground turkey, breadcrumbs, chopped onion, egg, feta, lemon zest, dill, oregano, garlic, and smoked paprika in a bowl. Shape mixture into four 1/4-pound patties."
6,7570594,3,Preheat an outdoor grill to medium-high heat and lightly oil the grate.
7,7570594,4,"Cook the turkey burgers on the preheated grill until no longer pink in the center and the juices run clear, 7 to 10 minutes per side. An instant-read thermometer inserted into the center should read at least 165 degrees F (74 degrees C)."
8,7570594,5,Top each burger with olive and feta topping.
9,7562426,1,Preheat the oven to 400 degrees F (200 degrees C). Line a sheet pan with foil or parchment paper.
10,7562426,2,"In a large bowl, combine parsley, rosemary, oregano, dill, mint, salt, and pepper. Stir to combine. Set aside 2 tablespoons of herbs to use with vegetables later in the recipe."
11,7562426,3,"To the large bowl, add breadcrumbs, shallot, garlic, and lemon zest; stir to combine. Whisk beaten egg with 1 tablespoon olive oil, and stir into the breadcrumb mixture. Add ground turkey."
12,7562426,4,"Mix all ingredients well using your hands. If meatballs seem too wet, work in another tablespoon of bread crumbs. Form into 18 (1 1/4-inch) meatballs and place on the prepared pan. Spray meatballs with olive oil spray."
13,7562426,5,Bake in the preheated oven for 15 minutes.
14,7562426,6,"Meanwhile, combine lemon juice, reserved 2 tablespoons herb mixture, and remaining 1 tablespoon olive oil, and toss with red pepper, green pepper, red onion, and zucchini slices."
15,7562426,7,Remove meatballs from the oven; distribute vegetables around the meatballs on the pan.
16,7562426,8,"Return the pan to the oven; continue baking until vegetables are tender and meatballs are no longer pink in the center, about 15 minutes. An instant-read thermometer inserted into the center should read at least 160 degrees F (70 degrees C)."
17,7562426,9,"Sprinkle with crumbled feta cheese, chopped tomatoes, and olives. Serve warm."
18,7560812,1,Preheat the oven to 350 degrees F (165 degrees C). Line a baking sheet with parchment paper.
19,7560812,2,"Using a serrated knife, slice slider buns in half horizontally, and set tops aside."
20,7560812,3,"In a small bowl, stir together mayonnaise, Dijon mustard, and pickle relish. Spread the dressing on the bottom halves of the buns, and place a pickle slice on top of each."
21,7560812,4,"Put a half slice of turkey on each, folding to fit. Top with Swiss cheese, again either folding or cutting to fit, and place remaining half  turkey slices on top of the cheese. Place the tops of the buns on the sandwiches."
22,7560812,5,"Place sliders on the prepared baking sheet. Stir together melted butter and Worcestershire, brush slider buns with butter, and sprinkle with everything seasoning. Cover with foil."
23,7560812,6,"Bake in the preheated oven until cheese begins to melt, 12 to 15 minutes. Remove the foil, and bake until buns are golden, about 3 minutes. Cool for about 3 minutes, and serve warm."
24,7099760,1,Preheat the air fryer to 400 degrees F (200 degrees C).
25,7099760,2,"Whisk together olive oil, poultry seasoning, parsley, salt, paprika, and pepper in a small bowl until evenly combined."
26,7099760,3,Brush 1/2 of oil mixture on all the sides of the turkey legs and place into the air fryer basket.
27,7099760,4,"Cook for 25 minutes. Brush the tops of the turkey legs with some of the oil mixture. Flip turkey legs over and brush with remaining oil mixture. Cook until turkey is no longer pink at the bone and the juices run clear, about 10 more minutes. An instant-read thermometer inserted near the bone should read 165 degrees F (74 degrees C)."
28,6830718,1,Gather all ingredients.ALLRECIPES / DIANA CHISTRUGA
29,6830718,2,"Combine diced onions, green onions, garlic, habanero peppers, fresh and dried thyme, kosher salt, black pepper, allspice, cinnamon, cumin, and in a blender or in large cup if you are using an immersion blender. Add lime juice, soy sauce, brown sugar, and vegetable oil. Blend until smooth.ALLRECIPES / DIANA CHISTRUGA"
30,6830718,3,"Place turkey breasts into a large bowl, splay it open, and pour marinade all over the turkey. Flip and toss turkey breast a number of times until it is evenly covered in marinade. Press plastic wrap over the turkey and marinate in the refrigerator for a minimum of 4, up to 12 hours.ALLRECIPES / DIANA CHISTRUGA"
31,6830718,4,Preheat the oven to 450 degrees F (230 degrees C). Transfer the turkey into a roasting pan and tie together with cooking twine. Add sliced onions underneath and around the turkey. Season with salt.ALLRECIPES / DIANA CHISTRUGA
