,id_recipe,Step_Count,Step Description
0,7484937,1,Gather all ingredients.Dotdash Meredith Food Studios
1,7484937,2,Crush peppercorns slightly using a mortar and pestle or a rolling pin.Dotdash Meredith Food Studios
2,7484937,3,"Melt butter in a saucepan over medium high heat. Add shallot and sauté until soft, about 3 minutes.Dotdash Meredith Food Studios"
3,7484937,4,"Add crushed peppercorns and brandy; bring to a boil and simmer rapidly until brandy is almost completely reduced, 2 to 3 minutes.Dotdash Meredith Food Studios"
4,7484937,5,"Add beef stock; bring to a boil, then reduce heat to medium and simmer until reduced by half, 3 to 4 minutes.Dotdash Meredith Food Studios"
5,7484937,6,"Reduce heat to medium-low; stir in cream and simmer until sauce coats the back of a spoon, or to desired consistency, without letting sauce boil too rapidly, 3 to 4 minutes. Season to taste and serve hot with your favorite steak.Dotdash Meredith Food Studios"
6,6604224,1,Preheat oven to 350 degrees F (175 degrees C).
7,6604224,2,Cut the bacon slices in half and wrap each half around a scallop. Use a toothpick to secure in place. Drizzle lemon juice over scallops. Place on a cookie sheet.
8,6604224,3,Bake in a preheated oven for 15 to 20 minutes or until bacon is cooked. Serve warm.
9,6601621,1,"Heat 2 tablespoons oil in a large skillet over medium heat. Add onions; cook and stir until caramelized and very tender, about 20 minutes."
10,6601621,2,Bring chicken broth to a boil in a pot; reduce heat to low and keep at a simmer.
11,6601621,3,"Heat remaining 2 tablespoons oil in a large, flat-bottom pan over medium-high heat. Cook and stir shallot and garlic in the hot oil until fragrant, about 2 minutes. Add Arborio rice to shallot mixture; cook and stir until rice begins to brown, about 3 minutes. Add wine and cook for 1 minute."
12,6601621,4,"Stir 1 cup chicken broth into rice mixture; cook, stirring constantly, until broth is absorbed. Repeat adding broth, 1 cup at a time, until all the broth is used, stirring constantly until broth is absorbed each time, about 30 minutes."
13,6601621,5,"Stir honey into onions; cook and stir, 5 minutes more."
14,6601621,6,"Stir butter into rice mixture until melted. Add cream and stir until rice mixture thickens, about 3 minutes. Add paprika and cayenne pepper; stir well. Add sherry and mix well. Stir lobster meat into rice mixture and cook until heated through, about 3 minutes. Mix Parmesan cheese into rice mixture until melted. Add onion mixture and mix well; season with salt and pepper."
15,6649960,1,"Gently melt coconut oil in a saucepan over medium-low heat. Stir cocoa powder, honey, and vanilla extract into melted oil until well blended."
16,6649960,2,"Pour the mixture into a candy mold or pliable tray. Refrigerate until chilled, about 1 hour."
17,6739412,1,Preheat the oven to 350 degrees F (175 degrees C). Grease an 8x8-inch baking pan.
18,6739412,2,"For the red velvet brownies: Whisk 1 cup sugar and melted butter in a large mixing bowl; stir in cocoa, red food coloring, 1 teaspoon vanilla extract, vinegar, and salt, one at a time, mixing well after each addition to avoid lumps. Mix in 2 eggs until thoroughly combined."
19,6739412,3,Stir flour into cocoa mixture just until combined; set aside 1/4 cup batter. Pour remaining batter into the prepared baking dish.
20,6739412,4,"For the cheesecake filling: Beat cream cheese in a bowl using an electric mixer on medium speed until light and fluffy. Add 1/4 cup sugar, 1 egg, and 1/4 teaspoon vanilla extract; continue to beat until well blended and only small lumps remain, 3 to 4 minutes."
21,6739412,5,Spoon cream cheese mixture in dollops over the batter in pan; gently smooth tops of dollops even with batter using a knife or offset spatula. Do not overmix. Drizzle reserved 1/4 cup of batter over the dollops of cream cheese mixture. Drag a knife or skewer through the batter and cream cheese mixture to create swirls.
22,6739412,6,"Bake in the preheated oven until top is dry and edges have started to pull away from the sides of the pan, about 30 to 35 minutes. Cool completely before cutting into bars; store covered in refrigerator."
23,6740925,1,Heat olive oil in a heavy skillet over high heat until it just begins to smoke. Place shrimp in an even layer on the bottom of the pan and cook for 1 minute without stirring.
24,6740925,2,"Season shrimp with salt; cook and stir until shrimp begin to turn pink, about 1 minute."
25,6740925,3,Add garlic and red pepper flakes; cook and stir for 1 minute.
26,6740925,4,"Stir in lemon juice, caper brine, 1 piece of butter, and 1/2 of the parsley; cook until butter has melted, about 1 minute."
27,6740925,5,"Reduce heat to low and stir in remaining 3 pieces butter. Cook and stir until butter has melted, sauce is thick, and shrimp are pink and opaque, 2 to 3 minutes."
28,6740925,6,"Remove shrimp with a slotted spoon and transfer to a bowl; continue to cook butter sauce, adding water, 1 teaspoon at a time, if too thick, about 2 minutes. Season with salt to taste; serve shrimp topped with the pan sauce and remaining parsley."
29,6592386,1,"Melt butter in a skillet over medium heat. Add garlic; cook and stir until fragrant, about 2 to 3 minutes."
