,id_recipe,Step_Count,Step Description
0,7571415,1,"Bring about 2 cups of water to a boil, remove from the heat, and stir in almonds; let sit for 3 to 4 minutes. Drain, and once cool enough to handle, rub skins off with your hands; alternately; transfer drained almonds to a kitchen towel, then fold up the towel and rub almonds until skins come off."
1,7571415,2,"Crush sliced garlic with kosher salt in a mortar and pestle into a smooth paste. Alternately, place garlic on a board and sprinkle kosher salt on top; use the flat side of the knife to flatten, mash, and scrape the garlic and salt mixture until it is a smooth paste."
2,7571415,3,"Add peeled almonds to the jar of a blender, followed by the cheese, basil, mint, garlic paste, oil, and tomatoes. Add the ingredients in this order, so that the almonds and cheese have a chance to grind before the wetter ingredients mix in."
3,7571415,4,"Begin to pulse blender on and off until almonds and cheese are ground, then continue to pulse until remaining ingredients are incorporated. Blend on high until the pesto is as coarse or smooth as you like."
4,7571415,5,"Taste for salt, and adjust. Set aside while pasta is cooking."
5,7571415,6,"Bring a large pot of lightly salted water to a boil. Cook busiate pasta in the boiling water, stirring occasionally, until tender yet firm to the bite, about 12 minutes. Transfer pasta into a bowl with a strainer. Reserve starchy cooking liquid."
6,7571415,7,"Add about 1/3 cup of the pasta water into the bowl, and then transfer in the pesto, along with a large pinch of salt, and toss to coat. More pasta water can be added to adjust the texture. Once mixed, add another optional handful of cheese, and toss one last time. Serve immediately.Chef John"
7,6585100,1,"Place a large skillet or wok over high heat. Heat oil and butter until smoking. Add onion, carrot, and garlic; cook and stir until onion begins to soften, about 1 minute. Add cabbage, coconut, and curry powder; stir fry for 2 more minutes."
8,6585100,2,"Reduce heat to medium-low; pour in coconut milk, and season to taste with salt and pepper. Cover, and cook to desired doneness. To serve, sprinkle with tomato, green onions, and cilantro."
9,7568002,1,"For sauce, process roasted red peppers, yogurt, orange zest (or other CITRUS ZEST), orange juice (or other CITRUS JUICE), chopped parsley (or other FRESH HERB), salt, and black pepper in a food processor until smooth."
10,7568002,2,"Spread tortillas evenly with sauce and top with arugula and carrots (or other 2 VEGETABLES). Roll up and wrap tightly in plastic wrap. Chill at least 1 hour or up to 12 hours. To serve, unwrap tortillas and trim ends. Cut rolls into slices.8 cups arugula and/or spring mix4 cups shredded red cabbage2 red bell peppers, julienned (2 cups)2 zucchini, sliced (4 cups)2 large carrots, julienned (2 cups)4 ounces radishes, sliced (1 cup)LIME-CABBAGElime zest + lime juice + cilantro + red cabbage + red bell pepperLEMON-ZUCCHINIlemon zest + lemon juice + chives + zucchini +radishes"
11,7567956,1,"Preheat the oven to 350 degrees F (175 degrees C). Coat 12 (2 1/2-inch) muffin cups with cooking spray. Press 1 tortilla into the bottom of each muffin cup, pleating edges as needed to fit."
12,7567956,2,"Heat oil in a large skillet over medium-high heat. Add sweet potato; cook until tender, about 10 minutes. Add onion; cook until softened, 2 to 3 minutes. Add jalapeño and garlic; cook until fragrant, about 2 minutes. Stir in beans, salt, and black pepper."
13,7567956,3,Divide bean mixture evenly among prepared muffin cups and sprinkle with cheese.
14,7567956,4,"Bake in the preheated oven until cheese is melted and filling is bubbly, 15 to 20 minutes. Top with avocado and garnish with cilantro. Serve with limes and lime crema."
15,7568001,1,"For marinade, whisk together soy sauce, vinegar, oil, lime zest, lime juice, ginger, and honey in a large bowl. Add watermelon; toss to coat. Chill, covered, at least 4 hours or up to 12 hours."
16,7568001,2,Preheat the oven to 350 degrees F (175 degrees C). Line a 10x15-inch baking pan with parchment paper.
17,7568001,3,"Transfer watermelon from marinade to prepared pan with a slotted spoon, allowing marinade to drip off. Chill remaining marinade, covered, while watermelon bakes. Bake watermelon until browned, about 1 hour. Let cool slightly."
18,7568001,4,"For dressing, stir 2 tablespoons reserved marinade into mayonnaise in a small bowl. Pour remaining reserved marinade over baked watermelon."
19,7568001,5,"Divide rice among 4 bowls. Top each serving with watermelon, avocados, cucumber, radishes, edamame, and carrot. Drizzle with dressing and sprinkle with sesame seeds. Garnish with green onions.Use vegan mayonnaise instead of rich, tangy-sweet Kewpie."
20,7568012,1,"Heat oil in a large pot over low heat. Add garlic; cook until fragrant, 45 to 60 seconds. Add green beans, tomatoes, olives, herbs, salt, pepper; toss. Drizzle with vinegar and toss to coat. Garnish with fresh herbs."
21,6571006,1,Preheat the oven to 400 degrees F (200 degrees C). Grease a baking sheet.
22,6571006,2,"Place squash skin-side down on prepared baking sheet. Bake until cooked through, about 1 hour. Remove from oven; cool for 10 minutes. Once squash is cool enough to handle, scrape flesh into string-like strands with a fork. Place in a bowl and set aside."
23,6571006,3,Melt 1 tablespoon of butter in a large skillet over medium-high heat. Add onion; cook and stir until onion begins to turn translucent. Stir in kale and mushrooms; reduce heat to medium low.
24,6571006,4,"Stir in squash, remaining 2 tablespoons butter, garlic salt, Italian seasoning, and red pepper flakes; cook for 2 minutes. Remove from stove and place squash mixture in a large bowl."
25,6571006,5,"Stir olive oil and pesto into the squash mixture. Slowly add grated Parmesan cheese, stirring until evenly mixed."
26,7546676,1,Preheat air fryer to 375 degrees F (190 degrees C).
27,7546676,2,"Whisk together milk and egg in a bowl until combined. In a large bowl, stir together flour, salt, cayenne pepper, paprika, black pepper, oregano, thyme, and cumin."
28,7546676,3,"Slice 1 inch off the top of the onion and remove papery skin. Remove a 1-inch-diameter core from the middle of the onion, using an apple corer or paring knife, leaving the very bottom of the root end intact. Use a large sharp knife to slice about three-fourths of the way down center of the onion; turn onion 90 degrees and slice again. Keep slicing each section in half until you have 16 sections, being careful not to cut through the bottom of the onion. Spread sections apart."
29,7546676,4,"Dip onion into milk mixture and then into flour mixture to coat, separating the petals and sprinkling flour mixture between them. Dip onion into milk mixture again, then into flour mixture to coat once more. Coat onion with cooking spray."
30,7546676,5,"Arrange onion in the air fryer basket. Cook until crispy, 20 to 25 minutes."
31,7546676,6,"Stir together mayonnaise, horseradish sauce, ketchup, paprika, salt, dried oregano, cayenne pepper, and black pepper in a small bowl. Chill until blooming onion is ready."
32,7546676,7,"Serve blooming onion with dipping sauce and garnish with additional paprika.To help keep onion petals separate, you can plunge onion into boiling water for 1 minute and then into ice water.Leftover dipping sauce keeps, covered, up to 3 days in the refrigerator."
33,7510128,1,Add potatoes to a small saucepan and cover with salted water; bring to a boil over high heat. Reduce heat and simmer 10 minutes or until fork-tender. Drain and transfer potatoes to a bowl; mash until mostly smooth with a few small chunks remaining.
34,7510128,2,"In the same saucepan, heat oil over medium heat. Add onion and cook, stirring occasionally, until tender, 3 to 4 minutes. Stir in ginger and garlic; cook until fragrant, about 30 seconds. Add garam masala, cumin, salt, and (if using) cayenne; cook about 30 seconds more. Stir in mashed potatoes and peas; cook until warmed through. Remove from heat; stir in cilantro."
35,7510128,3,Arrange wonton wrappers on a clean work surface; evenly spoon filling into centers of wontonwrappers. Lightly wet borders of wrappers withwater. Fold two corners together to form triangles. Press edges to seal. Coat both sides of samosas with cooking spray.
36,7510128,4,Preheat air fryer to 350 degrees F (175 degrees C). Coat air fryer basket with cooking spray.
37,7510128,5,"Working in batches if needed, arrange samosas in an even layer in the basket. Cook, turning once halfway through, until samosas are golden brown and crispy, about 8 minutes."
38,7510128,6,"Meanwhile, combine yogurt, cilantro, lime zest, lime juice; garlic, salt and pepper in a small food processor; process until well combined. Chill, covered, up to 5 days."
39,7510128,7,Serve samosas with cilantro-yogurt sauce. Garnish with additional cilantro.
40,7488575,1,"Place feta, cream cheese, olive oil, and red wine vinegar in a food processor and process until smooth. Stir in black olives and green olives until well incorporated."
