,id_recipe,Step_Count,Step Description
0,6599605,1,Gather all ingredients.Dotdash Meredith Food Studios
1,6599605,2,"Whisk mayonnaise, sugar, lemon juice, and salt together in a serving bowl.Dotdash Meredith Food Studios"
2,6599605,3,"Stir in apples, celery, walnuts, and raisins. Cover and chill in the refrigerator until ready to serve.Dotdash Meredith Food Studios"
3,6599326,1,Preheat oven to 325 degrees F (165 degrees C).
4,6599326,2,Spread chopped walnuts onto a baking sheet.
5,6599326,3,"Roast walnuts in the preheated oven until they are fragrant and browned, 3 to 5 minutes. Remove and let cool."
6,6599326,4,"Lightly toss chicken with grape halves, cranberries, apple, walnuts, and onion in a salad bowl. Whisk mayonnaise, vanilla yogurt, and lemon juice in a separate bowl. Pour dressing over salad and toss again to coat."
7,6593372,1,Whisk together mayonnaise and vinegar in a mixing bowl.
8,6593372,2,"Add apples, celery, raisins, and walnuts to the bowl. Season with salt and pepper; mix well."
9,6593372,3,"Place in the refrigerator until chilled, about 30 minutes."
10,6585277,1,"Toss apples and lemon juice together in a large bowl; stir in celery, nuts, raisins and grapes."
11,6585277,2,Fold whipped cream and mayonnaise together; add to salad and mix well.
12,6585277,3,Sprinkle with nutmeg and chill for at least 1 hour before serving.
13,6649196,1,"Toss together apples, celery, walnuts, and raisins in a large bowl; set aside."
14,6649196,2,"Whisk together walnut oil, cider vinegar, salt, and pepper in a small bowl."
15,6649196,3,Toss apples with dressing to serve.
16,6602254,1,"In a large bowl, combine the apples and lemon juice. Add the grapes, celery, and green onions; toss."
17,6602254,2,"In a small bowl, whisk together the mayonnaise, yogurt, apple juice and celery seeds. Spoon over the apple mixture, and toss gently."
18,6602254,3,"Wash the watercress, and dry thoroughly. Arrange greens on individual salad plates. Mound the apple mixture on top, and sprinkle with the walnuts."
19,6663797,1,"In a large bowl, combine apples, pear, celery, almonds, raisins, grapes, and cranberries. In a separate bowl, stir together yogurt, both sugars, mayonnaise, lemon juice, and cinnamon. Pour dressing over fruit mixture and gently stir until evenly coated."
20,6596372,1,Mix yogurt and brown sugar together in a bowl to make dressing.
21,6596372,2,"Combine pear, apple, celery, raisins, cranberries, and walnuts in a bowl. Add dressing and toss well to combine. Sprinkle cinnamon and nutmeg on top."
22,6596372,3,"Chill salad before serving, at least 30 minutes."
23,6590081,1,"Toss lettuce with dressing in a mixing bowl; transfer to a serving dish. Scatter grapes, goat cheese, and pecans on top, and enjoy!"
24,6598023,1,"Combine apples, celery, and pecans in a large serving bowl."
25,6598023,2,"Whisk mayonnaise, sugar, lemon juice, and cinnamon together in a medium bowl until well combined."
26,6598023,3,Whip heavy cream with an electric mixer in a separate medium bowl until soft peaks form; fold into mayonnaise mixture to form a creamy dressing.
27,6598023,4,Fold dressing into apple mixture until well combined; chill salad in the refrigerator for about 1 hour before serving.
28,6596974,1,"Combine Granny Smith apple, Golden Delicious apple, Gala apple, Bosc pear, celery, cranberries, walnuts, and pecans in a large bowl."
29,6596974,2,"Whisk sour cream, mayonnaise, sugar, and lemon juice together in a separate bowl for the dressing."
30,6596974,3,Pour dressing into apple mixture; toss until evenly coated. Chill in refrigerator for at least 15 minutes before serving.
31,6594668,1,"Use a chef's knife to slice cabbage into thin pieces 1 to 2 inches long. Do not use the large ribs of the cabbage, as they are too strongly flavored."
32,6594668,2,"In a large bowl, toss together the cabbage, apples, walnuts, celery, mayonnaise, sugar and salt until evenly coated. Serve immediately or store in the refrigerator for up to one day."
33,6738581,1,"Whisk mayonnaise, creme fraiche, lemon juice, tarragon, sugar, salt, black pepper, and cayenne together in a bowl."
34,6738581,2,"Place apples, celery root, grapes, and walnut pieces in a large bowl. Toss with about 1/2 cup of dressing. Add more dressing until salad components are well coated but not swimming in dressing. You might not need all the dressing."
35,6738581,3,Serve immediately or cover and refrigerate for up to 24 hours.
36,6581265,1,Dice apples with skin still on. Place in a bowl of water with a little lemon juice to keep them from turning brown.
37,6581265,2,"In a large bowl, whisk together the mayonnaise, sugar, lemon juice and orange juice. Fold in the whipped cream."
38,6581265,3,"Drain the apples and add to the mayonnaise mixture, along with the celery and raisins. Stir until ingredients are evenly coated."
39,6586321,1,"Whisk mayonnaise, Parmesan cheese, cider vinegar, sugar, curry powder, and black pepper together in a bowl until smooth. Lightly toss turkey meat, red grapes, apple, celery, red onion, and walnuts in a salad bowl; pour dressing over salad and toss again to coat. Chill at least 1 hour (or overnight for best flavor)."
40,6592173,1,"Place the apples in a medium serving bowl and sprinkle with sugar, lemon juice and salt. Stir in the celery, dates and walnuts. In a separate bowl, whip the cream with an electric mixer until it can hold a peak. Mix in mayonnaise and gently fold into the apple mixture along with the marshmallows. Refrigerate for at least 1 hour before serving."
41,6648600,1,Toss diced apples with lemon juice in a salad bowl.
42,6648600,2,"Beat Neufchatel cheese, whipped cream, brown sugar, mayonnaise, and vanilla extract together in a separate bowl until dressing is smooth and creamy."
43,6648600,3,Stir grapes and celery into apples and toss lightly with dressing to coat. Top salad with walnut halves and sweetened dried cranberries.
44,6573981,1,"Stir together yogurt, vinegar, poppy seeds, maple pepper seasoning, and salt in a bowl. Add chicken, apple, and walnuts; mix to combine. If mixture seems too thick, add milk until desired consistency is reached"
45,6591669,1,"Place apples in a large bowl and sprinkle lemon juice over the top; toss to coat. Stir pecans, mayonnaise, raisins, orange zest, vanilla extract, celery seed, salt, and stevia into apples until well-combined. Cover the bowl with plastic wrap and refrigerate until chilled, about 30 minutes."
